Year,Sex,Age,Value,Upper,Lower
2000,Both,Age 0-14,"340,000","220,000","510,000"
2000,Both,Age 0-19,"350,000","230,000","530,000"
2000,Both,Age 0-4,"300,000","200,000","450,000"
2000,Both,Age 0-9,"320,000","210,000","490,000"
2000,Both,Age 10-14,"12,000","7,800","18,000"
2000,Both,Age 10-19,"23,000","16,000","33,000"
2000,Both,Age 15-19,"11,000","7,500","16,000"
2000,Both,Age 5-9,"28,000","18,000","42,000"
2000,Female,Age 0-14,"170,000","110,000","250,000"
2000,Female,Age 0-19,"170,000","110,000","260,000"
2000,Female,Age 0-4,"150,000","96,000","220,000"
2000,Female,Age 0-9,"160,000","100,000","240,000"
2000,Female,Age 10-14,"5,900","3,900","8,900"
2000,Female,Age 10-19,"14,000","9,300","20,000"
2000,Female,Age 15-19,"7,900","5,400","12,000"
2000,Female,Age 5-9,"14,000","8,900","21,000"
2000,Male,Age 0-14,"170,000","110,000","260,000"
2000,Male,Age 0-19,"170,000","120,000","260,000"
2000,Male,Age 0-4,"150,000","99,000","230,000"
2000,Male,Age 0-9,"170,000","110,000","250,000"
2000,Male,Age 10-14,"6,000","3,900","9,100"
2000,Male,Age 10-19,"9,000","6,600","13,000"
2000,Male,Age 15-19,"3,000","2,000","4,500"
2000,Male,Age 5-9,"14,000","9,200","21,000"
2001,Both,Age 0-14,"350,000","230,000","530,000"
2001,Both,Age 0-19,"360,000","240,000","540,000"
2001,Both,Age 0-4,"300,000","200,000","460,000"
2001,Both,Age 0-9,"330,000","220,000","500,000"
2001,Both,Age 10-14,"15,000","9,700","22,000"
2001,Both,Age 10-19,"27,000","19,000","39,000"
2001,Both,Age 15-19,"12,000","8,500","18,000"
2001,Both,Age 5-9,"30,000","20,000","46,000"
2001,Female,Age 0-14,"170,000","110,000","260,000"
2001,Female,Age 0-19,"180,000","120,000","270,000"
2001,Female,Age 0-4,"150,000","97,000","220,000"
2001,Female,Age 0-9,"160,000","110,000","250,000"
2001,Female,Age 10-14,"7,300","4,800","11,000"
2001,Female,Age 10-19,"16,000","11,000","23,000"
2001,Female,Age 15-19,"8,600","5,900","13,000"
2001,Female,Age 5-9,"15,000","9,900","23,000"
2001,Male,Age 0-14,"180,000","120,000","270,000"
2001,Male,Age 0-19,"180,000","120,000","270,000"
2001,Male,Age 0-4,"150,000","100,000","230,000"
2001,Male,Age 0-9,"170,000","110,000","260,000"
2001,Male,Age 10-14,"7,400","4,900","11,000"
2001,Male,Age 10-19,"11,000","8,200","16,000"
2001,Male,Age 15-19,"3,700","2,500","5,500"
2001,Male,Age 5-9,"15,000","10,000","24,000"
2002,Both,Age 0-14,"350,000","230,000","530,000"
2002,Both,Age 0-19,"360,000","240,000","550,000"
2002,Both,Age 0-4,"300,000","200,000","460,000"
2002,Both,Age 0-9,"330,000","220,000","510,000"
2002,Both,Age 10-14,"18,000","12,000","27,000"
2002,Both,Age 10-19,"32,000","22,000","45,000"
2002,Both,Age 15-19,"14,000","9,500","21,000"
2002,Both,Age 5-9,"33,000","22,000","50,000"
2002,Female,Age 0-14,"170,000","110,000","260,000"
2002,Female,Age 0-19,"180,000","120,000","280,000"
2002,Female,Age 0-4,"150,000","97,000","220,000"
2002,Female,Age 0-9,"160,000","110,000","250,000"
2002,Female,Age 10-14,"8,800","5,800","13,000"
2002,Female,Age 10-19,"18,000","12,000","26,000"
2002,Female,Age 15-19,"9,400","6,400","14,000"
2002,Female,Age 5-9,"16,000","11,000","25,000"
2002,Male,Age 0-14,"180,000","120,000","270,000"
2002,Male,Age 0-19,"180,000","120,000","280,000"
2002,Male,Age 0-4,"150,000","100,000","230,000"
2002,Male,Age 0-9,"170,000","110,000","260,000"
2002,Male,Age 10-14,"8,900","5,900","14,000"
2002,Male,Age 10-19,"13,000","9,900","19,000"
2002,Male,Age 15-19,"4,500","3,000","6,700"
2002,Male,Age 5-9,"17,000","11,000","25,000"
2003,Both,Age 0-14,"350,000","230,000","540,000"
2003,Both,Age 0-19,"370,000","240,000","560,000"
2003,Both,Age 0-4,"300,000","200,000","450,000"
2003,Both,Age 0-9,"330,000","220,000","510,000"
