Subject-wise ranking of top 2% scientist from India (all fields),,,,,,,,
Downloded/complied based on an independent study done by Stanford University scientists (for methodology and data visit)- https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000918,,,,,,,,
Note world-wide full list of top 2% (all countries) can be found at shorturl.at/qHIJ4,,,,,,,,
,,,Rank world-,,,,,
,,,wide (by,,,Number of,First year of,Latest year of
authfull,Field,inst_name,subject area),C-score,Top %,papers,publication,publication
"Munjal, M. L.",Acoustics,"Indian Institute of Science, Bengaluru",222,3.51272993,0.794218661,173,1970,2020
"Harsha, S. P.",Acoustics,Indian Institute of Technology Roorkee,267,3.45305773,0.95520893,148,2003,2020
"Tandon, Naresh",Acoustics,Indian Institute of Technology Delhi,347,3.36931028,1.241413852,67,1986,2020
"Narayanan, S.",Acoustics,Indian Institute of Information Technology Design and Manufacturing Kancheepuram,356,3.36077914,1.273611906,151,1978,2019
"Balasubramaniam, Krishnan",Acoustics,Indian Institute of Technology Madras,401,3.32571982,1.434602175,364,1988,2020
"Darpe, Ashish K.",Acoustics,Indian Institute of Technology Delhi,642,3.14688114,2.296794505,55,2002,2020
,,,Rank world-,,,,,
,,,wide (by,,,Number of,First year of,Latest year of
authfull,Field,inst_name,subject area),C-score,Top %,papers,publication,publication
"Ganguli, Ranjan",Aerospace & Aeronautics,"Indian Institute of Science, Bengaluru",51,3.80796775,0.111273537,306,1973,2020
"Sujith, R. I.",Aerospace & Aeronautics,Indian Institute of Technology Madras,474,3.17041715,1.03418934,212,1997,2020
"Rathakrishnan, E.",Aerospace & Aeronautics,Indian Institute of Technology Kanpur,566,3.11444448,1.234918072,204,1985,2020
"Hablani, Hari B.",Aerospace & Aeronautics,Indian Institute of Technology Indore,655,3.05047223,1.429101303,80,1977,2019
"Viswanath, P. R.",Aerospace & Aeronautics,National Aerospace Laboratories India,744,3.00896818,1.623284533,50,1974,2012
"Ratnoo, Ashwini",Aerospace & Aeronautics,"Indian Institute of Science, Bengaluru",790,2.98447101,1.723648899,89,2007,2020
,,,Rank world-,,,,,
,,,wide (by,,,Number of,First year of,Latest year of
authfull,Field,inst_name,subject area),C-score,Top %,papers,publication,publication
"Inderjit, I.",Agronomy & Agriculture,University of Delhi,96,3.9263396,0.168865435,102,1990,2019
"Sahrawat, K. L.",Agronomy & Agriculture,"University of Agricultural Sciences, Dharwad",153,3.79753866,0.269129288,237,1975,2017
"Kumar, Rajeev",Agronomy & Agriculture,Panjab University,182,3.75964603,0.320140721,378,1994,2020
"Singh, Anil",Agronomy & Agriculture,Motilal Nehru National Institute of Technology Allahabad,197,3.72819391,0.346525945,560,1974,2019
"Singh, K. P.",Agronomy & Agriculture,Bhabha Atomic Research Centre,215,3.70343723,0.378188215,434,1965,2019
"Singh, Harpal",Agronomy & Agriculture,"All India Institute of Medical Sciences, New Delhi",379,3.54286263,0.666666667,447,1948,2019
"Kumar, Dinesh",Agronomy & Agriculture,Sanjay Gandhi Postgraduate Institute of Medical Sciences Lucknow,392,3.52936537,0.689533861,520,1984,2020
"Pathak, Himanshu",Agronomy & Agriculture,"ICAR - Indian Agricultural Research Institute, New Delhi",425,3.49891014,0.747581354,155,1996,2020
"Aggarwal, Pramod K.",Agronomy & Agriculture,International Maize and Wheat Improvement Centre (CIMMYT),432,3.49446502,0.759894459,122,1980,2020
"Kumar, Anil",Agronomy & Agriculture,Wadia Institute of Himalayan Geology,621,3.36509245,1.092348285,678,1990,2020
"Aulakh, Milkha S.",Agronomy & Agriculture,Punjab Agricultural University,721,3.31824366,1.26824978,64,1976,2017
"Ghosh, Probir Kumar",Agronomy & Agriculture,Indian Council of Agricultural Research,898,3.25026984,1.579595427,105,1994,2020
"Carberry, Peter",Agronomy & Agriculture,International Crops Research Institute for the Semi-Arid Tropics,953,3.22839313,1.676341249,98,1985,2020
"Tarafdar, J. C.",Agronomy & Agriculture,"ICAR - Central Arid Zone Research Institute, Jodhpur",992,3.21160249,1.744942832,96,1978,2017
"Mishra, P. K.",Agronomy & Agriculture,"ICAR - Vivekananda Parvatiya Krishi Anusandhan Sansthan, Almora",1017,3.2037043,1.788918206,213,1974,2020
"Singh, Jay Shankar",Agronomy & Agriculture,Babasaheb Bhimrao Ambedkar University,1038,3.19579653,1.82585752,52,2004,2019
"Minhas, P. S.",Agronomy & Agriculture,"ICAR - National Institute of Abiotic Stress Management, Baramati",1042,3.19446994,1.83289358,102,1986,2020
,,,Rank world-,,,,,
,,,wide (by,,,Number of,First year of,Latest year of
authfull,Field,inst_name,subject area),C-score,Top %,papers,publication,publication
"Ali, Imran",Analytical Chemistry,Jamia Millia Islamia,24,4.37924687,0.027542835,325,1986,2020
"Malhotra, B. D.",Analytical Chemistry,Delhi Technological University,429,3.6950557,0.492328173,343,1974,2020
"Goyal, Rajendra N.",Analytical Chemistry,Indian Institute of Technology Roorkee,514,3.63418087,0.589875713,290,1974,2020
"Agrawal, Y. K.",Analytical Chemistry,Gujarat Forensic Sciences University,632,3.56459201,0.725294651,337,1971,2016
"Pandey, Prem C.",Analytical Chemistry,Indian Institute of Technology Banaras Hindu University,740,3.51442793,0.849237408,123,1984,2019
"Singh, Ashok Kumar",Analytical Chemistry,Indian Institute of Technology Roorkee,760,3.50511063,0.87218977,284,1985,2020
"Singh, Saranjit",Analytical Chemistry,"National Institute of Pharmaceutical Education and Research, Mohali",887,3.44761924,1.017937271,169,1986,2020
"Jain, A. K.",Analytical Chemistry,Indian Institute of Technology Roorkee,1068,3.38084404,1.225656151,152,1967,2017
"Bhushan, Ravi",Analytical Chemistry,Indian Institute of Technology Roorkee,1112,3.36578047,1.276151348,212,1981,2020
"Vijayalakshmi, M. A.",Analytical Chemistry,"Vellore Institute of Technology, Vellore",1344,3.29990295,1.542398751,164,1979,2020
"Raj, C. Retna",Analytical Chemistry,Indian Institute of Technology Kharagpur,1567,3.24286119,1.798317592,86,1997,2020
"Basavaiah, Kanakapura",Analytical Chemistry,University of Mysore,1671,3.21798684,1.917669876,264,1997,2020
"Aggarwal, Suresh Kumar",Analytical Chemistry,Bhabha Atomic Research Centre,1724,3.20621648,1.978493636,237,1979,2019
,,,Rank world-,,,,,
,,,wide (by,,,Number of,First year of,Latest year of
