Year,Date Of Incident,Route,Operator,Group Name,Bus Garage,Borough,Injury Result Description,Incident Event Type,Victim Category,Victims Sex,Victims Age
2015,1/1/2015,1,London General,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Male,Child
2015,1/1/2015,4,Metroline,Metroline,Garage Not Available,Islington,Injuries treated on scene,Onboard Injuries,Passenger,Male,Unknown
2015,1/1/2015,5,East London,Stagecoach,Garage Not Available,Havering,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Male,Elderly
2015,1/1/2015,5,East London,Stagecoach,Garage Not Available,None London Borough,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Male,Elderly
2015,1/1/2015,6,Metroline,Metroline,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Pedestrian,Female,Elderly
2015,1/1/2015,6,Metroline,Metroline,Garage Not Available,Westminster,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Elderly
2015,1/1/2015,8,Selkent,Stagecoach,Garage Not Available,City of London,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,1/1/2015,9,London United,London United,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Conductor,Unknown,Unknown
2015,1/1/2015,10,London United,London United,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Female,Elderly
2015,1/1/2015,11,London General,Go-Ahead,Garage Not Available,City of London,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Adult
2015,1/1/2015,11,London General,Go-Ahead,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,1/1/2015,11,London General,Go-Ahead,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,1/1/2015,12,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,1/1/2015,12,London Central,Go-Ahead,Garage Not Available,Southwark,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Male,Child
2015,1/1/2015,12,London Central,Go-Ahead,Garage Not Available,Southwark,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Male,Elderly
2015,1/1/2015,12,London Central,Go-Ahead,Garage Not Available,Westminster,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Unknown
2015,1/1/2015,14,London General,Go-Ahead,Garage Not Available,Kensington & Chelsea,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,1/1/2015,14,London General,Go-Ahead,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Unknown,Unknown
2015,1/1/2015,16,Metroline,Metroline,Garage Not Available,Brent,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Adult
2015,1/1/2015,17,Metroline,Metroline,Garage Not Available,Southwark,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Pedestrian,Male,Unknown
2015,1/1/2015,18,Metroline West,Metroline,Garage Not Available,Brent,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,1/1/2015,18,Metroline West,Metroline,Garage Not Available,Brent,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown
2015,1/1/2015,18,Metroline West,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Child
2015,1/1/2015,18,Metroline West,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Elderly
2015,1/1/2015,18,Metroline West,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Unknown
2015,1/1/2015,18,Metroline West,Metroline,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Male,Adult
2015,1/1/2015,21,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown
2015,1/1/2015,22,London General,Go-Ahead,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,1/1/2015,22,London General,Go-Ahead,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
