,price,space,room,bedroom,furniture,latitude,longitude
0,107100,28.0,1,1,0,41.7245209,44.7537885
2,257000,72.0,3,1,1,41.6895023,44.8200504
3,157200,53.0,2,1,0,41.6770838,44.8172216
4,237200,80.0,3,2,0,41.6828831,44.8238154
5,158200,60.0,2,1,0,41.7687623,44.724123229951
6,184500,74.0,2,1,0,41.6828831,44.8238154
7,150300,57.0,2,1,0,41.7307343,44.7439254
8,125200,50.0,2,1,0,41.7245209,44.7537885
9,159500,96.1,3,1,0,41.785727745895,44.762711730905
10,429600,76.7,3,2,0,41.7914713,44.67241249391
11,230700,100.0,2,1,0,41.74850380596811,44.84168645234584
12,375600,90.0,3,2,1,41.725054,44.7545015
13,132600,74.9,3,2,0,41.7903068,44.7593516
14,194400,74.0,4,2,0,41.787974518638,44.762217985437
15,250300,82.1,3,2,1,41.7260323,44.7995087
16,148300,50.0,2,1,0,41.7245209,44.7537885
17,112700,52.6,2,1,0,41.6828831,44.8238154
18,350500,145.7,4,3,0,41.6866598,44.8379845
19,229800,85.0,3,2,0,41.7335333,44.798583
20,85700,65.0,3,2,0,41.686929178108,44.884552615402
21,154900,32.0,1,1,1,41.707003,44.7749574
22,83700,43.0,2,1,0,41.779419187026,44.814856415019
23,263600,62.3,2,1,1,41.7245209,44.7537885
24,224100,60.0,3,2,1,41.7211627,44.7805689
25,80700,42.0,2,1,0,41.779375836224,44.814868561856
26,117000,52.0,2,1,0,41.7850018,44.7553366
27,461300,80.0,3,2,1,41.7037033,44.7724816
28,154900,95.0,3,2,0,41.6755322,44.8389753
29,247100,70.0,3,2,1,41.7245209,44.7537885
30,247100,70.0,3,2,1,41.7245209,44.7537885
31,224100,103.0,5,3,1,41.7341813,44.728036935007
32,214200,110.0,4,3,1,41.7206004,44.7232035
33,494300,97.0,3,2,1,41.7103479,44.782901
34,154900,54.0,2,1,1,41.707666,44.7839348
35,220800,64.0,3,2,0,41.7206004,44.7232035
36,145000,80.0,2,1,0,41.765275827093,44.775506089983
37,421800,187.0,5,4,1,41.7874621,44.749969
38,477800,168.0,5,3,1,41.7013668,44.7687247
39,593100,180.0,4,3,1,41.7223038,44.78088
40,191100,57.0,2,1,1,41.7245209,44.7537885
41,217500,65.0,2,1,0,41.7245209,44.7537885
42,230700,110.0,8,3,0,41.793656951009,44.821647644502
43,889700,170.0,5,3,0,41.6922643,44.7968981
44,411900,133.0,3,2,1,41.720015,44.7407348
45,724900,200.0,6,4,1,41.7098004,44.7848337
