,price,space,room,bedroom,furniture,latitude,longitude,city_area,floor,max_floor,apartment_type,renovation_type,balcony
0,107100,28.0,1,1,0,41.7245209,44.7537885,Saburtalo District,11,11,new,newly renovated,1
2,257000,72.0,3,1,1,41.6895023,44.8200504,Isani District,15,16,new,newly renovated,0
3,157200,53.0,2,1,0,41.6770838,44.8172216,Krtsanisi District,2,4,new,white frame,1
4,237200,80.0,3,2,0,41.6828831,44.8238154,Krtsanisi District,3,4,new,white frame,1
5,158200,60.0,2,1,0,41.7687623,44.724123229951,Saburtalo District,14,16,old,newly renovated,0
6,184500,74.0,2,1,0,41.6828831,44.8238154,Krtsanisi District,7,12,new,white frame,1
7,150300,57.0,2,1,0,41.7307343,44.7439254,Saburtalo District,1,6,new,white frame,1
8,125200,50.0,2,1,0,41.7245209,44.7537885,Saburtalo District,3,12,new,white frame,1
9,159500,96.1,3,1,0,41.785727745895,44.762711730905,Saburtalo District,2,8,new,black frame,1
10,429600,76.7,3,2,0,41.7914713,44.67241249391,Saburtalo District,5,11,new,black frame,1
11,230700,100.0,2,1,0,41.74850380596811,44.84168645234584,Other,5,12,construction,white frame,1
12,375600,90.0,3,2,1,41.725054,44.7545015,Saburtalo District,2,15,new,newly renovated,0
13,132600,74.9,3,2,0,41.7903068,44.7593516,Saburtalo District,3,8,new,black frame,1
14,194400,74.0,4,2,0,41.787974518638,44.762217985437,Saburtalo District,1,17,new,newly renovated,1
15,250300,82.1,3,2,1,41.7260323,44.7995087,Nadzaladevi District,20,24,new,newly renovated,1
16,148300,50.0,2,1,0,41.7245209,44.7537885,Saburtalo District,2,7,new,newly renovated,1
17,112700,52.6,2,1,0,41.6828831,44.8238154,Krtsanisi District,11,15,new,black frame,1
18,350500,145.7,4,3,0,41.6866598,44.8379845,Isani District,11,17,new,white frame,0
19,229800,85.0,3,2,0,41.7335333,44.798583,Nadzaladevi District,2,10,new,newly renovated,1
20,85700,65.0,3,2,0,41.686929178108,44.884552615402,Samgori District,4,12,construction,white frame,1
21,154900,32.0,1,1,1,41.707003,44.7749574,Vake District,2,7,new,newly renovated,1
22,83700,43.0,2,1,0,41.779419187026,44.814856415019,Nadzaladevi District,8,10,new,green frame,1
23,263600,62.3,2,1,1,41.7245209,44.7537885,Saburtalo District,18,23,new,newly renovated,1
24,224100,60.0,3,2,1,41.7211627,44.7805689,Saburtalo District,9,24,new,newly renovated,1
25,80700,42.0,2,1,0,41.779375836224,44.814868561856,Nadzaladevi District,8,10,new,green frame,0
26,117000,52.0,2,1,0,41.7850018,44.7553366,Saburtalo District,2,5,new,newly renovated,1
27,461300,80.0,3,2,1,41.7037033,44.7724816,Vake District,5,8,new,newly renovated,1
28,154900,95.0,3,2,0,41.6755322,44.8389753,Isani District,2,9,new,black frame,1
29,247100,70.0,3,2,1,41.7245209,44.7537885,Saburtalo District,10,16,new,newly renovated,1
30,247100,70.0,3,2,1,41.7245209,44.7537885,Saburtalo District,10,16,new,newly renovated,1
31,224100,103.0,5,3,1,41.7341813,44.728036935007,Vake District,6,9,old,newly renovated,1
32,214200,110.0,4,3,1,41.7206004,44.7232035,Saburtalo District,3,5,old,newly renovated,1
33,494300,97.0,3,2,1,41.7103479,44.782901,Mtatsminda District,2,14,new,newly renovated,1
34,154900,54.0,2,1,1,41.707666,44.7839348,Mtatsminda District,1,3,old,newly renovated,1
