CWUR | Center for World University Rankings,,,,,,,,
world_rank,institution,country,national_rank,quality_of_education,quality_of_faculty,publications,score,year
1,Harvard University,USA,1,1,1,1,100,2015
2,Stanford University,USA,2,9,4,5,98.66,2015
3,Massachusetts Institute of Technology,USA,3,3,2,15,97.54,2015
4,University of Cambridge,United Kingdom,1,2,5,11,96.81,2015
5,University of Oxford,United Kingdom,2,7,10,7,96.46,2015
6,Columbia University,USA,4,13,9,13,96.14,2015
7,"University of California, Berkeley",USA,5,5,6,10,92.25,2015
8,University of Chicago,USA,6,11,8,17,90.7,2015
9,Princeton University,USA,7,4,3,72,89.42,2015
10,Cornell University,USA,8,12,14,24,86.79,2015
11,Yale University,USA,9,10,11,18,86.61,2015
12,California Institute of Technology,USA,10,6,7,53,84.4,2015
13,University of Tokyo,Japan,1,16,38,14,78.23,2015
14,University of Pennsylvania,USA,11,20,28,8,77.6,2015
15,"University of California, Los Angeles",USA,12,28,13,6,76.91,2015
16,Johns Hopkins University,USA,13,18,16,4,71.6,2015
17,Kyoto University,Japan,2,22,24,30,68.6,2015
18,New York University,USA,14,32,18,47,68.39,2015
19,"University of Michigan, Ann Arbor",USA,15,24,140,3,68.36,2015
20,Swiss Federal Institute of Technology in Zurich,Switzerland,1,17,17,44,66.93,2015
21,"University of California, San Diego",USA,16,36,19,16,66.59,2015
22,Northwestern University,USA,17,163,104,27,66.56,2015
23,Hebrew University of Jerusalem,Israel,1,15,15,120,65.71,2015
24,Seoul National University,South Korea,1,367,218,36,64.82,2015
25,University of Wisconsin–Madison,USA,18,29,34,21,64.51,2015
26,"University of California, San Francisco",USA,19,367,20,22,63.69,2015
27,University College London,United Kingdom,3,21,27,12,62.27,2015
28,Duke University,USA,20,74,56,19,61.55,2015
29,Rockefeller University,USA,21,49,12,372,61.28,2015
30,University of Texas at Austin,USA,22,75,25,48,61.14,2015
31,University of Washington - Seattle,USA,23,48,41,9,60.61,2015
32,University of Toronto,Canada,1,70,32,2,60.04,2015
33,University of Illinois at Urbana–Champaign,USA,24,33,21,40,59.94,2015
34,Keio University,Japan,3,284,218,309,59.84,2015
35,Imperial College London,United Kingdom,4,90,30,19,59.61,2015
36,École Polytechnique,France,1,98,216,327,59.2,2015
37,École normale supérieure - Paris,France,2,8,54,379,58.8,2015
38,Waseda University,Japan,4,288,218,406,58.17,2015
39,Weizmann Institute of Science,Israel,2,19,22,246,57.17,2015
40,University of North Carolina at Chapel Hill,USA,25,124,86,32,57.09,2015
41,University of Virginia,USA,26,209,126,94,56.73,2015
42,McGill University,Canada,2,34,75,33,56.49,2015
43,"Purdue University, West Lafayette",USA,27,55,47,75,56.39,2015
44,Dartmouth College,USA,28,40,218,246,56.35,2015
45,Osaka University,Japan,5,46,75,50,56.03,2015
46,University of Pittsburgh - Pittsburgh Campus,USA,29,79,218,25,55.63,2015
47,"Pennsylvania State University, University Park",USA,30,230,62,49,55.54,2015
48,"University of Minnesota, Twin Cities",USA,31,63,63,23,55.51,2015
49,"Ohio State University, Columbus",USA,32,96,82,28,55.39,2015
50,Rutgers University-New Brunswick,USA,33,91,37,100,55.23,2015
51,University of Southern California,USA,34,152,39,57,55.12,2015
52,Washington University in St. Louis,USA,35,101,71,41,55.03,2015
53,"University of California, Davis",USA,36,54,59,29,54.85,2015
54,University of Colorado Boulder,USA,37,80,31,96,54.62,2015
55,University of Edinburgh,United Kingdom,5,44,33,54,54.39,2015
56,Peking University,China,1,182,218,52,54.26,2015
57,National Taiwan University,Taiwan,1,92,218,46,54.23,2015
58,University of Paris-Sud,France,3,26,26,73,54.21,2015
59,Lomonosov Moscow State University,Russia,1,14,48,268,54.19,2015
60,University of Florida,USA,38,214,96,37,54.18,2015
61,Carnegie Mellon University,USA,39,25,23,211,54,2015
62,University of British Columbia,Canada,3,81,93,26,53.92,2015
63,Pierre-and-Marie-Curie University,France,4,30,88,31,53.79,2015
64,"University of California, Santa Barbara",USA,40,133,29,111,53.63,2015
65,National University of Singapore,Singapore,1,367,218,34,53.44,2015
66,Boston University,USA,41,303,83,60,53.43,2015
67,University of Manchester,United Kingdom,6,99,72,43,53.38,2015
68,University of Arizona,USA,42,139,87,74,53.26,2015
69,Vanderbilt University,USA,43,87,110,55,53.05,2015
70,University of Utah,USA,44,97,67,97,52.89,2015
71,Karolinska Institute,Sweden,1,149,36,51,52.79,2015
72,"University of Maryland, College Park",USA,45,68,43,58,52.72,2015
73,Tohoku University,Japan,6,41,218,68,52.57,2015
74,University of Copenhagen,Denmark,1,117,64,38,52.51,2015
75,University of Texas Southwestern Medical Center,USA,46,59,35,131,52.5,2015
76,Ruprecht Karl University of Heidelberg,Germany,1,38,51,69,52.32,2015
77,University of Notre Dame,USA,47,221,155,242,52.27,2015
78,Tsinghua University,China,2,309,218,63,52.21,2015
79,Ludwig Maximilian University of Munich,Germany,2,42,92,66,52.16,2015
80,Georgia Institute of Technology,USA,48,135,218,107,52.08,2015
81,University of Rochester,USA,49,72,113,114,52.03,2015
82,Katholieke Universiteit Leuven,Belgium,1,367,218,35,52.03,2015
83,Brown University,USA,50,64,73,121,52.01,2015
84,Emory University,USA,51,367,116,67,51.85,2015
85,Erasmus University Rotterdam,Netherlands,1,367,189,87,51.78,2015
86,Tel Aviv University,Israel,3,77,50,98,51.75,2015
87,Utrecht University,Netherlands,2,84,115,39,51.74,2015
88,University of Sydney,Australia,1,105,166,45,51.61,2015
89,"University of California, Irvine",USA,52,227,44,78,51.51,2015
90,University of Texas MD Anderson Cancer Center,USA,53,367,80,93,51.51,2015
91,Swiss Federal Institute of Technology in Lausanne,Switzerland,2,367,116,124,51.47,2015
92,University of Geneva,Switzerland,3,35,42,122,51.46,2015
93,University of Melbourne,Australia,2,141,218,42,51.34,2015
94,King's College London,United Kingdom,7,27,114,76,51.31,2015
95,Tufts University,USA,54,60,182,166,51.22,2015
96,University of Zurich,Switzerland,4,115,85,56,51.14,2015
97,Arizona State University,USA,55,367,66,143,51.13,2015
98,Yonsei University,South Korea,2,367,218,140,51.02,2015
99,University of Oslo,Norway,1,53,40,106,50.81,2015
100,Kyushu University,Japan,7,367,218,152,50.6,2015
101,Technical University of Munich,Germany,3,37,177,104,50.58,2015
102,"Texas A&M University, College Station",USA,56,339,46,77,50.43,2015
103,University of Queensland,Australia,3,269,142,65,50.4,2015
104,Mines ParisTech,France,5,278,169,977,50.34,2015
105,Case Western Reserve University,USA,57,50,195,137,50.28,2015
106,Indiana University - Bloomington,USA,58,134,178,180,50.26,2015
107,University of Alberta,Canada,4,169,153,62,50.25,2015
108,Leiden University,Netherlands,3,120,102,82,50.17,2015
109,Tokyo Institute of Technology,Japan,8,170,128,169,50.13,2015
110,University of Groningen,Netherlands,4,313,196,64,50.1,2015
111,University of Helsinki,Finland,1,56,111,80,50.04,2015
112,Sapienza University of Rome,Italy,1,67,45,83,49.97,2015
113,Georgetown University,USA,59,159,218,298,49.92,2015
114,University of Amsterdam,Netherlands,5,109,212,70,49.83,2015
115,Korea University,South Korea,3,367,218,172,49.79,2015
116,University of Barcelona,Spain,1,367,218,61,49.79,2015
117,Lund University,Sweden,2,136,169,85,49.75,2015
118,Michigan State University,USA,60,112,218,88,49.74,2015
119,Ghent University,Belgium,2,123,147,84,49.73,2015
120,Rice University,USA,61,52,95,255,49.73,2015
121,Baylor College of Medicine,USA,62,367,218,113,49.7,2015
122,Aarhus University,Denmark,2,310,106,91,49.65,2015
123,University of Bristol,United Kingdom,8,194,74,92,49.59,2015
124,Uppsala University,Sweden,3,73,70,95,49.57,2015
125,Nagoya University,Japan,9,39,53,138,49.57,2015
126,Royal Institute of Technology,Sweden,4,199,105,221,49.54,2015
127,University of Colorado Denver,USA,63,367,140,135,49.48,2015
