,Gross domestic product 2021,,,,
,,,,,
,,,,(millions of,
Code,Ranking,,Economy,US dollars),
,,,,,
USA,1,,United States,"2,29,96,100",
CHN,2,,China,"1,77,34,063",
JPN,3,,Japan,"49,37,422",
DEU,4,,Germany,"42,23,116",
GBR,5,,United Kingdom,"31,86,860",
IND,6,,India,"31,73,398",
FRA,7,,France,"29,37,473",
ITA,8,,Italy,"20,99,880",
CAN,9,,Canada,"19,90,762",
KOR,10,,"Korea, Rep.","17,98,534",
RUS,11,,Russian Federation,"17,75,800",a
BRA,12,,Brazil,"16,08,981",
AUS,13,,Australia,"15,42,660",
ESP,14,,Spain,"14,25,277",
MEX,15,,Mexico,"12,93,038",
IDN,16,,Indonesia,"11,86,093",
NLD,17,,Netherlands,"10,18,007",
SAU,18,,Saudi Arabia,"8,33,541",
TUR,19,,Türkiye,"8,15,272",
CHE,20,,Switzerland,"8,12,867",
POL,21,,Poland,"6,74,048",
SWE,22,,Sweden,"6,27,438",
BEL,23,,Belgium,"5,99,879",
THA,24,,Thailand,"5,05,982",
IRL,25,,Ireland,"4,98,560",
ARG,26,,Argentina,"4,91,493",
NOR,27,,Norway,"4,82,437",
ISR,28,,Israel,"4,81,591",
AUT,29,,Austria,"4,77,082",
NGA,30,,Nigeria,"4,40,777",
ZAF,31,,South Africa,"4,19,946",
BGD,32,,Bangladesh,"4,16,265",
EGY,33,,"Egypt, Arab Rep.","4,04,143",
DNK,34,,Denmark,"3,97,104",
SGP,35,,Singapore,"3,96,987",
PHL,36,,Philippines,"3,94,086",
MYS,37,,Malaysia,"3,72,701",
HKG,38,,"Hong Kong SAR, China","3,68,139",
VNM,39,,Vietnam,"3,62,638",
ARE,40,,United Arab Emirates,"3,58,869",
PAK,41,,Pakistan,"3,46,343",
CHL,42,,Chile,"3,17,059",
COL,43,,Colombia,"3,14,322",
FIN,44,,Finland,"2,99,155",
ROU,45,,Romania,"2,84,088",
CZE,46,,Czech Republic,"2,82,341",
NZL,47,,New Zealand,"2,49,992",
PRT,48,,Portugal,"2,49,886",
IRN,49,,"Iran, Islamic Rep.","2,31,548",
PER,50,,Peru,"2,23,249",
GRC,51,,Greece,"2,16,241",
IRQ,52,,Iraq,"2,07,889",
UKR,53,,Ukraine,"2,00,086",a
KAZ,54,,Kazakhstan,"1,90,814",
HUN,55,,Hungary,"1,82,281",
QAT,56,,Qatar,"1,79,571",
DZA,57,,Algeria,"1,67,983",
MAR,58,,Morocco,"1,32,725",b
SVK,59,,Slovak Republic,"1,14,871",
ETH,60,,Ethiopia,"1,11,271",
KEN,61,,Kenya,"1,10,347",
CUB,62,,Cuba,"1,07,352",
ECU,63,,Ecuador,"1,06,166",
KWT,64,,Kuwait,"1,05,960",
PRI,65,,Puerto Rico,"1,03,138",
DOM,66,,Dominican Republic,"94,243",
LUX,67,,Luxembourg,"86,711",
GTM,68,,Guatemala,"85,986",
OMN,69,,Oman,"85,869",
LKA,70,,Sri Lanka,"84,519",
BGR,71,,Bulgaria,"80,271",
GHA,72,,Ghana,"77,594",
AGO,73,,Angola,"72,547",
CIV,74,,Côte d'Ivoire,"69,765",
UZB,75,,Uzbekistan,"69,239",
BLR,76,,Belarus,"68,219",
HRV,77,,Croatia,"67,838",
TZA,78,,Tanzania,"67,775",c
LTU,79,,Lithuania,"65,504",
MMR,80,,Myanmar,"65,068",
CRI,81,,Costa Rica,"64,282",
PAN,82,,Panama,"63,605",
SRB,83,,Serbia,"63,068",
SVN,84,,Slovenia,"61,526",
URY,85,,Uruguay,"59,320",
AZE,86,,Azerbaijan,"54,622",
COD,87,,"Congo, Dem. Rep.","53,959",
TUN,88,,Tunisia,"46,840",
JOR,89,,Jordan,"45,244",
CMR,90,,Cameroon,"45,239",
TKM,91,,Turkmenistan,"45,231",
LBY,92,,Libya,"41,880",
UGA,93,,Uganda,"40,435",
BOL,94,,Bolivia,"40,408",
PRY,95,,Paraguay,"38,987",
LVA,96,,Latvia,"38,873",
BHR,97,,Bahrain,"38,869",
NPL,98,,Nepal,"36,289",
EST,99,,Estonia,"36,263",
SDN,100,,Sudan,"34,326",
MAC,101,,"Macao SAR, China","29,905",
SLV,102,,El Salvador,"28,737",
HND,103,,Honduras,"28,489",
CYP,104,,Cyprus,"27,719",d
SEN,105,,Senegal,"27,625",
KHM,106,,Cambodia,"26,961",
PNG,107,,Papua New Guinea,"26,594",
ZWE,108,,Zimbabwe,"26,218",
ISL,109,,Iceland,"25,459",
BIH,110,,Bosnia and Herzegovina,"22,572",
TTO,111,,Trinidad and Tobago,"21,392",
ZMB,112,,Zambia,"21,203",
YEM,113,,"Yemen, Rep.","21,062",
HTI,114,,Haiti,"20,944",
AFG,115,,Afghanistan,"20,116",
BFA,116,,Burkina Faso,"19,738",
MLI,117,,Mali,"19,144",
LAO,118,,Lao PDR,"18,827",
GEO,119,,Georgia,"18,700",e
GAB,120,,Gabon,"18,269",
ALB,121,,Albania,"18,260",
LBN,122,,Lebanon,"18,077",
PSE,123,,West Bank and Gaza,"18,037",
BEN,124,,Benin,"17,786",
BWA,125,,Botswana,"17,614",
MLT,126,,Malta,"17,190",
MOZ,127,,Mozambique,"16,096",
GIN,128,,Guinea,"15,851",
MNG,129,,Mongolia,"15,098",
NER,130,,Niger,"14,951",
MDG,131,,Madagascar,"14,637",
NIC,132,,Nicaragua,"14,013",
BRN,133,,Brunei Darussalam,"14,007",
MKD,134,,North Macedonia,"13,879",
ARM,135,,Armenia,"13,861",
MDA,136,,Moldova,"13,679",f
JAM,137,,Jamaica,"13,638",
MWI,138,,Malawi,"12,627",
COG,139,,"Congo, Rep.","12,524",
GNQ,140,,Equatorial Guinea,"12,269",
