Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,989,"3,776","15,046","3,984","3,564",85,"25,067,407",193,226,41
Åland Islands,252,485,"1,068","52,179","64,138",12,0,18,34,223
Albania,"8,275","45,779","174,707","10,008","13,911",29,"3,153,731",107,140,155
Algeria,"11,913","39,923","170,080","1,368","3,492",61,"32,854,159",230,227,60
American Samoa,81,209,691,"6,948","20,147",185,"64,051",138,104,17
Andorra,227,"2,872","7,215","77,195","79,803",9,"73,483",10,19,230
Angola,815,"3,785","13,943","4,539","10,083",42,"16,095,214",187,167,105
Anguilla,155,581,"1,877","8,736","19,441",54,"12,256",118,105,69
Antarctica,27,33,50,"12,787","41,993",279,0,87,55,10
Antigua and Barbuda,408,"3,070","12,436","4,182","11,191",80,"83,039",190,158,43
Argentina,"48,351","365,864","1,276,861","4,814","17,892",47,"38,747,148",181,112,89
Armenia,"5,394","43,998","154,009","14,608","15,510",20,"3,017,661",75,132,185
Aruba,302,"3,527","10,906","13,922","66,163",14,"102,897",79,31,210
Australia,"84,632","729,143","2,414,268","11,839","31,118",41,"20,310,208",94,75,111
Austria,"42,320","166,283","570,136","10,911","32,509",22,"8,291,979",101,68,176
Azerbaijan,"9,087","90,064","336,945","5,045","6,007",49,"8,352,021",175,208,84
Bahamas,911,"4,961","16,764","8,835","26,186",35,"323,295",115,85,129
Bahrain,917,"23,082","61,898","7,725","28,777",14,"724,788",131,77,210
Bangladesh,"17,275","109,103","427,042","18,422","14,344",28,"15,328,112",59,139,159
Barbados,767,"5,420","16,123","53,734","112,033",4,"291,933",16,3,234
Belarus,"13,888","61,616","185,817","20,106","24,603",24,"9,795,287",54,93,171
Belgium,"42,277","133,143","428,578","14,574","71,737",17,"10,398,049",76,22,201
Belize,"1,084","5,905","22,106","20,691","27,001",18,"275,546",52,82,197
Benin,163,401,"1,268","4,683","6,887",60,"8,490,301",185,201,62
Bermuda,166,"2,081","7,341","16,261","50,851",13,"64,174",68,46,217
Bhutan,151,444,"1,814","10,725","8,375",39,"637,013",103,186,120
Bolivia,"5,397","121,039","561,810","5,981","12,481",32,"9,182,015",156,148,144
Bosnia and Herzegovina,"13,337","50,267","180,749","3,483","15,661",28,"3,915,238",203,131,159
Botswana,"1,207","3,833","13,524","3,719","5,040",62,"1,835,938",199,218,57
Brazil,"317,801","3,519,002","14,950,034","15,730","25,143",33,"186,830,759",71,91,139
British Virgin Islands,196,"1,188","5,149","10,165","25,864",182,"22,016",106,88,20
Brunei Darussalam,"1,137","11,283","43,205","11,404","18,966",18,"373,831",97,107,197
Bulgaria,"11,592","60,270","191,842","27,992","32,883",16,"7,744,591",39,67,203
Burkina Faso,244,454,"1,651","5,784","5,988",147,"13,933,363",159,209,26
Burma,"6,317","88,637","343,567","11,843","12,290",41,"47,967,266",93,150,111
Burundi,125,281,"1,067","8,223","7,944",33,"7,858,791",125,191,139
Cambodia,"5,038","55,494","164,484","15,006","13,833",20,"13,955,507",73,141,185
Cameroon,465,"1,088","3,882","7,452","10,757",53,"17,795,149",132,161,73
Canada,"181,382","975,970","3,404,288","26,560","71,954",45,"32,270,507",45,21,92
Cape Verde,147,"1,088","3,468","16,748","20,247",42,"506,807",65,103,105
Cayman Islands,267,"2,326","8,021","8,940","26,390",34,"45,591",111,84,134
Central African Republic,29,34,48,"1,849","2,652",565,"4,191,429",227,232,4
Chad,66,123,270,"4,872","8,137",237,"10,145,609",179,189,12
Chile,"17,869","249,143","867,679","24,708","49,394",42,"16,295,102",47,47,105
China,"601,498","2,060,677","8,706,210","30,317","84,625",14,"1,312,978,855",36,16,210
Christmas Island,10,57,103,"2,731","7,988",560,0,211,190,5
Cocos (Keeling) Islands,3,9,13,"4,138","18,238",652,0,192,110,2
Colombia,"25,117","505,991","2,140,274","6,228","11,916",78,"4,494,579",150,152,44
Comoros,15,21,40,"18,657","10,385",161,"797,902",58,165,24
Congo,125,362,"1,050","11,955","17,684",103,"3,609,851",92,114,33
Cook Islands,18,31,50,"1,865","7,220",132,"13,984",226,195,29
Costa Rica,"9,782","187,020","885,950","5,835","18,468",35,"4,327,228",158,109,129
