repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
octocat/Hello-World,0,0,612,316,2,NULL
EddieHubCommunity/support,271,150,536,6,71,NULL
ethereum/aleth,0,0,313,27,154,C++
localstack/localstack,0,0,290,30,434,Python
education/classroom,0,589,202,22,67,Ruby
shobhit97/open-gpstracker,0,0,172,0,3,Java
donnemartin/system-design-primer,0,0,164,164,115,Python
jgthms/bulma,0,0,151,159,380,CSS
jgthms/bulma,0,0,151,159,380,CSS
sukritishah15/DS-Algo-Point,956,289,142,16,186,Java
taniarascia/comments,4,0,117,0,0,NULL
trailofbits/algo,0,0,115,10,163,Jinja
octocat/octocat.github.io,233,198,106,18,0,CSS
felangel/bloc,0,0,85,6,169,Dart
iamrajiv/new-keptn-docs-engine,0,1,81,3,0,JavaScript
SauravMukherjee44/Aec-Library-Website,5,2,81,29,184,HTML
mattgallagher/AudioStreamer,0,566,75,6,7,Objective-C
WhiteHouse/petitions,0,353,65,16,25,JavaScript
EddieHubCommunity/LinkFree,0,956,63,22,658,JavaScript
rrousselGit/freezed,0,169,61,6,73,Dart
google/accompanist,0,389,59,6,75,Kotlin
brettkromkamp/contextualise,960,43,57,0,6,Python
devraj/google-diff-match-patch,0,0,57,0,0,Python
ritwickdey/live-server-web-extension,598,237,56,8,3,JavaScript
ritwickdey/live-server-web-extension,598,237,56,8,3,JavaScript
WhiteHouse/cyber-acquisitions,8,37,54,5,5,CSS
xoreaxeaxeax/sandsifter,0,398,53,9,0,Python
EddieHubCommunity/awesome-github-profiles,925,612,51,9,434,HTML
adrianhajdin/project_cryptoverse,0,298,49,16,2,JavaScript
openfoodfacts/api-documentation,11,7,48,7,10,HTML
florinpop17/app-ideas,0,0,46,235,68,NULL
adrianhajdin/project_e_commerce,0,450,45,5,0,JavaScript
samczsun/Skype4J,144,53,43,2,10,Java
donnemartin/gitsome,0,460,43,14,28,Python
education/classroom-assistant,101,39,43,2,17,JavaScript
aviaryan/Clipjump,332,58,42,2,3,AutoHotkey
antonmedv/expr,0,216,41,12,33,Go
education/teachers,176,28,39,0,2,NULL
octocat/hello-worId,176,114,35,9,0,NULL
arogozhnikov/einops,0,249,34,5,18,Python
SauravMukherjee44/CodeIN-Community-Website,70,142,34,8,65,HTML
donnemartin/haxor-news,0,177,34,5,9,Python
anuraghazra/anuraghazra,228,0,33,4,3,NULL
sagesharp/foss-heartbeat,297,40,33,3,11,Python
donnemartin/interactive-coding-challenges,0,0,32,36,42,Python
khannakshat7/Elektra,38,85,32,18,20,HTML
ethereum/act,126,22,31,0,9,Haskell
gylidian/gylidian.github.io,0,0,31,0,0,HTML
donnemartin/saws,0,278,30,6,8,Python
localstack/docs,21,32,28,6,44,SCSS
adrianhajdin/project_graphql_blog,977,233,28,5,0,JavaScript
garimasingh128/awesome-python-projects,440,127,27,14,30,Jupyter Notebook
WhiteHouse/api-standards,0,910,27,7,12,NULL
openfoodfacts/hunger-games,2,6,27,2,9,JavaScript
adrianhajdin/ecommerce_sanity_stripe,907,220,27,18,0,JavaScript
education/teachers_pet,184,74,26,9,9,Ruby
offensive-security/kali-nethunter,0,897,26,3,33,NULL
octocat/git-consortium,135,67,25,10,0,NULL
btholt/complete-intro-to-react,0,961,25,11,15,JavaScript
lynxerzhang/JSSkills,0,0,25,0,0,JavaScript
feross/buffer,0,214,24,14,62,JavaScript
ethereum/beacon-APIs,190,106,24,11,25,HTML
loveBabbar/CodeHelp-DSA-Busted-Series,0,913,24,125,19,C++
arkokoley/pdfvuer,722,114,24,0,17,Vue
rrousselGit/flutter_hooks,0,142,23,2,45,Dart
donnemartin/dev-setup,0,0,23,10,16,Python
adrianhajdin/project_chat_application,0,973,23,24,0,JavaScript
thrau/jarchivelib,183,33,23,4,7,Java
arogozhnikov/hep_ml,151,58,22,0,8,Jupyter Notebook
wellington1993/avaliacao_desenvolvedor,1,70,22,15,0,Ruby
wellington1993/avaliacao_desenvolvedor,1,70,22,15,0,Ruby
Tyriar/dotfiles,31,5,21,0,0,Shell
ralexstokes/ethereum-consensus,41,11,21,0,7,Rust
majkinetor/au,214,79,21,0,24,PowerShell
trailofbits/cb-multios,465,100,21,3,16,C
google/adb-sync,0,156,21,7,7,Python
tapaswenipathak/CFP,0,1,21,0,2,Python
offensive-security/exploitdb,0,0,21,18,17,C
google/access-bridge-explorer,97,46,21,0,0,C#
btholt/complete-intro-to-react-v5,0,0,21,32,5,JavaScript
PawanKolhe/color-calendar,130,58,20,7,0,TypeScript
Chirag321ratvekar/MLOPs-Automation-,0,1,20,0,0,Jupyter Notebook
majkinetor/au-packages,53,40,19,0,22,HTML
jgthms/css-reference,0,326,19,18,3,HTML
adrianhajdin/chat_application,829,413,19,1,0,JavaScript
justinshenk/fer,210,62,19,0,5,Jupyter Notebook
jgthms/css-reference,0,326,19,18,3,HTML
justinshenk/fer,210,62,19,0,5,Jupyter Notebook
ethereum/cbc-casper,227,42,19,3,9,Python
kdeldycke/meta-package-manager,272,27,18,7,15,Python
rupa/epub,360,62,18,5,2,Python
LiveOverflow/PwnAdventure3,548,124,18,3,2,C++
ethereum/casper,681,181,18,5,19,Python
garimasingh128/Alexa-skills-starters,24,15,18,0,5,Python
google/addlicense,530,143,18,16,36,Go
davglass/doorbot,315,59,18,7,6,JavaScript
benawad/astral-bugs,42,1,18,0,0,NULL
vicky002/AlgoWiki,0,0,17,13,194,CSS
bradtraversy/alexis_speech_assistant,261,177,17,10,6,Python
EddieHubCommunity/good-first-issue-finder,133,92,17,2,31,Svelte
EddieHubCommunity/EddieBot,119,129,16,6,82,TypeScript
openfoodfacts/offf,0,0,16,0,0,NULL
offensive-security/nethunter-app,281,159,16,2,22,NULL
anuraghazra/BugVilla,206,70,16,19,2,TypeScript
Shreeshrii/tessdata_shreetest,133,28,16,0,0,Shell
openfoodfacts/off-category-classification,4,3,16,21,6,Jupyter Notebook
salil-naik/css-art-gallery,126,206,16,5,29,JavaScript
xoreaxeaxeax/movfuscator,0,449,16,4,0,C
smaranjitghose/awesome-portfolio-websites,0,0,16,4,151,HTML
google/acme,382,55,16,7,10,Go
florinpop17/100Days100Projects,430,69,16,1,0,NULL
education/autograding,27,30,15,22,0,TypeScript
ethereum/btcrelay,564,174,15,7,6,Python
zemse/create-solidity-project,8,9,15,19,3,JavaScript
WhiteHouse/fortyfour,339,58,15,6,5,CSS
EddieHubCommunity/EddieHubLive,15,12,15,0,7,JavaScript
stemount/cloutbot,5,2,14,2,0,NULL
curiousily/Getting-Things-Done-with-Pytorch,0,513,14,3,0,Jupyter Notebook
jgthms/bulma-website,40,35,14,6,12,CSS
jgthms/bulma-website,40,35,14,6,12,CSS
benawad/codeponder,260,47,14,1,9,TypeScript
prtamil/c-libutl,0,0,14,0,0,C
taniarascia/new-moon,0,87,14,2,9,Less
adrianhajdin/project_medical_pager_chat,968,336,14,5,0,JavaScript
trailofbits/blight,63,5,14,0,7,Python
antonmedv/codejar,0,87,14,1,20,TypeScript
education/GitHubGraduation-2021,0,0,14,0,0,JavaScript
defuse/defuse.ca,53,17,14,0,3,HTML
offensive-security/nethunter-devices,217,207,13,3,30,NULL
anshrathod/Basic-Python-Scripts,18,93,13,1,112,Python
offensive-security/kali-arm-build-scripts,805,397,13,1,13,NULL
google/active-qa,339,69,13,0,0,Python
benfoxall/benfoxall.github.com,5,6,13,1,2,JavaScript
yourcelf/btb,13,8,13,4,3,Python
antonmedv/fx,0,428,13,2,23,Go
ethereum/async-service,6,9,13,1,6,Python
openfoodfacts/fastlane-descriptions-smoothie,0,0,13,12,4,Ruby
ethereum/clef-ui,24,15,13,0,4,QML
Tyriar/atom-navigation-history,2,3,13,1,0,CoffeeScript
davglass/cpr,76,29,13,5,15,JavaScript
ethereum/builder-specs,67,13,13,3,9,HTML
devongovett/atom-jade,51,26,13,3,15,HTML
EddieHubCommunity/EddieHubCommunity.github.io,101,86,12,1,47,HTML
HarshCasper/AllNotes,36,30,12,7,14,JavaScript
EddieHubCommunity/EventCalendar,34,39,12,4,21,JavaScript
vasu-1/pygithub-bot,8,1,12,0,2,Python
AnandBaburajan/Kukkee,231,46,12,0,16,TypeScript
WhiteHouse/ndoch-hackathon,16,14,12,1,0,NULL
vasu-1/pygithub-bot,8,1,12,0,2,Python
adrianhajdin/project_corona_tracker,0,373,12,18,0,JavaScript
openfoodfacts/hungergames-old,4,2,12,0,2,Python
casatwy/CTVideoPlayerView,641,81,11,0,5,Objective-C
btholt/citr-v6-project,487,499,11,6,0,JavaScript
btholt/complete-intro-to-react-v6,0,223,11,21,13,JavaScript
ljharb/can-merge,14,3,11,3,12,JavaScript
EddieHubCommunity/infrastructure,17,2,11,1,2,TypeScript
benawad/astralfans-landing,98,3,11,0,0,HTML
devraj/PassCodeInput,21,2,11,0,3,Swift
iamshaunjp/Complete-React-Tutorial,995,0,11,7,0,NULL
casatwy/CTNetworking,479,104,11,1,0,Objective-C
donnemartin/data-science-ipython-notebooks,0,0,11,13,12,Python
OmkarKandale/pet-clinic,0,0,11,0,0,Java
iamshaunjp/Complete-React-Tutorial,995,0,11,7,0,NULL
localstack/cockpit,12,0,10,0,2,NULL
stemount/automated-cloud-radio-station,8,1,10,0,0,NULL
localstack/localstack-java-utils,64,41,10,3,24,Java
jishanshaikh4/adblocker-ultimate,16,16,10,3,0,JavaScript
jakearchibald/byte-storage,40,2,10,0,2,NULL
mrdbourke/machine-learning-roadmap,0,0,10,1,0,NULL
education/guide,32,18,10,0,12,Ruby
defuse/DAWr,19,0,10,0,0,Rust
openfoodfacts/folksonomy_api,7,5,10,8,5,Python
trailofbits/ctf,0,248,10,3,18,C
openfoodfacts/community-portal,3,2,10,12,6,Python
aviaryan/awesome-no-login-web-apps,0,198,9,29,65,Shell
openfoodfacts/off-nutrition-table-extractor,172,66,9,10,8,Jupyter Notebook
openfoodfacts/folksonomy_frontend,1,0,9,0,3,JavaScript
EddieHubCommunity/DailyTips,16,6,9,0,9,TypeScript
byt3bl33d3r/DeathStar,0,326,9,3,7,Python
education/GitHubGraduation-2022,0,0,9,484,0,NULL
byt3bl33d3r/chrome-decrypter,251,91,9,2,2,Python
google/accname,14,3,9,0,6,TypeScript
carloscuesta/gitmoji,0,691,9,0,88,JavaScript
JayjeetAtGithub/Audition-Management-System,3,8,9,0,2,Python
adrianhajdin/projects_realestate,749,262,9,0,2,JavaScript
shreyashankar/gpt3-sandbox,0,757,9,2,12,JavaScript
jgthms/bulma-start,269,72,9,9,2,CSS
defuse/flush-reload-attacks,155,80,9,1,2,Ruby
