Entity,Code,Year,Global Hunger Index (2021)
Afghanistan,AFG,2000,50.9
Afghanistan,AFG,2006,42.7
Afghanistan,AFG,2012,34.3
Afghanistan,AFG,2021,28.3
Albania,ALB,2000,20.7
Albania,ALB,2006,15.9
Albania,ALB,2012,8.8
Albania,ALB,2021,6.2
Algeria,DZA,2000,14.5
Algeria,DZA,2006,11.7
Algeria,DZA,2012,8.9
Algeria,DZA,2021,6.9
Angola,AGO,2000,65
Angola,AGO,2006,46.9
Angola,AGO,2012,27.8
Angola,AGO,2021,26
Argentina,ARG,2000,6.4
Argentina,ARG,2006,5.6
Argentina,ARG,2012,5.2
Argentina,ARG,2021,5.3
Armenia,ARM,2000,19.3
Armenia,ARM,2006,13.3
Armenia,ARM,2012,10.4
Armenia,ARM,2021,7.2
Azerbaijan,AZE,2000,25
Azerbaijan,AZE,2006,15.9
Azerbaijan,AZE,2012,10.6
Azerbaijan,AZE,2021,7.5
Bangladesh,BGD,2000,34
Bangladesh,BGD,2006,28.9
Bangladesh,BGD,2012,28.6
Bangladesh,BGD,2021,19.1
Belarus,BLR,2000,2.5
Belarus,BLR,2006,2.5
Belarus,BLR,2012,2.5
Belarus,BLR,2021,2.5
Benin,BEN,2000,34
Benin,BEN,2006,27.7
Benin,BEN,2012,24
Benin,BEN,2021,22.2
Bolivia,BOL,2000,27.7
Bolivia,BOL,2006,23.3
Bolivia,BOL,2012,15.6
Bolivia,BOL,2021,12.7
Bosnia and Herzegovina,BIH,2000,9.3
Bosnia and Herzegovina,BIH,2006,6.7
Bosnia and Herzegovina,BIH,2012,2.5
Bosnia and Herzegovina,BIH,2021,2.5
Botswana,BWA,2000,26.7
Botswana,BWA,2006,26.2
Botswana,BWA,2012,24.3
Botswana,BWA,2021,23.2
Brazil,BRA,2000,11.5
Brazil,BRA,2006,7.4
Brazil,BRA,2012,5.5
Brazil,BRA,2021,2.5
Bulgaria,BGR,2000,8.6
Bulgaria,BGR,2006,8.1
Bulgaria,BGR,2012,7.8
Bulgaria,BGR,2021,6.1
Burkina Faso,BFA,2000,44.9
Burkina Faso,BFA,2006,35.8
Burkina Faso,BFA,2012,29.7
Burkina Faso,BFA,2021,24.5
Burundi,BDI,2021,42.5
Cambodia,KHM,2000,41.1
Cambodia,KHM,2006,27.1
Cambodia,KHM,2012,24.2
Cambodia,KHM,2021,17
Cameroon,CMR,2000,35.7
Cameroon,CMR,2006,30.9
Cameroon,CMR,2012,23.1
Cameroon,CMR,2021,18.6
Cape Verde,CPV,2000,15.4
Cape Verde,CPV,2006,11.9
Cape Verde,CPV,2012,12.3
Cape Verde,CPV,2021,10.8
Central African Republic,CAF,2000,48.9
Central African Republic,CAF,2006,48
Central African Republic,CAF,2012,40.5
Central African Republic,CAF,2021,43
Chad,TCD,2000,50.8
Chad,TCD,2006,51.2
Chad,TCD,2012,45.7
Chad,TCD,2021,39.6
Chile,CHL,2000,2.5
Chile,CHL,2006,2.5
Chile,CHL,2012,2.5
Chile,CHL,2021,2.5
China,CHN,2000,13.3
China,CHN,2006,9
China,CHN,2012,2.5
China,CHN,2021,2.5
Colombia,COL,2000,10.9
Colombia,COL,2006,11.4
Colombia,COL,2012,9.3
Colombia,COL,2021,8.9
Comoros,COM,2021,42.5
Congo,COG,2000,34.9
Congo,COG,2006,34.6
Congo,COG,2012,28.5
Congo,COG,2021,30.3
Costa Rica,CRI,2000,7
Costa Rica,CRI,2006,5.5
Costa Rica,CRI,2012,2.5
Costa Rica,CRI,2021,5.3
Cote d'Ivoire,CIV,2000,33.3
Cote d'Ivoire,CIV,2006,37.1
Cote d'Ivoire,CIV,2012,30
Cote d'Ivoire,CIV,2021,22.3
Croatia,HRV,2000,2.5
Croatia,HRV,2006,2.5
Croatia,HRV,2012,2.5
Croatia,HRV,2021,2.5
Cuba,CUB,2000,2.5
Cuba,CUB,2006,2.5
Cuba,CUB,2012,2.5
Cuba,CUB,2021,2.5
Democratic Republic of Congo,COD,2000,50.6
Democratic Republic of Congo,COD,2006,45.3
Democratic Republic of Congo,COD,2012,42.3
Democratic Republic of Congo,COD,2021,39
Djibouti,DJI,2000,44.3
Djibouti,DJI,2006,36.9
Djibouti,DJI,2012,35.4
Djibouti,DJI,2021,27.4
Dominican Republic,DOM,2000,15.1
Dominican Republic,DOM,2006,13.2
Dominican Republic,DOM,2012,10.2
Dominican Republic,DOM,2021,8
Ecuador,ECU,2000,19.7
Ecuador,ECU,2006,18.9
Ecuador,ECU,2012,12.8
Ecuador,ECU,2021,14
Egypt,EGY,2000,16.3
Egypt,EGY,2006,14.4
Egypt,EGY,2012,15.2
Egypt,EGY,2021,12.5
El Salvador,SLV,2000,14.7
El Salvador,SLV,2006,12
El Salvador,SLV,2012,10.4
El Salvador,SLV,2021,8.9
Estonia,EST,2000,2.5
Estonia,EST,2006,2.5
Estonia,EST,2012,2.5
Estonia,EST,2021,2.5
Eswatini,SWZ,2000,24.5
Eswatini,SWZ,2006,23.2
Eswatini,SWZ,2012,21.8
Eswatini,SWZ,2021,17
Ethiopia,ETH,2000,53.5
Ethiopia,ETH,2006,43.4
Ethiopia,ETH,2012,33.5
Ethiopia,ETH,2021,24.1
Fiji,FJI,2000,9.6
Fiji,FJI,2006,9
Fiji,FJI,2012,8.1
Fiji,FJI,2021,8.6
Gabon,GAB,2000,21
Gabon,GAB,2006,20.2
Gabon,GAB,2012,18.6
Gabon,GAB,2021,16.6
Gambia,GMB,2000,29
Gambia,GMB,2006,27.5
Gambia,GMB,2012,22.1
Gambia,GMB,2021,17.6
Georgia,GEO,2000,12.3
Georgia,GEO,2006,8.8
Georgia,GEO,2012,2.5
Georgia,GEO,2021,6.3
Ghana,GHA,2000,28.4
Ghana,GHA,2006,22
Ghana,GHA,2012,17.9
Ghana,GHA,2021,14.9
Guatemala,GTM,2000,28.4
Guatemala,GTM,2006,24.6
Guatemala,GTM,2012,22
Guatemala,GTM,2021,19.6
Guinea,GIN,2021,27.5
Guinea-Bissau,GNB,2021,27.5
Guyana,GUY,2000,17.1
Guyana,GUY,2006,15.6
Guyana,GUY,2012,12.1
Guyana,GUY,2021,10.7
Haiti,HTI,2000,42
Haiti,HTI,2006,43.6
Haiti,HTI,2012,35.2
Haiti,HTI,2021,32.8
Honduras,HND,2000,21.8
Honduras,HND,2006,19.6
Honduras,HND,2012,13.8
Honduras,HND,2021,12.8
India,IND,2000,38.8
India,IND,2006,37.4
India,IND,2012,28.8
India,IND,2021,27.5
Indonesia,IDN,2000,26.1
Indonesia,IDN,2006,29.5
Indonesia,IDN,2012,23
Indonesia,IDN,2021,18
Iran,IRN,2000,13.5
Iran,IRN,2006,8.9
Iran,IRN,2012,8.1
Iran,IRN,2021,7.7
Iraq,IRQ,2000,23.9
Iraq,IRQ,2006,23.9
Iraq,IRQ,2012,27.5
Iraq,IRQ,2021,22.8
Jamaica,JAM,2000,8.6
Jamaica,JAM,2006,9
Jamaica,JAM,2012,9.1
Jamaica,JAM,2021,8.6
Jordan,JOR,2000,10.8
Jordan,JOR,2006,8.1
Jordan,JOR,2012,8.5
Jordan,JOR,2021,8.3
Kazakhstan,KAZ,2000,11.2
Kazakhstan,KAZ,2006,12.3
Kazakhstan,KAZ,2012,8.1
Kazakhstan,KAZ,2021,6.4
Kenya,KEN,2000,36.7
Kenya,KEN,2006,31.2
Kenya,KEN,2012,25.4
Kenya,KEN,2021,23
Kuwait,KWT,2000,2.5
Kuwait,KWT,2006,2.5
Kuwait,KWT,2012,2.5
Kuwait,KWT,2021,2.5
Kyrgyzstan,KGZ,2000,18.3
Kyrgyzstan,KGZ,2006,13.9
Kyrgyzstan,KGZ,2012,11.7
Kyrgyzstan,KGZ,2021,8.6
Laos,LAO,2000,44.1
Laos,LAO,2006,31.9
Laos,LAO,2012,25.7
Laos,LAO,2021,19.5
Latvia,LVA,2000,5.5
Latvia,LVA,2006,2.5
Latvia,LVA,2012,2.5
Latvia,LVA,2021,2.5
Lebanon,LBN,2000,11.6
Lebanon,LBN,2006,13.2
Lebanon,LBN,2012,12.3
Lebanon,LBN,2021,9.7
Lesotho,LSO,2000,32.5
Lesotho,LSO,2006,29.6
Lesotho,LSO,2012,24.6
Lesotho,LSO,2021,27.4
Liberia,LBR,2000,48.1
Liberia,LBR,2006,40
Liberia,LBR,2012,35
Liberia,LBR,2021,33.3
Lithuania,LTU,2000,2.5
Lithuania,LTU,2006,2.5
Lithuania,LTU,2012,2.5
Lithuania,LTU,2021,2.5
Madagascar,MDG,2000,42.8
Madagascar,MDG,2006,41.6
Madagascar,MDG,2012,34.3
Madagascar,MDG,2021,36.3
Malawi,MWI,2000,43.1
Malawi,MWI,2006,33.5
Malawi,MWI,2012,26.2
Malawi,MWI,2021,21.3
Malaysia,MYS,2000,15.4
Malaysia,MYS,2006,13.7
Malaysia,MYS,2012,12.4
Malaysia,MYS,2021,12.8
Mali,MLI,2000,41.7
Mali,MLI,2006,36.8
Mali,MLI,2012,24.8
Mali,MLI,2021,24.7
Mauritania,MRT,2000,31.9
Mauritania,MRT,2006,28.9
Mauritania,MRT,2012,23.6
Mauritania,MRT,2021,22.6
Mauritius,MUS,2000,15.2
Mauritius,MUS,2006,14
Mauritius,MUS,2012,13
Mauritius,MUS,2021,12.2
