Crash Year,Crash Month,Crash Day,Time of Day,Day of Week,City or Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Weather Conditions (2016+),Speed Limit at Crash Site,Worst Injury in Crash,Party Type,Person Age,Person Gender
2018,February,1,9:00 AM - 10:00 AM,Thursday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Clear,35,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,February,1,7:00 PM - 8:00 PM,Thursday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,30,Suspected serious injury (A),Motor vehicle driver,44,Female
2018,February,1,11:00 AM - 12:00 noon,Thursday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Cloudy,30,Possible injury (C),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,February,1,6:00 PM - 7:00 PM,Thursday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,30,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,March,1,2:00 PM - 3:00 PM,Thursday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Snow,25,No injury (O),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,April,1,1:00 PM - 2:00 PM,Sunday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,27,Female
2018,May,1,8:00 AM - 9:00 AM,Tuesday,Wayne County: Southgate,Intersection crash,Not hit-and-run,Daylight,Clear,45,Possible injury (C),Motor vehicle driver,22,Male
2018,May,1,3:00 PM - 4:00 PM,Tuesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,35,Suspected minor injury (B),Motor vehicle driver,18,Male
2018,May,1,3:00 PM - 4:00 PM,Tuesday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,30,Suspected minor injury (B),Motor vehicle driver,20,Female
2018,June,1,8:00 PM - 9:00 PM,Friday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Clear,25,Suspected minor injury (B),Motor vehicle driver,47,Female
2018,June,1,2:00 PM - 3:00 PM,Friday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,30,Possible injury (C),Motor vehicle driver,18,Male
2018,June,1,9:00 AM - 10:00 AM,Friday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,50,Female
2018,July,1,10:00 PM - 11:00 PM,Sunday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,51,Male
2018,July,1,10:00 PM - 11:00 PM,Sunday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,DOB invalid,Male
2018,August,1,6:00 PM - 7:00 PM,Wednesday,Wayne County: Belleville,Intersection crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,36,Male
2018,August,1,12:00 noon - 1:00 PM,Wednesday,Wayne County: Inkster,Intersection crash,Hit-and-run,Daylight,Clear,15,Possible injury (C),Motor vehicle driver,DOB invalid,Female
2018,August,1,5:00 PM - 6:00 PM,Wednesday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Clear,Uncoded & errors,No injury (O),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,August,1,11:00 PM - 12:00 midnight,Wednesday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Clear,Uncoded & errors,Fatal injury (K),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,September,1,8:00 PM - 9:00 PM,Saturday,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Clear,35,Suspected minor injury (B),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,October,1,7:00 AM - 8:00 AM,Monday,Wayne County: Livonia,Intersection crash,Not hit-and-run,Daylight,Rain,25,Suspected minor injury (B),Motor vehicle driver,17,Female
2018,October,1,2:00 PM - 3:00 PM,Monday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Clear,45,Suspected minor injury (B),Motor vehicle driver,31,Male
2018,October,1,7:00 AM - 8:00 AM,Monday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Cloudy,30,Suspected minor injury (B),Motor vehicle driver,53,Male
2018,October,1,12:00 noon - 1:00 PM,Monday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Rain,25,No injury (O),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,October,1,7:00 AM - 8:00 AM,Monday,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Rain,25,Possible injury (C),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,November,1,9:00 AM - 10:00 AM,Thursday,Wayne County: Wyandotte,Intersection crash,Not hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,21,Female
2018,November,1,7:00 PM - 8:00 PM,Thursday,Wayne County: Dearborn,Not intersection crash,Hit-and-run,Dark lighted,Rain,40,Suspected serious injury (A),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,November,1,6:00 PM - 7:00 PM,Thursday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dusk,Rain,Uncoded & errors,Possible injury (C),Motor vehicle driver,69,Male
2018,November,1,7:00 AM - 8:00 AM,Thursday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Rain,35,Possible injury (C),Motor vehicle driver,52,Female
2018,November,1,6:00 PM - 7:00 PM,Thursday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Rain,25,No injury (O),Motor vehicle driver,26,Female
2018,November,1,5:00 AM - 6:00 AM,Thursday,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dark lighted,Rain,35,Fatal injury (K),Motor vehicle driver,58,Male
2018,November,1,2:00 PM - 3:00 PM,Thursday,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,DOB invalid,Uncoded & errors
2018,December,1,11:00 AM - 12:00 noon,Saturday,Wayne County: Wyandotte,Intersection crash,Not hit-and-run,Daylight,Cloudy,25,No injury (O),Motor vehicle driver,59,Female
2018,December,1,7:00 PM - 8:00 PM,Saturday,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Rain,35,Possible injury (C),Motor vehicle driver,35,Male
