,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
1,Drake,"50,162,292,808","19,246,513,666",262,6,130,19.09.22
2,Bad Bunny,"44,369,032,140","5,391,990,975",163,5,118,20.09.22
3,Ed Sheeran,"38,153,682,361","2,791,278,201",240,10,62,19.09.22
4,The Weeknd,"34,767,779,741","4,288,903,657",186,8,72,19.09.22
5,Taylor Swift,"32,596,728,109","424,053,296",323,1,96,20.09.22
6,Justin Bieber,"32,465,998,885","10,816,202,075",225,6,58,20.09.22
7,Ariana Grande,"32,287,682,040","2,052,297,828",181,8,71,19.09.22
8,Eminem,"30,431,861,291","4,165,031,640",301,5,65,19.09.22
9,Post Malone,"29,832,277,109","2,728,018,288",98,9,57,19.09.22
10,BTS,"28,533,458,128","323,205,288",262,1,98,19.09.22
11,J Balvin,"25,892,190,469","9,950,347,777",242,3,66,19.09.22
12,Kanye West,"25,535,119,184","5,767,153,127",239,1,63,20.09.22
13,Billie Eilish,"23,684,986,780",0,65,4,47,20.09.22
14,Juice WRLD,"23,114,066,243","3,751,941,085",116,3,60,19.09.22
15,Coldplay,"22,214,835,214",0,299,5,34,20.09.22
16,Dua Lipa,"22,186,290,470","349,750,231",198,7,36,19.09.22
17,Imagine Dragons,"21,812,218,476","65,400,698",189,4,41,19.09.22
18,XXXTENTACION,"21,726,799,289","2,664,663,104",144,7,44,18.09.22
19,Ozuna,"21,119,272,574","7,514,655,612",215,1,51,17.09.22
20,Khalid,"20,973,735,166","2,923,419,376",119,7,40,15.09.22
21,Rihanna,"20,761,226,681","6,677,097,087",278,2,46,19.09.22
22,Travis Scott,"20,566,427,073","9,662,107,113",113,4,49,17.09.22
23,Maroon 5,"19,952,566,778","18,447",240,7,31,17.09.22
24,David Guetta,"19,104,897,589","1,131,603,410",705,1,46,19.09.22
25,Shawn Mendes,"18,964,777,185","46,809,153",126,5,34,19.09.22
26,Bruno Mars,"18,201,285,113","3,874,562,483",81,5,32,06.09.22
27,Daddy Yankee,"18,075,604,863","5,656,394,885",360,4,44,16.09.22
28,Calvin Harris,"17,820,311,936","419,338,360",238,3,29,03.09.22
29,Kendrick Lamar,"17,650,726,013","8,647,763,108",121,2,41,19.09.22
30,Sam Smith,"16,883,863,013","277,349,953",145,4,31,19.09.22
31,Queen,"16,557,204,478","35,125,587",557,4,24,20.09.22
32,Beyoncé,"15,593,114,022","1,949,901,038",366,1,36,19.09.22
33,Adele,"15,561,219,687","74,107,163",71,5,28,19.09.22
34,Future,"15,552,849,123","9,255,946,718",504,1,29,17.09.22
35,One Direction,"15,499,795,436",0,124,0,45,19.09.22
36,The Chainsmokers,"15,484,677,966","400,919,869",197,4,27,13.09.22
37,Chris Brown,"15,440,015,429","7,787,759,348",427,0,38,19.09.22
38,Lady Gaga,"14,897,662,581","94,739,265",314,1,27,19.09.22
39,J. Cole,"14,849,857,590","3,309,086,106",137,1,39,20.09.22
40,Nicki Minaj,"14,744,100,678","10,558,501,637",171,2,35,19.09.22
41,Anuel AA,"14,364,736,608","4,592,555,695",160,1,35,19.09.22
42,Halsey,"14,151,726,087","2,459,831,429",180,3,24,12.09.22
43,The Beatles,"14,001,404,418",0,792,0,39,19.09.22
44,Selena Gomez,"13,905,383,000","2,075,330,489",140,3,24,19.09.22
45,Sia,"13,601,270,394","3,054,317,056",323,2,26,19.09.22
46,Maluma,"13,551,469,480","7,414,576,492",195,0,34,18.08.22
47,Harry Styles,"13,347,420,670",0,39,4,35,20.09.22
48,Marshmello,"13,049,327,287","641,714,533",163,4,19,15.09.22
49,Lil Uzi Vert,"12,985,704,210","8,235,141,311",140,1,33,19.09.22
50,Linkin Park,"12,970,759,855","47,851,519",350,2,30,18.09.22
51,Twenty One Pilots,"12,949,146,668",0,90,3,36,18.09.22
52,Rauw Alejandro,"12,914,088,970","1,924,490,635",182,0,34,18.09.22
53,Katy Perry,"12,631,477,879","1,217,714,183",180,0,30,19.09.22
54,Kygo,"12,519,097,847","1,133,263,396",107,1,30,09.09.22
55,Avicii,"12,484,875,427","456,987,347",248,3,18,20.09.22
56,Lana Del Rey,"12,457,976,768","801,314,209",166,0,37,19.09.22
57,Farruko,"11,983,825,654","6,531,990,862",343,1,31,31.07.22
58,Doja Cat,"11,973,361,879","1,669,029,614",85,3,25,19.09.22
59,Camila Cabello,"11,822,254,851","2,188,298,508",61,2,24,19.09.22
60,Jason Derulo,"11,262,694,386","742,144,326",197,0,28,08.09.22
61,Arctic Monkeys,"11,249,748,739",0,134,1,24,19.09.22
62,KAROL G,"11,177,377,040","553,732,559",85,2,29,20.09.22
63,Red Hot Chili Peppers,"11,005,993,478",0,266,0,17,18.09.22
64,Shakira,"10,782,631,210","1,255,591,184",232,1,25,19.09.22
65,Demi Lovato,"10,668,611,459","1,425,100,886",251,1,23,19.09.22
66,Miley Cyrus,"9,940,559,934","931,030,339",197,1,17,18.09.22
67,OneRepublic,"9,926,540,057","219,314,451",167,1,27,28.08.22
68,Nicky Jam,"9,861,155,500","9,052,517,716",220,0,27,31.07.22
69,Michael Jackson,"9,754,680,636","547,196,557",327,1,21,19.09.22
70,Lil Baby,"9,670,090,585","8,736,714,891",181,1,21,19.09.22
71,Myke Towers,"9,667,486,409","4,145,835,762",168,0,28,20.09.22
72,Charlie Puth,"9,570,632,839","231,391,689",109,3,14,20.09.22
73,Pitbull,"9,426,002,918","3,062,823,873",394,1,21,10.09.22
74,Martin Garrix,"9,390,213,325","87,715,051",199,2,19,17.09.22
75,Sebastian Yatra,"9,365,402,828","850,201,743",126,0,30,19.09.22
76,DaBaby,"9,326,324,913","4,757,336,377",157,2,18,18.09.22
77,21 Savage,"9,289,820,129","6,019,152,179",162,0,24,19.09.22
78,Mac Miller,"9,187,372,325","699,621,455",221,0,21,13.09.22
79,Panic! At The Disco,"9,107,446,450","669,606,481",146,1,20,06.09.22
80,Pop Smoke,"9,097,323,859","930,302,921",99,0,19,06.09.22
81,Cardi B,"9,066,363,643","6,163,998,179",70,2,18,17.09.22
82,Sech,"9,011,436,885","2,900,320,709",123,0,25,31.07.22
83,Lil Wayne,"8,970,128,688","14,160,244,567",476,0,19,17.09.22
84,Young Thug,"8,956,248,071","9,576,540,270",366,0,20,17.09.22
85,Olivia Rodrigo,"8,954,631,138","1,691,988",37,2,13,19.09.22
86,Metallica,"8,890,283,866","7,116,668",814,0,16,19.09.22
87,G-Eazy,"8,847,885,490","2,309,356,739",224,1,17,25.08.22
88,Ellie Goulding,"8,826,849,897","639,400,676",167,1,16,06.09.22
89,Lil Nas X,"8,778,149,366",0,34,3,11,16.09.22
90,Major Lazer,"8,758,754,488","614,069,138",269,3,14,05.09.22
91,Alan Walker,"8,727,932,813","1,852,490,942",170,1,18,01.09.22
92,Wiz Khalifa,"8,695,422,254","7,040,015,281",461,1,19,18.09.22
93,Lil Peep,"8,691,721,490","335,277,695",104,0,23,18.09.22
94,Diplo,"8,496,096,848","1,757,002,014",397,0,24,13.09.22
95,Fall Out Boy,"8,451,431,705","38,756,715",199,0,18,13.09.22
96,Elton John,"8,437,442,330","318,323,546",936,1,17,19.09.22
97,AC/DC,"8,283,420,177",0,313,3,10,19.09.22
98,P!nk,"8,243,802,966","663,799,734",227,0,23,18.09.22
99,John Mayer,"8,243,443,329","514,893,335",208,0,20,16.09.22
100,Logic,"8,221,159,539","1,940,369,157",193,1,14,11.09.22
101,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
102,Migos,"8,212,730,428","3,413,743,336",283,0,18,20.09.22
103,Trippie Redd,"8,169,854,684","3,237,110,398",197,0,24,15.09.22
104,Gunna,"8,136,453,038","4,669,227,285",178,2,15,14.09.22
105,Tyga,"8,136,081,475","4,144,077,151",303,1,20,31.07.22
106,James Arthur,"8,094,663,482","77,343,574",147,1,14,18.09.22
107,Little Mix,"8,025,705,397","12,393,008",205,0,21,20.09.22
108,Macklemore,"7,934,784,607","83,073,903",103,1,13,20.09.22
109,ZAYN,"7,926,581,878","238,814,490",85,3,16,18.09.22
110,DJ Snake,"7,893,987,604","1,942,695,289",142,2,11,31.07.22
111,Lauv,"7,860,150,086","147,385,883",108,1,21,12.08.22
112,Kodak Black,"7,853,951,418","1,969,874,771",243,0,16,19.09.22
113,"Tyler, The Creator","7,852,572,852","1,592,057,360",154,0,21,18.09.22
114,Frank Ocean,"7,842,180,179","2,342,080,949",45,0,23,19.09.22
115,A$AP Rocky,"7,788,610,912","5,156,511,594",99,0,19,20.09.22
116,YoungBoy Never Broke Again,"7,762,762,379","1,355,024,452",416,0,8,19.09.22
117,NF,"7,715,473,739","135,847,234",81,1,18,12.09.22
118,Tiësto,"7,713,821,346","760,009,949",653,0,16,21.08.22
119,5 Seconds of Summer,"7,672,003,639","523,602,841",165,1,14,19.09.22
120,A Boogie Wit da Hoodie,"7,634,446,872","3,249,718,029",138,0,17,14.09.22
121,Zedd,"7,585,730,125","1,008,114,646",139,3,14,21.08.22
122,Romeo Santos,"7,485,543,396","1,125,011,362",146,0,21,16.09.22
123,Robin Schulz,"7,470,013,873","315,457,501",224,1,15,04.09.22
124,Green Day,"7,403,734,026","536,841",374,0,13,16.09.22
125,$uicideboy$,"7,392,060,042","255,581,637",313,0,13,18.09.22
126,Nirvana,"7,295,132,559","1,137,194",347,1,14,19.09.22
127,SZA,"7,269,204,057","2,147,963,882",49,2,18,19.09.22
128,Luis Miguel,"7,267,478,981","2,583,720",312,0,17,16.09.22
129,DJ Khaled,"7,262,608,327","195,727,208",186,1,14,02.09.22
130,Metro Boomin,"7,262,115,562","209,872,990",118,1,18,31.07.22
