,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,,the normalized  investment performance indicator,,,,,
ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,13.90%,1.00%,1.33,14.90%,66.30%,52.50%,0.532,0.478,0.738,0.800,0.520,0.412
2,0.000,1.000,0.000,0.000,0.000,0.000,14.30%,1.00%,1.17,10.80%,66.30%,65.00%,0.550,0.488,0.572,0.412,0.520,0.765
3,0.000,0.000,1.000,0.000,0.000,0.000,17.30%,1.80%,1.3,14.40%,63.80%,51.30%,0.693,0.630,0.703,0.757,0.440,0.376
4,0.000,0.000,0.000,1.000,0.000,0.000,9.60%,-0.20%,1.39,14.40%,61.30%,47.50%,0.324,0.256,0.800,0.756,0.360,0.271
5,0.000,0.000,0.000,0.000,1.000,0.000,9.60%,0.10%,1.04,8.70%,72.50%,53.80%,0.327,0.307,0.432,0.209,0.720,0.447
6,0.000,0.000,0.000,0.000,0.000,1.000,7.00%,-0.50%,1.1,11.00%,56.30%,46.30%,0.200,0.200,0.491,0.429,0.200,0.235
7,0.500,0.500,0.000,0.000,0.000,0.000,19.50%,2.60%,0.97,10.50%,73.80%,63.80%,0.800,0.800,0.360,0.375,0.760,0.729
8,0.500,0.000,0.500,0.000,0.000,0.000,16.40%,1.60%,1.32,14.90%,65.00%,51.30%,0.652,0.594,0.724,0.797,0.480,0.376
9,0.000,0.500,0.500,0.000,0.000,0.000,18.50%,2.20%,1.06,10.90%,67.50%,65.00%,0.751,0.721,0.454,0.418,0.560,0.765
10,0.500,0.000,0.000,0.500,0.000,0.000,15.00%,1.50%,1.05,11.30%,70.00%,51.30%,0.585,0.587,0.439,0.460,0.640,0.376
11,0.000,0.500,0.000,0.500,0.000,0.000,15.90%,1.50%,1.17,11.50%,67.50%,63.80%,0.627,0.574,0.564,0.473,0.560,0.729
12,0.000,0.000,0.500,0.500,0.000,0.000,17.00%,1.80%,1.16,12.30%,68.80%,56.30%,0.680,0.638,0.563,0.554,0.600,0.518
13,0.500,0.000,0.000,0.000,0.500,0.000,14.00%,1.10%,1.09,10.70%,70.00%,57.50%,0.536,0.511,0.482,0.396,0.640,0.553
14,0.000,0.500,0.000,0.000,0.500,0.000,12.30%,0.80%,1.01,8.80%,65.00%,66.30%,0.456,0.443,0.400,0.218,0.480,0.800
15,0.000,0.000,0.500,0.000,0.500,0.000,14.50%,1.30%,1.07,10.30%,70.00%,56.30%,0.561,0.539,0.458,0.364,0.640,0.518
16,0.000,0.000,0.000,0.500,0.500,0.000,9.00%,-0.10%,1.15,10.90%,66.30%,50.00%,0.298,0.266,0.550,0.415,0.520,0.341
17,0.500,0.000,0.000,0.000,0.000,0.500,11.80%,0.90%,0.97,10.90%,68.80%,50.00%,0.430,0.474,0.357,0.416,0.600,0.341
18,0.000,0.500,0.000,0.000,0.000,0.500,15.40%,1.70%,0.99,10.10%,67.50%,62.50%,0.605,0.612,0.374,0.344,0.560,0.694
19,0.000,0.000,0.500,0.000,0.000,0.500,13.80%,1.30%,1.04,11.40%,63.80%,55.00%,0.527,0.544,0.426,0.462,0.440,0.482
20,0.000,0.000,0.000,0.500,0.000,0.500,10.10%,0.30%,1.12,12.20%,61.30%,48.80%,0.349,0.356,0.515,0.537,0.360,0.306
21,0.000,0.000,0.000,0.000,0.500,0.500,9.30%,0.10%,1.01,9.10%,62.50%,50.00%,0.312,0.310,0.403,0.240,0.400,0.341
22,0.333,0.333,0.333,0.000,0.000,0.000,19.20%,2.40%,1.08,11.70%,70.00%,65.00%,0.786,0.760,0.472,0.492,0.640,0.765
23,0.333,0.333,0.000,0.333,0.000,0.000,18.30%,2.30%,0.98,10.20%,72.50%,57.50%,0.740,0.739,0.365,0.355,0.720,0.553
24,0.333,0.000,0.333,0.333,0.000,0.000,16.40%,1.70%,1.14,12.40%,70.00%,48.80%,0.652,0.625,0.535,0.562,0.640,0.306
25,0.000,0.333,0.333,0.333,0.000,0.000,18.40%,2.20%,1.07,10.90%,70.00%,61.30%,0.747,0.712,0.467,0.414,0.640,0.659
26,0.333,0.333,0.000,0.000,0.333,0.000,14.70%,1.50%,0.95,9.20%,71.30%,62.50%,0.570,0.581,0.340,0.252,0.680,0.694
27,0.333,0.000,0.333,0.000,0.333,0.000,16.80%,1.70%,1.17,12.20%,67.50%,58.80%,0.668,0.621,0.565,0.543,0.560,0.588
28,0.000,0.333,0.333,0.000,0.333,0.000,14.60%,1.40%,0.99,9.30%,67.50%,60.00%,0.567,0.562,0.379,0.267,0.560,0.624
29,0.333,0.000,0.000,0.333,0.333,0.000,12.70%,1.00%,0.99,9.60%,68.80%,53.80%,0.474,0.482,0.375,0.293,0.600,0.447
30,0.000,0.333,0.000,0.333,0.333,0.000,12.40%,0.70%,1.09,10.10%,67.50%,58.80%,0.461,0.430,0.486,0.337,0.560,0.588
31,0.000,0.000,0.333,0.333,0.333,0.000,13.80%,1.20%,1.04,10.00%,67.50%,60.00%,0.527,0.514,0.430,0.335,0.560,0.624
32,0.333,0.333,0.000,0.000,0.000,0.333,17.00%,2.40%,0.82,9.40%,73.80%,56.30%,0.678,0.746,0.200,0.276,0.760,0.518
33,0.333,0.000,0.333,0.000,0.000,0.333,13.50%,1.20%,1.07,11.90%,63.80%,52.50%,0.513,0.525,0.460,0.511,0.440,0.412
