Date,Open,High,Low,Close,Adj Close,Volume,Compound,Negative,Neutral,Positive
2001-01-02,3160.0,3380.0,3140.0,3350.0,2587.465332,39455000.0,-0.8555,0.125,0.773,0.102
2001-01-03,3230.0,3420.0,3220.0,3370.0,2602.911865,37855000.0,-0.5994,0.132,0.755,0.113
2001-01-04,3790.0,3870.0,3660.0,3780.0,2919.587402,119910000.0,0.9169,0.099,0.791,0.11
2001-01-05,3760.0,3920.0,3700.0,3900.0,3012.272705,78135000.0,-0.3612,0.171,0.659,0.17
2001-01-08,3820.0,3910.0,3780.0,3880.0,2996.824707,42295000.0,-0.6808,0.1,0.816,0.084
2001-01-09,3830.0,3860.0,3710.0,3840.0,2965.929932,46280000.0,-0.9928,0.141,0.813,0.047
2001-01-10,3780.0,3810.0,3700.0,3710.0,2865.52002,41235000.0,0.0,0.0,1.0,0.0
2001-01-23,4550.0,4550.0,4550.0,4550.0,3514.318115,0.0,0.9682,0.039,0.839,0.122
2001-01-24,4550.0,4550.0,4550.0,4550.0,3514.318115,0.0,0.4215,0.081,0.824,0.095
2001-01-25,4550.0,4550.0,4550.0,4550.0,3514.318115,0.0,-0.9756,0.147,0.758,0.095
2001-01-26,4450.0,4480.0,3970.0,3980.0,3074.062744,91025000.0,-0.7579,0.12,0.784,0.096
2001-01-29,4000.0,4100.0,3960.0,4020.0,3104.958496,47245000.0,0.8402,0.119,0.736,0.145
2001-01-30,4100.0,4170.0,4070.0,4110.0,3174.472656,39350000.0,0.4767,0.133,0.725,0.142
2001-01-31,4090.0,4400.0,4090.0,4400.0,3398.460938,53045000.0,-0.1027,0.13,0.737,0.133
2001-02-01,4270.0,4420.0,4190.0,4270.0,3298.052246,39730000.0,0.891,0.09,0.779,0.13
2001-02-02,4290.0,4390.0,4220.0,4290.0,3313.499268,27330000.0,0.9153,0.053,0.788,0.159
2001-02-05,4170.0,4200.0,3990.0,4030.0,3112.681396,47135000.0,0.7003,0.078,0.81,0.112
2001-02-06,3980.0,4020.0,3910.0,4010.0,3097.233398,31545000.0,0.9153,0.056,0.795,0.149
2001-02-07,3960.0,3990.0,3900.0,3900.0,3012.272705,23130000.0,0.6734,0.103,0.775,0.122
2001-02-08,3920.0,4060.0,3890.0,4060.0,3135.852051,34685000.0,0.7003,0.142,0.687,0.171
2001-02-09,4040.0,4100.0,3980.0,4070.0,3143.576416,25230000.0,0.9657,0.097,0.712,0.191
2001-02-12,3840.0,4050.0,3840.0,3970.0,3066.338379,36110000.0,-0.9531,0.149,0.832,0.019
2001-02-13,4040.0,4100.0,3970.0,3980.0,3074.062744,22295000.0,-0.7506,0.162,0.695,0.143
