mmsi,imo,call_sign,width,avg_length,stddev_length,unique_values_length,avg_gross_tonnage,stddev_gross_tonnage,unique_values_tonnage,dead_weight,source,flag_state,last_active_date,vessel_name,former_name,change_date
374762000,9453418,3EQX2,16.6,120.75,0,1,4538,0,1,4867,CCSBT,Panama,12/28/16,LADY TUNA,LADY TUNA,8/12/15
664090000,8909680,S7OJ,14,93.78,0,1,2600,0,1,2812,CCSBT,Seychelles,12/8/16,KAIHO MARU,KAIHO MARU,10/14/15
374244000,9293313,3EYH9,16.6,120.75,0,1,4521,0,1,5020,IATTC,Panama,12/8/16,HIKARI 1,HIKARI 1,11/21/15
636017468,9128764,D5LC4,16.4,94.65,0,1,3496,0,1,3959,IATTC,Liberia,12/20/16,TENHO MARU,TENHO MARU,4/10/16
636017251,9163403,D5JZ8,18,117.27,0,1,5100,0,1,5937,ICCAT,Liberia,12/20/16,SIERRA LAUREL,SIERRA LAUREL,11/2/15
577310000,9172442,YJUK3,16.2,97,0,1,3683,0,1,3621,ICCAT,Vanuatu,12/8/16,KAIMON,MELTEMI,6/2/16
273385860,8502432,UBPC,16.24,102.8,0,1,4109,0,1,4888,ICCAT,Russia,12/19/16,FRIO CANARIAS,FRIO CANARIAS,11/9/15
374849000,7812062,3EGU9,16,103.73,0,1,3835,0,1,4392,WCPFC,Panama,12/20/16,HAO XIANG,HAO XIANG,4/25/16
357020000,8420763,3FQH9,16.4,100.98,0,1,4361,0,1,5475,WCPFC,Panama,12/7/16,TIARA 108,,
352351000,9072824,3EJD5,20.8,125,0,1,7313,0,1,7957,WCPFC,Panama,12/20/16,AVUNDA REEFER,MARINE PHOENIX,1/29/15
529606000,8627309,T3HD2,21,84.6,0,1,2429,0,1,1451,WCPFC,Kiribati,10/5/13,MIN TAI LENG,MIN TAI LENG,5/31/13
,8627309,9LA2124,21,84.6,0,1,2429,0,1,1451,encounters,Sierra Leone,5/31/13,MIN TAI LENG,CHANG FENG,6/21/12
542156110,8627309,E6CH2,21,84.6,0,1,2429,0,1,1451,encounters,Niue,12/20/16,MIN TAI LENG,,
352135000,7302299,T3MY,15.04,104,0,1,2910,0,1,3597,WCPFC,Panama,4/11/13,WIN UNI,,
334567000,7637591,HQXO6,14,103,0,1,2989,0,1,2510,WCPFC,Honduras,9/6/16,CHAINAVEE REEFER,CHAINAVEE REEFER,10/9/13
355069000,7637591,H9XR,14,103,0,1,2989,0,1,2510,CSIRO,Panama,10/9/13,CHAINAVEE REEFER,,
412203190,8956906,BALQ,7,41,0,0,218,0,0,145,ITU,China,,LIAO CHANG LENG 5,,
351537000,8688755,3FOH6,16,98,0,1,3298,0,0,3400,ITU,Panama,9/15/16,RUI SHENG,,
529199000,8513039,DSNV6,18,126,0,1,,,0,6502,CLAV,Kiribati,1/19/12,SAPPORO,,
249889000,,,,,,0,,,0,,CLAV,Malta,,,,
273332291,,,,,,0,,,0,,CLAV,Russia,,,,
310746848,,,,,,0,,,0,,CLAV,Bermuda,,,,
371118580,,,,,,0,,,0,,CLAV,Panama,,,,
273332299,,,,,,0,,,0,,CLAV,Russia,,,,
351219000,,,,,,0,,,0,,CLAV,Panama,,,,
412553010,,,,,,0,,,0,,CLAV,China,,,,
432661000,,,,,,0,,,0,,CLAV,Japan,,,,
667003111,,,,,,0,,,0,,CLAV,Sierra Leone,,,,
224500000,,,,,,0,,,0,,CLAV,Spain,,,,
273332326,,,,,,0,,,0,,CLAV,Russia,,,,
548401400,,,,,,0,,,0,,FFA,Philippines,,,,
416064900,,,,,,0,,,0,,FFA,Taiwan,,,,
273851400,,,,,0,0,,0,0,,ITU,Russia,,,,
273347980,,UADD4,12,82,0,1,930,0,0,,ITU,Russia,10/18/16,ROSSLAU,,
412440033,,,14,97,0,1,,,0,,CLAV,China,,,,
412699340,,,14,97,0,1,,0,0,,ITU,China,,,,
277312000,8806242,LYRJ,32,132.31,5.239661249,2,5899,0,1,6565,CLAV,Lithuania,12/20/16,ANDROMEDA,,
441720000,9020780,DSQW2,14.24,87.54,3.9,2,2623,0,1,2733,CLAV,Korea,12/15/16,LAKE WIN,,
529604000,8221947,3FRQ5,13.21,85.32,3.9103005,2,2047,0,1,2085,CLAV,Kiribati,6/26/15,PS REEFER,SHEN XING,4/11/13
354655000,9011301,3ERM8,11,66.14,4.162695441,2,1176,0,1,954,CLAV,Panama,12/21/16,REINA CRISTINA,,
312774000,8908739,HONN,12,76.87,3.988082246,2,1610,0,1,1494,CLAV,Belize,7/8/15,HENG YU,,
