vehicle id,vehicle name,model,origin
C-1689780,chevrolet chevelle malibu,70,1
B-1689791,buick skylark 320,70,1
P-1689802,plymouth satellite,70,1
A-1689813,amc rebel sst,70,1
F-1689824,ford torino,70,1
F-1689835,ford galaxie 500,70,1
C-1689846,chevrolet impala,70,1
P-1689857,plymouth fury iii,70,1
P-1689868,pontiac catalina,70,1
A-1689879,amc ambassador dpl,70,1
D-1689890,dodge challenger se,70,1
P-1689901,plymouth 'cuda 340,70,1
C-1689912,chevrolet monte carlo,70,1
B-1689923,buick estate wagon (sw),70,1
T-1689934,toyota corona mark ii,70,3
P-1689945,plymouth duster,70,1
A-1689956,amc hornet,70,1
F-1689967,ford maverick,70,1
D-1689978,datsun pl510,70,3
V-1689989,volkswagen 1131 deluxe sedan,70,2
P-1690000,peugeot 504,70,2
A-1690011,audi 100 ls,70,2
S-1690022,saab 99e,70,2
B-1690033,bmw 2002,70,2
A-1690044,amc gremlin,70,1
F-1690055,ford f250,70,1
C-1690066,chevy c20,70,1
D-1690077,dodge d200,70,1
H-1690088,hi 1200d,70,1
D-1690099,datsun pl510,71,3
C-1690110,chevrolet vega 2300,71,1
T-1690121,toyota corona,71,3
F-1690132,ford pinto,71,1
A-1690143,amc gremlin,71,1
P-1690154,plymouth satellite custom,71,1
C-1690165,chevrolet chevelle malibu,71,1
F-1690176,ford torino 500,71,1
A-1690187,amc matador,71,1
C-1690198,chevrolet impala,71,1
P-1690209,pontiac catalina brougham,71,1
F-1690220,ford galaxie 500,71,1
P-1690231,plymouth fury iii,71,1
D-1690242,dodge monaco (sw),71,1
F-1690253,ford country squire (sw),71,1
P-1690264,pontiac safari (sw),71,1
A-1690275,amc hornet sportabout (sw),71,1
C-1690286,chevrolet vega (sw),71,1
P-1690297,pontiac firebird,71,1
F-1690308,ford mustang,71,1
M-1690319,mercury capri 2000,71,1
O-1690330,opel 1900,71,2
P-1690341,peugeot 304,71,2
F-1690352,fiat 124b,71,2
T-1690363,toyota corolla 1200,71,3
D-1690374,datsun 1200,71,3
V-1690385,volkswagen model 111,71,2
P-1690396,plymouth cricket,71,1
T-1690407,toyota corona hardtop,72,3
D-1690418,dodge colt hardtop,72,1
V-1690429,volkswagen type 3,72,2
C-1690440,chevrolet vega,72,1
F-1690451,ford pinto runabout,72,1
C-1690462,chevrolet impala,72,1
