Match_Id,Over_Id,Ball_Id,Runs_Scored,Innings_No
335987,1,1,0,1
335987,1,1,1,2
335987,1,2,0,1
335987,1,3,0,2
335987,1,4,0,1
335987,1,4,1,2
335987,1,5,0,1
335987,1,5,1,2
335987,1,6,0,1
335987,1,6,0,2
335987,1,7,0,1
335987,1,7,0,2
335987,2,1,0,1
335987,2,1,0,2
335987,2,2,4,1
335987,2,2,0,2
335987,2,3,4,1
335987,2,3,0,2
335987,2,4,6,1
335987,2,4,1,2
335987,2,5,4,1
335987,2,5,0,2
335987,2,6,0,1
335987,2,6,0,2
335987,3,1,0,1
335987,3,1,0,2
335987,3,2,0,1
335987,3,2,0,2
335987,3,3,0,1
335987,3,3,1,2
335987,3,4,4,1
335987,3,4,0,2
335987,3,5,1,1
335987,3,6,0,1
335987,3,6,0,2
335987,3,7,1,2
335987,4,1,2,2
335987,4,2,6,1
335987,4,2,1,2
335987,4,3,0,1
335987,4,3,0,2
335987,4,4,4,1
335987,4,4,0,2
335987,4,5,0,1
335987,4,5,0,2
335987,4,6,1,1
335987,4,6,0,2
335987,4,7,6,1
335987,5,1,4,1
335987,5,1,1,2
335987,5,2,1,1
335987,5,2,1,2
335987,5,3,4,1
335987,5,3,0,2
335987,5,4,0,1
335987,5,4,6,2
335987,5,5,1,1
335987,5,5,0,2
335987,5,6,0,1
335987,5,6,0,2
335987,6,1,1,1
335987,6,1,0,2
335987,6,2,0,1
335987,6,2,0,2
335987,6,3,0,1
335987,6,3,0,2
335987,6,4,0,1
335987,6,4,1,2
335987,6,5,0,1
335987,6,5,1,2
335987,6,6,0,1
335987,6,6,0,2
335987,7,1,1,1
335987,7,1,0,2
335987,7,2,1,1
335987,7,2,0,2
335987,7,3,1,1
335987,7,3,1,2
335987,7,4,2,1
335987,7,5,1,1
335987,7,6,1,1
335987,7,6,0,2
335987,7,7,0,2
335987,7,8,4,2
335987,8,1,0,1
335987,8,1,1,2
335987,8,2,1,1
335987,8,2,0,2
335987,8,3,1,1
335987,8,3,1,2
335987,8,4,1,1
335987,8,4,2,2
335987,8,5,1,1
335987,8,5,0,2
335987,8,6,1,1
335987,8,6,0,2
335987,9,1,0,1
335987,9,1,0,2
335987,9,2,0,1
335987,9,2,0,2
335987,9,3,0,1
335987,9,3,0,2
335987,9,4,1,1
335987,9,5,1,1
335987,9,6,2,1
335987,9,6,1,2
335987,9,7,2,2
335987,9,8,0,2
335987,10,1,1,1
335987,10,1,1,2
335987,10,2,1,1
335987,10,2,0,2
