College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Indian Institute of Technology Madras ,Tamil nadu,Engineering,"75,116","23,070",8.7,9,7.9,8.7,8.8,8.8,9
"College of Engineering, Anna University ",Tamil nadu,Engineering,"50,000","50,000",8.4,8.7,7.7,8.1,8.7,8.3,8.7
"NIT Trichy, Tiruchirappalli ",Tamil nadu,Engineering,"1,49,250","99,250",8.5,8.6,7.8,8.2,8.7,8.8,8.7
Vellore Institute of Technology ,Tamil nadu,Engineering,"1,98,000","1,83,000",8.3,8.3,8,7.8,8.9,8.5,8.5
"SRM Engineering College, Kanchipuram ",Tamil nadu,Engineering,"2,60,000","1,70,000",7.2,6.5,6.6,6.9,7.6,7.1,8.3
SSN College of Engineering ,Tamil nadu,Engineering,"50,000","50,000",8.6,8.9,7.6,8.7,9.1,8.3,8.8
"SASTRA University, Thanjavur ",Tamil nadu,Engineering,"1,67,000","1,57,000",8.1,8.5,7,8.2,8.3,8.7,8.1
P.S.G College of Technology ,Tamil nadu,Engineering,"87,000","1,54,000",9,9.2,8.7,8.9,9,9.1,8.8
Thiagarajar College of Engineering ,Tamil nadu,Engineering,"50,000","50,000",8.6,8.9,7.9,8.6,8.6,8.7,8.6
Coimbatore Institute of Technology ,Tamil nadu,Engineering,"23,670","1,32,710",8,8.5,6.8,8.2,7.4,8.4,8.5
Karunya Institute of Technology and Sciences ,Tamil nadu,Engineering,"2,13,500","1,21,500",7.9,7.9,7.9,7.9,8.5,7.5,7.4
Kumaraguru College of Technology ,Tamil nadu,Engineering,"50,000","50,000",8.2,8.3,7.6,8,8.8,7.9,8.5
"VEL Tech, Chennai ",Tamil nadu,Engineering,"50,000",--,8.2,8.5,8.5,8.1,7.8,8.3,8.1
"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,Engineering,"1,34,000","1,04,150",8.1,8.5,8.1,8.3,8.6,7.9,7
Government College of Technology ,Tamil nadu,Engineering,"9,180","10,110",8.1,8.4,7.1,8.3,8,8,8.8
Hindustan Institute of Technology and Science ,Tamil nadu,Engineering,"2,29,500","1,25,500",7.6,7.8,6.9,7.8,7.9,6.9,8
Sri Krishna College of Engineering and Technology ,Tamil nadu,Engineering,"50,000","50,000",8.1,8.2,7.4,8.2,9,8.2,7.7
Kongu Engineering College ,Tamil nadu,Engineering,"60,000","65,000",8.3,8.3,7.7,8.3,8.9,8.3,8.3
Bannari Amman Institute of Technology ,Tamil nadu,Engineering,"60,000","35,000",8.3,8.2,8.1,8,9.1,8.1,8.2
"Sona College of Technology, Salem ",Tamil nadu,Engineering,"2,00,000","2,29,000",8.1,8.5,7.3,8.3,8.3,7.9,8.5
Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,Engineering,"21,415","33,325",8.3,8.4,8,8.4,8.2,8.2,8.4
"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,Engineering,"60,000","65,000",8,7,--,--,9,8,--
Saveetha Engineering College ,Tamil nadu,Engineering,"85,000","60,000",8,8.1,7.3,8.1,8.6,7.7,7.9
"Sri Sairam Engineering College, Chennai ",Tamil nadu,Engineering,"50,000","25,000",7.7,8.4,7.3,7.9,8.2,7.9,6.7
