Feature1,Feature2,Feature3,Feature4,Target
63,59,1164,-3,39
89,54,977,-2,54
73,46,725,-1,88
25,52,921,0,70
60,60,1222,0,91
26,41,583,1,77
43,50,855,1,82
56,52,924,0,91
82,40,551,-1,86
79,54,983,0,66
11,42,609,-2,68
76,63,1329,0,48
11,63,1352,-3,93
21,43,633,2,55
57,67,1514,2,75
56,50,853,-1,82
52,49,824,-2,95
24,55,1017,-1,37
77,46,716,1,63
23,60,1213,-1,48
64,60,1216,2,73
48,48,793,-1,94
81,54,980,1,55
54,57,1091,-3,49
30,43,632,1,58
87,43,632,2,79
50,59,1179,-3,78
21,48,784,0,57
52,56,1067,-2,89
24,56,1065,-3,73
66,64,1369,2,34
36,53,946,-3,45
81,69,1593,0,50
36,49,811,1,45
78,53,943,0,52
30,65,1434,0,89
11,46,738,2,99
43,64,1372,-2,39
73,66,1474,-1,95
34,57,1107,-1,87
86,67,1501,0,47
26,57,1097,1,51
29,41,573,-3,52
50,46,712,-3,44
66,51,875,2,47
89,62,1280,-2,35
66,56,1057,-3,63
64,56,1052,1,44
19,58,1140,0,65
55,59,1177,-2,75
13,67,1513,2,54
12,45,702,-3,89
34,42,602,-3,59
38,50,858,-3,91
78,48,778,-2,62
53,41,575,0,64
15,56,1061,1,51
21,59,1182,-1,75
75,41,580,-3,93
48,58,1143,2,82
23,52,908,-2,30
19,54,1002,0,99
32,42,609,-2,77
41,63,1339,-1,65
20,43,641,1,81
27,51,893,0,89
86,65,1410,2,38
61,62,1292,-2,58
84,41,561,-1,38
86,41,572,1,68
66,62,1285,-2,38
12,56,1054,-2,33
48,59,1170,-1,50
75,48,791,1,98
15,62,1290,-3,35
65,60,1221,-1,89
67,56,1066,-3,92
71,48,779,-3,64
82,55,1025,0,83
59,43,630,-3,68
86,42,609,1,96
31,41,583,-1,80
33,42,616,-1,98
25,67,1522,-2,88
79,49,818,0,86
55,69,1608,-3,87
84,56,1065,-3,97
13,56,1055,-1,36
66,69,1601,2,65
29,48,778,2,41
33,40,561,2,94
20,40,556,1,75
55,53,958,2,84
26,54,994,2,74
77,58,1129,1,53
38,45,684,1,42
63,47,754,0,79
55,59,1175,1,65
29,49,823,-2,83
40,47,746,0,44
86,49,814,0,75
46,42,597,-1,45
64,60,1206,1,42
69,59,1183,0,96
62,54,981,-1,54
32,62,1293,-3,50
18,50,864,2,98
12,68,1556,-2,50
59,43,624,-2,50
73,65,1425,0,78
33,59,1171,0,44
14,52,930,1,92
68,45,678,-1,38
11,68,1551,0,33
14,63,1349,1,82
67,47,743,0,46
73,52,906,-2,46
86,65,1414,0,50
40,41,568,1,37
79,54,988,2,79
48,66,1463,2,49
19,48,796,-2,94
26,42,612,-2,83
43,52,908,-3,39
20,43,628,-1,44
80,43,636,0,91
82,68,1558,2,82
54,65,1419,0,54
33,56,1070,2,86
40,56,1071,-2,95
35,44,670,2,86
30,42,596,1,35
81,42,587,-1,31
16,43,642,1,83
68,60,1202,2,32
49,57,1108,-3,98
40,62,1307,2,90
27,41,582,-3,78
85,60,1206,-1,53
54,67,1506,1,51
82,59,1165,-3,51
80,57,1088,-2,49
38,69,1613,1,91
10,68,1567,1,80
55,64,1379,-1,63
76,54,995,0,99
39,68,1563,-2,84
22,52,932,2,99
75,68,1542,-2,35
25,62,1289,-3,35
56,42,613,1,96
19,51,875,-2,33
62,66,1468,0,73
74,42,602,-3,75
20,55,1037,-1,96
24,41,570,-3,43
74,53,939,-1,40
60,43,622,2,38
37,65,1433,-1,90
65,66,1476,-1,98
28,63,1351,1,95
57,45,686,0,57
29,66,1458,-2,32
25,57,1104,-1,74
12,69,1613,1,81
79,41,569,-3,61
39,57,1106,1,85
43,42,593,-1,32
84,57,1089,2,49
76,58,1131,-3,63
56,45,692,1,71
54,58,1137,-1,71
31,48,780,0,47
26,57,1106,0,78
61,53,947,-2,58
29,49,823,1,78
59,49,817,2,73
38,46,717,-1,51
59,68,1556,2,65
55,60,1212,-2,60
46,47,759,-1,88
87,53,949,1,72
72,43,637,2,90
44,61,1250,-2,50
39,51,895,1,98
26,64,1391,0,86
20,49,808,-2,32
40,51,878,2,47
54,63,1346,0,91
86,50,842,1,58
57,57,1106,-3,96
71,41,574,0,70
30,61,1258,-1,66
26,50,856,2,75
65,47,748,0,60
19,63,1348,2,82
25,61,1256,-3,60
33,60,1210,-1,45
18,67,1504,-2,33
26,56,1058,-3,52
46,60,1207,-1,41
85,57,1094,2,65
23,41,580,-1,70
23,42,603,-2,57
63,61,1251,2,55
66,42,598,-1,56
83,59,1163,-3,44
16,65,1436,-3,92
34,50,854,-2,77
56,60,1204,2,31
29,44,672,0,93
33,67,1522,0,90
75,68,1554,-2,69
54,41,582,-3,91
70,60,1222,1,94
53,57,1093,2,49
