Year,Age,Value,Lower,Upper
2000,Age 0-14,"520,000","340,000","820,000"
2000,Age 0-19,"890,000","450,000","1,560,000"
2000,Age 0-4,"520,000","340,000","820,000"
2000,Age 0-9,"520,000","340,000","820,000"
2000,Age 10-19,"370,000","100,000","740,000"
2000,Age 15-19,"370,000","100,000","740,000"
2000,Age 0-14,"260,000","170,000","400,000"
2000,Age 0-19,"540,000","220,000","940,000"
2000,Age 0-4,"260,000","170,000","400,000"
2000,Age 0-9,"260,000","170,000","400,000"
2000,Age 10-19,"280,000","55,000","540,000"
2000,Age 15-19,"280,000","55,000","540,000"
2000,Age 0-14,"270,000","170,000","420,000"
2000,Age 0-19,"360,000","190,000","660,000"
2000,Age 0-4,"270,000","170,000","420,000"
2000,Age 0-9,"270,000","170,000","420,000"
2000,Age 10-19,"93,000","16,000","240,000"
2000,Age 15-19,"93,000","16,000","240,000"
2001,Age 0-14,"520,000","340,000","820,000"
2001,Age 0-19,"880,000","440,000","1,530,000"
2001,Age 0-4,"520,000","340,000","820,000"
2001,Age 0-9,"520,000","340,000","820,000"
2001,Age 10-19,"360,000","100,000","710,000"
2001,Age 15-19,"360,000","100,000","710,000"
2001,Age 0-14,"260,000","170,000","400,000"
2001,Age 0-19,"520,000","220,000","920,000"
2001,Age 0-4,"260,000","170,000","400,000"
2001,Age 0-9,"260,000","170,000","400,000"
2001,Age 10-19,"270,000","53,000","520,000"
2001,Age 15-19,"270,000","53,000","520,000"
2001,Age 0-14,"260,000","170,000","420,000"
2001,Age 0-19,"350,000","190,000","650,000"
2001,Age 0-4,"260,000","170,000","420,000"
2001,Age 0-9,"260,000","170,000","420,000"
2001,Age 10-19,"89,000","16,000","230,000"
2001,Age 15-19,"89,000","16,000","230,000"
2002,Age 0-14,"510,000","340,000","810,000"
2002,Age 0-19,"850,000","430,000","1,490,000"
2002,Age 0-4,"510,000","340,000","810,000"
2002,Age 0-9,"510,000","340,000","810,000"
2002,Age 10-19,"340,000","96,000","680,000"
2002,Age 15-19,"340,000","96,000","680,000"
2002,Age 0-14,"250,000","170,000","400,000"
2002,Age 0-19,"510,000","220,000","890,000"
2002,Age 0-4,"250,000","170,000","400,000"
2002,Age 0-9,"250,000","170,000","400,000"
2002,Age 10-19,"260,000","50,000","490,000"
2002,Age 15-19,"260,000","50,000","490,000"
2002,Age 0-14,"260,000","170,000","410,000"
2002,Age 0-19,"350,000","190,000","630,000"
2002,Age 0-4,"260,000","170,000","410,000"
2002,Age 0-9,"260,000","170,000","410,000"
2002,Age 10-19,"86,000","15,000","220,000"
2002,Age 15-19,"86,000","15,000","220,000"
2003,Age 0-14,"510,000","330,000","800,000"
2003,Age 0-19,"830,000","420,000","1,440,000"
2003,Age 0-4,"510,000","330,000","800,000"
2003,Age 0-9,"510,000","330,000","800,000"
2003,Age 10-19,"320,000","91,000","640,000"
2003,Age 15-19,"320,000","91,000","640,000"
2003,Age 0-14,"250,000","160,000","390,000"
2003,Age 0-19,"490,000","210,000","860,000"
2003,Age 0-4,"250,000","160,000","390,000"
2003,Age 0-9,"250,000","160,000","390,000"
2003,Age 10-19,"240,000","48,000","470,000"
2003,Age 15-19,"240,000","48,000","470,000"
2003,Age 0-14,"260,000","170,000","400,000"
2003,Age 0-19,"340,000","180,000","610,000"
2003,Age 0-4,"260,000","170,000","400,000"
2003,Age 0-9,"260,000","170,000","400,000"
2003,Age 10-19,"80,000","14,000","210,000"
2003,Age 15-19,"80,000","14,000","210,000"
2004,Age 0-14,"500,000","320,000","780,000"
2004,Age 0-19,"800,000","410,000","1,390,000"
2004,Age 0-4,"500,000","320,000","780,000"
2004,Age 0-9,"500,000","320,000","780,000"
2004,Age 10-19,"310,000","87,000","610,000"
2004,Age 15-19,"310,000","87,000","610,000"
2004,Age 0-14,"240,000","160,000","380,000"
2004,Age 0-19,"480,000","210,000","830,000"
2004,Age 0-4,"240,000","160,000","380,000"
2004,Age 0-9,"240,000","160,000","380,000"
2004,Age 10-19,"230,000","46,000","450,000"
2004,Age 15-19,"230,000","46,000","450,000"
2004,Age 0-14,"250,000","160,000","400,000"
2004,Age 0-19,"330,000","180,000","590,000"
2004,Age 0-4,"250,000","160,000","400,000"
2004,Age 0-9,"250,000","160,000","400,000"
2004,Age 10-19,"76,000","13,000","200,000"
2004,Age 15-19,"76,000","13,000","200,000"
2005,Age 0-14,"480,000","310,000","750,000"
2005,Age 0-19,"770,000","400,000","1,340,000"
2005,Age 0-4,"480,000","310,000","750,000"
2005,Age 0-9,"480,000","310,000","750,000"
2005,Age 10-19,"300,000","83,000","590,000"
2005,Age 15-19,"300,000","83,000","590,000"
2005,Age 0-14,"230,000","150,000","370,000"
2005,Age 0-19,"460,000","200,000","800,000"
2005,Age 0-4,"230,000","150,000","370,000"
2005,Age 0-9,"230,000","150,000","370,000"
2005,Age 10-19,"220,000","44,000","430,000"
2005,Age 15-19,"220,000","44,000","430,000"
2005,Age 0-14,"240,000","160,000","380,000"
2005,Age 0-19,"320,000","170,000","570,000"
2005,Age 0-4,"240,000","160,000","380,000"
2005,Age 0-9,"240,000","160,000","380,000"
2005,Age 10-19,"72,000","13,000","190,000"
2005,Age 15-19,"72,000","13,000","190,000"
2006,Age 0-14,"460,000","300,000","720,000"
2006,Age 0-19,"740,000","380,000","1,280,000"
2006,Age 0-4,"460,000","300,000","720,000"
2006,Age 0-9,"460,000","300,000","720,000"
2006,Age 10-19,"280,000","80,000","570,000"
2006,Age 15-19,"280,000","80,000","570,000"
2006,Age 0-14,"220,000","150,000","350,000"
2006,Age 0-19,"440,000","190,000","770,000"
2006,Age 0-4,"220,000","150,000","350,000"
2006,Age 0-9,"220,000","150,000","350,000"
2006,Age 10-19,"220,000","42,000","410,000"
2006,Age 15-19,"220,000","42,000","410,000"
2006,Age 0-14,"230,000","150,000","360,000"
2006,Age 0-19,"300,000","160,000","540,000"
2006,Age 0-4,"230,000","150,000","360,000"
2006,Age 0-9,"230,000","150,000","360,000"
2006,Age 10-19,"69,000","12,000","180,000"
2006,Age 15-19,"69,000","12,000","180,000"
2007,Age 0-14,"420,000","280,000","670,000"
2007,Age 0-19,"700,000","360,000","1,220,000"
