Year,GDP_In_Billion_USD,Per_Capita_in_USD,Percentage_Growth 
2021,"3173.40",2277,8.95
2020,"2667.69",1933,-6.6
2019,"2831.55",2072,3.74
2018,"2702.93",1998,6.45
2017,"2651.47",1981,6.8
2016,"2294.80",1733,8.26
2015,"2103.59",1606,8
2014,"2039.13",1574,7.41
2013,"1856.72",1450,6.39
2012,"1827.64",1444,5.46
2011,"1823.05",1458,5.24
2010,"1675.62",1358,8.5
2009,"1341.89",1102,7.86
2008,"1198.90",999,3.09
2007,"1216.74",1028,7.66
2006,940.26,807,8.06
2005,820.38,715,7.92
2004,709.15,628,7.92
2003,607.7,547,7.86
2002,514.94,471,3.8
2001,485.44,452,4.82
2000,468.39,443,3.84
1999,458.82,442,8.85
1998,421.35,413,6.18
1997,415.87,415,4.05
1996,392.9,400,7.55
1995,360.28,374,7.57
1994,327.28,346,6.66
1993,279.3,301,4.75
1992,288.21,317,5.48
1991,270.11,303,1.06
1990,320.98,368,5.53
1989,296.04,346,5.95
1988,296.59,354,9.63
1987,279.03,340,3.97
1986,248.99,310,4.78
1985,232.51,296,5.25
1984,212.16,277,3.82
1983,218.26,291,7.29
1982,200.72,274,3.48
1981,193.49,270,6.01
1980,186.33,267,6.74
1979,152.99,224,-5.24
1978,137.3,206,5.71
1977,121.49,186,7.25
1976,102.72,161,1.66
1975,98.47,158,9.15
1974,99.53,163,1.19
1973,85.52,144,3.3
1972,71.46,123,-0.55
1971,67.35,119,1.64
1970,62.42,112,5.16
1969,58.45,108,6.54
1968,53.09,100,3.39
1967,50.13,96,7.83
1966,45.87,90,-0.06
1965,59.55,119,-2.64
1964,56.48,116,7.45
1963,48.42,101,5.99
1962,42.16,90,2.93
1961,39.23,85,3.72
