tweet,date,time,timezone,urls,language
+3000 Investors Database – 100% online – Weekly updated :  https://t.co/Yyos9UdpEN #startups #entrepreneurs #entrepreneurship #smallbiz #fundraising #funding #venturecapital #investors #businessangel #investment #PR #SEO #Media #Business #FundingRound #database,2022-10-12,11:29:01,0,['https://invesder.com/'],en
Learn more about the stories of Startups in India’s Semiconductor Design Space from industry Champions  For more details visit-  https://t.co/wwxcpdkYOX  @SemiconIndia @Rajeev_GoI @GoI_MeitY @Electronics_GoI #DigitalIndia #semiconductor @SteradianSemi @incoresemi @Accord_GNSS  https://t.co/vb20e2MJm3,2022-10-16,10:35:33,0,['https://www.futuredesign.semiconindia.org'],en
"Prime Minister @narendramodi to inaugurate PM Kisan Samman Sammelan 2022 at Indian Agricultural Research Institute in New Delhi tomorrow.  More than 13,000 farmers from across the country and around 1,500 Agri Startups will participate in the conference.  https://t.co/0ndepl567X",2022-10-16,11:25:29,0,[],en
Are you Business owner and want to advetise your busienss like this then google this keyword - khojinINDIA and register your business free  https://t.co/PxNmJazfH2,2022-10-15,11:13:34,0,['https://www.khojinindia.com/directory/ad/70/dr.-khanade-hospital'],en
"Attended a productive meeting   in the Secretariat, Government of Haryana, Chandigarh regarding implementation of the pilot project under @amrut_MoHUA   #startup #startupindia #startupbusiness #startuplife  @narendramodi @MoJSDoWRRDGR @MoHUA_India @environ_heal  https://t.co/WxKqqDZhzn",2022-10-16,11:22:04,0,[],en
"Pre-launch of our new founder investor networking platform, Raise Money.  Enjoy 1 month free trial—all you need to do is register at  https://t.co/DdmBuK1l4C in order to take advantage of this offer.  #raisemoney #founders #networking #money #change #funding #projects #startups  https://t.co/UBULYe78Ux",2022-10-16,11:16:33,0,['https://raisemoney.fund/register'],en
"Indian businesses are bullish on the economy and India’s growth story but banks are not helping. MSMEs, #Startups, businesses, etc are facing tough time in India and many may close business before Dec 2022 #DigitalIndia #IndianEconomy @IMPraveenDalal @FreedomMyths @_GroundReality  https://t.co/1TZ3PsiFVI",2022-10-16,09:46:13,0,[],en
How Battery Swapping Policy Can Accelerate India’s EV Future  https://t.co/Kn9UBepQkZ’s-EV-Future  #startups #entrepreneur #startupnews #business #marketing #tech,2022-10-16,11:14:53,0,['http://startuparound.com/read/1665916493.0730488/How-Battery-Swapping-Policy-Can-Accelerate-India'],en
India for SOPs to regulate cryptocurrency: FM Nirmala Sitharaman  https://t.co/daSdzie24a  #startups #entrepreneur #startupnews #business #marketing #tech,2022-10-16,11:14:52,0,['https://ift.tt/SQfOiLR'],en
"@khushaal_kakar We doing this meanwhile India creating CEOs, startup companies, Inventors , scientists.  Reforming Law amd equity and  beating UK to be the 5th largest economy.",2022-10-16,11:14:40,0,[],en
"Technology focused, Artificial Intelligence managed,  Institutional Algorithm perform very nice for 5 years.  #familyoffice #cryptoinvestor #angelinvestor #business #venturecapital #vc #startup #crowdfunding #investing #investments #investmentbanking #money #markets #strategy #he  https://t.co/CIpDN6hhRO",2022-10-10,12:31:12,0,[],en
"There are strong signs that Indian #Startups would explore foreign countries soon. Poor policies, lack of financial support and use of slogans instead of giving actual benefits would make it certain says @IMPraveenDalal. Contact @ODRIndia Portal for help. #DigitalIndia #LegalTech  https://t.co/I4LuazsTZR",2022-10-13,15:19:26,0,[],en
Atlanta Attracts French Robotics Unicorn As City Grows Its International Startup Presence #techblogs #community  https://t.co/GhtHbH1RQG,2022-10-12,12:42:22,0,['http://www.atlantatechblogs.com/posts/29722/redirect'],en
The truth or falsity of #IndiasMagnitsky11 must be established as soon as possible  https://t.co/gAjQYa4ym0. Investments in Indian #Startups and companies have already dried out and they may be forced to leave India says Visionary @IMPraveenDalal. #DigitalIndia #LegalTech #Startup,2022-10-16,09:52:50,0,['https://twitter.com/i/events/1581303820197437440'],en
