Year,Value,Lower,Upper
2000,38.48,31.48,48.66
2001,38.04,31.16,48.16
2002,37.64,30.84,47.66
2003,37.18,30.45,47.07
2004,36.47,29.84,46.12
2005,35.21,28.81,44.53
2006,33.73,27.61,42.68
2007,31.40,25.71,39.73
2008,28.70,23.50,36.33
2009,26.19,21.45,33.15
2010,23.85,19.53,30.19
2011,20.50,16.79,25.95
2012,17.95,14.72,22.75
2013,16.17,13.25,20.48
2014,15.04,12.33,19.05
2015,14.06,11.53,17.82
2016,13.79,11.31,17.48
2017,13.23,10.85,16.76
2018,12.40,10.15,15.69
2019,11.90,9.74,15.06
2020,11.83,9.68,14.96
