"Report ID","Report Version","Reporting Entity","Report Type","Report Month","Report Year","Report Submission Date","VIN","VIN - Unknown","Serial Number","Make","Model","Model - Unknown","Model Year","Model Year - Unknown","Same Vehicle ID","Mileage","Mileage - Unknown","Driver / Operator Type","ADAS/ADS Version","ADAS/ADS Version - Unknown","ADAS/ADS Version CBI","ADS Equipped?","Automation System Engaged?","Operating Entity","Operating Entity - Unknown","Source - Complaint/Claim","Source - Telematics","Source - Law Enforcement","Source - Field Report","Source - Testing","Source - Media","Source - Other","Source - Other Text","Incident Date","Incident Date - Unknown","Notice Received Date","Incident Time (24:00)","Incident Time - Unknown","Same Incident ID","Latitude","Latitude  - Unknown","Longitude","Longitude - Unknown","Address","Address - Unknown","City","City - Unknown","State","Zip Code","Zip Code - Unknown","Roadway Type","Roadway Surface","Roadway Description","Posted Speed Limit (MPH)","Posted Speed Limit - Unknown","Lighting","Weather - Clear","Weather - Snow","Weather - Cloudy","Weather - Fog/Smoke","Weather - Rain","Weather - Severe Wind","Weather - Unknown","Weather - Other","Weather - Other Text","Crash With","Highest Injury Severity","Property Damage?","CP Pre-Crash Movement","CP Any Air Bags Deployed?","CP Was Vehicle Towed?","CP Contact Area - Rear Left","CP Contact Area - Left","CP Contact Area - Front Left","CP Contact Area - Rear","CP Contact Area - Top","CP Contact Area - Front","CP Contact Area - Rear Right","CP Contact Area - Right","CP Contact Area - Front Right","CP Contact Area - Bottom","CP Contact Area - Unknown","SV Pre-Crash Movement","SV Any Air Bags Deployed?","SV Was Vehicle Towed?","SV Were All Passengers Belted?","SV Precrash Speed (MPH)","SV Pre-crash Speed - Unknown","SV Contact Area - Rear Left","SV Contact Area - Left","SV Contact Area - Front Left","SV Contact Area - Rear","SV Contact Area - Top","SV Contact Area - Front","SV Contact Area - Rear Right","SV Contact Area - Right","SV Contact Area - Front Right","SV Contact Area - Bottom","SV Contact Area - Unknown","Data Availability - EDR","Data Availability - Police Rpt","Data Availability - Telematics","Data Availability - Complaints","Data Availability - Video","Data Availability - Other","Data Availability - No Data","Data Availability - Unknown","Law Enforcement Investigating?","Investigating Agency","Investigating Agency - Unknown","Rep Ent Or Mfr Investigating?","Investigating Officer Name","Inv. Officer Name - Unknown","Investigating Officer Phone","Inv. Officer Phone - Unknown","Investigating Officer Email","Inv. Officer Email - Unknown","Within ODD?","Within ODD? - CBI","Narrative","Narrative - CBI?"
"1306-3711","3","Toyota Motor Engineering & Manufacturing","Monthly Update","8","2022","SEP-2022","JTDEPMAE0MJ"," ","N/A","Toyota","Corolla"," ","2021"," ","2cde5f393940552","13954"," ","Consumer","ADAS L2"," "," ","No","ADAS",""," ","Y"," "," ","Y"," "," "," ","","JUL-2022"," ","AUG-2022","02:59"," ","03a412f6f32430b","","Y","","Y","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Goldsboro"," ","NC ","","Y","Highway / Freeway","Unknown","Unknown","","Y","Dark - Not Lighted"," "," "," "," "," "," ","Y"," ","","Unknown","Unknown","Yes","Traveling Wrong Way","Unknown","Unknown"," "," "," "," "," "," "," "," "," "," ","Y","Proceeding Straight","No","Yes","Yes","89"," ","Y","Y","Y","Y","Y","Y","Y","Y","Y"," "," ","Y"," "," ","Y","Y","Y"," "," ","Yes","North Carolina State Highway Patrol"," ","Yes","","Y","","Y","","Y","Unknown, see Narrative"," ","On August [XXX], 2022 Toyota received a field report related to this crash. The vehicle was reportedly traveling east on [XXX], when it approached a vehicle travelling the wrong way on the road operated by a drunk driver. The Toyota Corolla driver alleged that they attempted to swerve right to miss the oncoming vehicle, but collided with the vehicle on the driver side. As a result of the collision, the Toyota Corolla allegedly rolled over, landed on its wheels, and contacted a highway barrier. 
Toyota obtained Vehicle Control History (VCH) and Event Data Recorder (EDR) data from the subject vehicle. VCH provides an approximately 8 second pre-crash data recording, and EDR provides an approximately 4.80 second pre-crash data recording. Based on the data obtained, the following information was observed:  Lane Trace Assist (LTA) was engaged during the recording until approximately 6.7 seconds prior to the crash event and Dynamic Radar Cruise Control (DRCC) was engaged during the recording until approximately 5.5 seconds prior to the crash event. ADAS L2 was disengaged approximately 6.7 seconds prior to the crash due to driver steering input exceeding the steering torque override threshold of LTA. The vehicle was traveling at approximately 89 MPH prior to the crash event. 
As a result of the crash incident, the subject vehicle was towed away from the scene. Injuries to occupants of the subject vehicle were described by the owner as: Driver: Cerebral fluid leaking from nose, Concussion, whiplash, backpain Front Passenger: No injuries reported.
This report is a Monthly Update. The original report ID is 1306-3711-1."," "
"13781-3765","2","Tesla, Inc.","10-Day Update","","","SEP-2022","5YJSA1E57NF"," ","N/A","Tesla","Model S"," ","2022"," ","3556d47e02712bb","4849"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","SEP-2022"," ","SEP-2022","17:57"," ","572ecf5d1bbec56","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Pleasant Grove"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Dry","No Unusual Conditions","65"," ","Daylight","Y"," "," "," "," "," "," "," ","","Unknown","Unknown","Yes","Unknown","Unknown","Unknown"," "," "," "," "," "," "," "," "," "," ","Y","Proceeding Straight","Yes","Unknown","Unknown","40"," "," "," "," "," "," "," "," "," "," "," ","Y","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-3745","2","Tesla, Inc.","10-Day Update","","","SEP-2022","7SAYGDEE7NF"," ","N/A","Tesla","Model Y"," ","2022"," ","d785c8bc6504800","1281"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","SEP-2022"," ","SEP-2022","06:52"," ","e917ceda262e294","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Philadelphia"," ","PA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Dry","Traffic Incident","55"," ","Dark - Lighted","Y"," "," "," "," "," "," "," ","","Passenger Car","Unknown","Yes","Proceeding Straight","Yes","Unknown"," "," ","Y"," "," ","Y"," "," ","Y"," "," ","Proceeding Straight","Yes","Unknown","Unknown","21"," ","Y"," "," ","Y"," "," ","Y"," "," "," "," ","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-3742","2","Tesla, Inc.","10-Day Update","","","SEP-2022","5YJYGDEE4LF"," ","N/A","Tesla","Model Y"," ","2020"," ","38476b4b84a1392","57537"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","SEP-2022"," ","SEP-2022","09:48"," ","5b5e0bd5f0ba750","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Eden"," ","WI ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Rural Road","Dry","No Unusual Conditions","","Y","Dark - Not Lighted","Y"," "," "," "," "," "," "," ","","Passenger Car","Unknown","Yes","Proceeding Straight","Unknown","Unknown"," "," ","Y"," "," ","Y"," "," ","Y"," "," ","Other, see Narrative","Yes","Unknown","Unknown","30"," ","Y","Y"," ","Y"," "," ","Y","Y"," ","Y"," ","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-3743","2","Tesla, Inc.","10-Day Update","","","SEP-2022","5YJ3E1EAXKF"," ","N/A","Tesla","Model 3"," ","2019"," ","152c099f4eebd98","75581"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","SEP-2022"," ","SEP-2022","13:46"," ","87c2f7f2e16b201","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Durham"," ","NC ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Dry","No Unusual Conditions","70"," ","Daylight","Y"," "," "," "," "," "," "," ","","Other, see Narrative","Unknown","Yes","Unknown","Unknown","Unknown"," "," "," "," "," "," "," "," "," "," ","Y","Proceeding Straight","Yes","Yes","Unknown","34"," ","Y","Y","Y"," "," ","Y","Y","Y","Y","Y"," ","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-3747","2","Tesla, Inc.","10-Day Update","","","SEP-2022","5YJ3E1EA1LF"," ","N/A","Tesla","Model 3"," ","2020"," ","199a0638f664640","61528"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","SEP-2022"," ","SEP-2022","06:20"," ","e3252ba5b16a3d3","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Dade City"," ","FL ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Street","Unknown","Unknown","45"," ","Unknown"," "," "," "," "," "," ","Y"," ","","Unknown","Unknown","Yes","Unknown","Unknown","Unknown"," "," "," "," "," "," "," "," "," "," ","Y","Unknown","Yes","Unknown","Unknown","59"," "," "," "," "," "," "," "," "," "," "," ","Y","Y"," "," "," "," "," "," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"1243-3681","3","Subaru of America, Inc.","Monthly Update","9","2022","SEP-2022","JF2SKAUC5LH"," ","N/A","Subaru","Forester"," ","2020"," ","eeba4facc678a69","25938"," ","Consumer","","Y"," ","No","ADAS",""," ","Y"," "," "," "," "," "," ","","JUL-2022"," ","AUG-2022","15:13"," ","68b9212338077cd","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Mamaroneck"," ","NY ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Dry","No Unusual Conditions","55"," ","Daylight","Y"," "," "," "," "," "," "," ","","Other Fixed Object","No Injuries Reported","Yes","","",""," "," "," "," "," "," "," "," "," "," "," ","Proceeding Straight","Yes","Yes","Yes","55"," "," "," "," "," "," "," "," "," "," "," ","Y"," ","Y","Y","Y"," "," "," "," ","Unknown","","Y","Yes","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"1243-3577","3","Subaru of America, Inc.","Monthly Update","9","2022","SEP-2022","4S4BTGPD8L3"," ","N/A","Subaru","Outback"," ","2020"," ","316cacd9e5436cf","20606"," ","Consumer","","Y"," ","No","ADAS",""," ","Y"," "," "," "," "," "," ","","JUL-2022"," ","AUG-2022","08:00"," ","ab964227042fecf","","Y","","Y","","Y","","Y","WV ","","Y","Unknown","Dry","Unknown","","Y","Daylight","Y"," "," "," "," "," "," "," ","","Pole / Tree","Minor","Yes","","",""," "," "," "," "," "," "," "," "," "," "," ","Unknown","No","Yes","Yes","40"," "," "," ","Y"," "," "," "," "," "," "," "," "," "," "," ","Y"," ","Y"," "," ","Unknown","","Y","No","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-3847","1","Tesla, Inc.","1-Day","","","SEP-2022","5YJ3E1EA6LF"," ","N/A","Tesla","Model 3"," ","2020"," ","415daa0a61baf8f","","Y","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","Y","No","ADAS",""," ","Y"," "," "," "," "," "," ","","SEP-2020"," ","SEP-2022","","Y","01d6cd8be0b5d87","","Y","","Y","","Y","Cobb County"," ","GA ","","Y","Unknown","Unknown","Unknown","","Y","Unknown"," "," "," "," "," "," ","Y"," ","","Unknown","Fatality","Yes","Unknown","Unknown","Unknown"," "," "," "," "," "," "," "," "," "," ","Y","Unknown","Unknown","Unknown","Unknown","","Y"," "," "," "," "," "," "," "," "," "," ","Y"," "," "," "," "," "," "," ","Y","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"1422-3730","3","Volvo Car USA, LLC","Monthly Update","9","2022","SEP-2022","YV4ED3GB1N2"," ","N/A","Volvo","C40"," ","2022"," ","be5c9cd5a1ddb13","5275"," ","Consumer","Pilot Assist"," "," ","No","ADAS",""," ","Y"," "," "," "," "," "," ","","","Y","AUG-2022","","Y"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Beckett"," ","MA ","","Y","Rural Road","Unknown","Unknown","50"," ","Unknown"," "," "," "," "," "," ","Y"," ","","Pickup Truck","Unknown","Yes","Unknown","Unknown","Unknown"," "," "," "," "," "," "," "," "," "," ","Y","Lane / Road Departure","Yes","Yes","Unknown","62"," "," "," ","Y"," "," "," "," "," ","Y"," "," ","Y"," "," ","Y"," "," "," "," ","Unknown","","Y","Yes","","Y","","Y","","Y","Unknown, see Narrative"," ","Customer States: ""Traveling south, [XXX] in Beckett Mass. lane departure on, cruise on, ""pilot assist"" on, vehicle hit on drivers side front after crossing center lane without warning. then vehicle hit on passenger front""
10-day Update for Report: 1422-3730-1: Vehicle was inspected on September [XXX], 2022.  Data was downloaded from the vehicle at the time of the inspection.  We are currently analyzing the data recovered.
Monthly Update for Report:1422-3730-2: Pilot Assist limited the steering torque before the vehicle left the lane. This was because the lateral acceleration exceeded the limit. The vehicle could not steer enough to follow the lane with the available torque. Its important to understand that the functions are supplementary aids. They cannot manage all situations in all conditions. The driver is always responsible for ensuring that the vehicle is driven in a safe manner. The driver failed to take control of the vehicle when the vehicle Pilot Assist could not provide enough steering torque for the vehicle to stay within its lane."," "
