FOOD NAME,SCIENTIFIC NAME,GROUP,SUB GROUP
Angelica,Angelica keiskei,Herbs and Spices,Herbs
Savoy cabbage,Brassica oleracea var. sabauda,Vegetables,Cabbages
Silver linden,Tilia argentea,Herbs and Spices,Herbs
Kiwi,Actinidia chinensis,Fruits,Tropical fruits
Allium (Onion),Allium,Vegetables,Onion-family vegetables
Garden onion,Allium cepa,Vegetables,Onion-family vegetables
Leek,Allium porrum,Vegetables,Onion-family vegetables
Garlic,Allium sativum,Herbs and Spices,Herbs
Chives,Allium schoenoprasum,Herbs and Spices,Herbs
Lemon verbena,Aloysia triphylla,Herbs and Spices,Herbs
Cashew nut,Anacardium occidentale,Nuts,Nuts
Pineapple,Ananas comosus,Fruits,Tropical fruits
Dill,Anethum graveolens,Herbs and Spices,Herbs
Custard apple,Annona reticulata,Fruits,Tropical fruits
Wild celery,Apium graveolens,Herbs and Spices,Spices
Peanut,Arachis hypogaea,Nuts,Nuts
Burdock,Arctium lappa,Vegetables,Root vegetables
Horseradish,Armoracia rusticana,Herbs and Spices,Spices
Tarragon,Artemisia dracunculus,Herbs and Spices,Herbs
Mugwort,Artemisia vulgaris,Herbs and Spices,Herbs
Asparagus,Asparagus officinalis,Vegetables,Shoot vegetables
Oat,Avena sativa,Cereals and cereal products,Cereals
Star fruit,Averrhoa carambola,Fruits,Tropical fruits
Brazil nut,Bertholletia excelsa,Nuts,Nuts
Common beet,Beta vulgaris,Vegetables,Leaf vegetables
Borage,Borago officinalis,Herbs and Spices,Oilseed crops
Chinese mustard,Brassica juncea,Vegetables,Cabbages
Swede,Brassica napus,Vegetables,Root vegetables
Rape,Brassica napus var. napus,Vegetables,Root vegetables
Common cabbage,Brassica oleracea,Vegetables,Cabbages
Cauliflower,Brassica oleracea var. botrytis,Vegetables,Cabbages
Brussel sprouts,Brassica oleracea var. gemmifera,Vegetables,Cabbages
Kohlrabi,Brassica oleracea var. gongylodes,Vegetables,Root vegetables
Broccoli,Brassica oleracea var. italica,Vegetables,Cabbages
Chinese cabbage,Brassica rapa,Vegetables,Cabbages
Turnip,Brassica rapa var. rapa,Herbs and Spices,Herbs
Pigeon pea,Cajanus cajan,Pulses,Peas
Tea,Camellia sinensis,Teas,Teas
Capers,Capparis spinosa,Herbs and Spices,Spices
Pepper (C. annuum),Capsicum annuum,Vegetables,Fruit vegetables
Papaya,Carica papaya,Fruits,Tropical fruits
Safflower,Carthamus tinctorius,Herbs and Spices,Oilseed crops
Caraway,Carum carvi,Herbs and Spices,Spices
Pecan nut,Carya illinoinensis,Nuts,Nuts
Chestnut,Castanea,Nuts,Nuts
Roman camomile,Chamaemelum nobile,Herbs and Spices,Herbs
Chickpea,Cicer arietinum,Pulses,Peas
Endive,Cichorium endivia,Vegetables,Leaf vegetables
Chicory,Cichorium intybus,Vegetables,Root vegetables
Chinese cinnamon,Cinnamomum aromaticum,Herbs and Spices,Spices
Ceylon cinnamon,Cinnamomum verum,Herbs and Spices,Spices
Watermelon,Citrullus lanatus,Gourds,Gourds
Lime,Citrus aurantiifolia,Fruits,Citrus
Lemon,Citrus limon,Fruits,Citrus
Pummelo,Citrus maxima,Fruits,Citrus
"Mandarin orange (Clementine, Tangerine)",Citrus reticulata,Fruits,Citrus
Sweet orange,Citrus sinensis,Fruits,Citrus
Coffee,Coffea,Coffee and coffee products,Coffee
Arabica coffee,Coffea arabica,Coffee and coffee products,Coffee
Robusta coffee,Coffea canephora,Coffee and coffee products,Coffee
Coriander,Coriandrum sativum,Herbs and Spices,Herbs
Common hazelnut,Corylus avellana,Nuts,Nuts
Saffron,Crocus sativus,Herbs and Spices,Spices
Muskmelon,Cucumis melo,Gourds,Gourds
Cucumber,Cucumis sativus,Gourds,Gourds
Cucurbita (Gourd),Cucurbita,Gourds,Gourds
Cumin,Cuminum cyminum,Herbs and Spices,Spices
Turmeric,Curcuma longa,Herbs and Spices,Spices
Quince,Cydonia oblonga,Fruits,Pomes
Lemon grass,Cymbopogon citratus,Herbs and Spices,Herbs
Globe artichoke,Cynara scolymus,Vegetables,Shoot vegetables
Wild carrot,Daucus carota,Vegetables,Root vegetables
Japanese persimmon,Diospyros kaki,Fruits,Tropical fruits
Cardamom,Elettaria cardamomum,Herbs and Spices,Spices
Black crowberry,Empetrum nigrum,Fruits,Berries
Loquat,Eriobotrya japonica,Fruits,Tropical fruits
Rocket salad (ssp.),Eruca vesicaria ssp. sativa,Vegetables,Leaf vegetables
Wax apple,Eugenia,Fruits,Tropical fruits
Common buckwheat,Fagopyrum esculentum,Cereals and cereal products,Cereals
Tartary buckwheat,Fagopyrum tataricum,Cereals and cereal products,Cereals
Fig,Ficus carica,Fruits,Other fruits
Fennel,Foeniculum vulgare,Herbs and Spices,Herbs
Strawberry,Fragaria X ananassa,Fruits,Berries
Black huckleberry,Gaylussacia baccata,Fruits,Berries
Soy bean,Glycine max,Soy,Soy
Sunflower,Helianthus annuus,Herbs and Spices,Oilseed crops
Sea-buckthornberry,Hippophae rhamnoides,Fruits,Berries
Barley,Hordeum vulgare,Cereals and cereal products,Cereals
Hyssop,Hyssopus officinalis,Herbs and Spices,Herbs
Star anise,Illicium verum,Herbs and Spices,Spices
Swamp cabbage,Ipomoea aquatica,Vegetables,Leaf vegetables
Sweet potato,Ipomoea batatas,Vegetables,Tubers
Black walnut,Juglans nigra,Nuts,Nuts
Common walnut,Juglans regia,Nuts,Nuts
Lettuce,Lactuca sativa,Vegetables,Leaf vegetables
Grass pea,Lathyrus sativus,Pulses,Peas
Sweet bay,Laurus nobilis,Herbs and Spices,Herbs
Lentils,Lens culinaris,Pulses,Lentils
Garden cress,Lepidium sativum,Vegetables,Leaf vegetables
Lovage,Levisticum officinale,Herbs and Spices,Herbs
Flaxseed,Linum usitatissimum,Herbs and Spices,Oilseed crops
Mexican oregano,Lippia graveolens,Herbs and Spices,Herbs
Lichee,Litchi chinensis,Fruits,Tropical fruits
Lupine,Lupinus,Pulses,Other pulses
Apple,Malus pumila,Fruits,Pomes
Mango,Mangifera indica,Fruits,Tropical fruits
German camomile,Matricaria recutita,Herbs and Spices,Herbs
Lemon balm,Melissa officinalis,Herbs and Spices,Herbs
Mentha (Mint),Mentha,Herbs and Spices,Herbs
Orange mint,Mentha aquatica,Herbs and Spices,Herbs
Cornmint,Mentha arvensis,Herbs and Spices,Herbs
Spearmint,Mentha spicata,Herbs and Spices,Herbs
Peppermint,Mentha X piperita,Herbs and Spices,Herbs
Medlar,Mespilus germanica,Fruits,Pomes
Bitter gourd,Momordica charantia,Gourds,Gourds
Mulberry,Morus,Fruits,Berries
Black mulberry,Morus nigra,Fruits,Berries
Nutmeg,Myristica fragrans,Herbs and Spices,Spices
Sweet basil,Ocimum basilicum,Herbs and Spices,Herbs
Evening primrose,Oenothera biennis,Herbs and Spices,Oilseed crops
Olive,Olea europaea,Vegetables,Fruit vegetables
Sweet marjoram,Origanum majorana,Herbs and Spices,Herbs
Pot marjoram,Origanum onites,Herbs and Spices,Herbs
Common oregano,Origanum vulgare,Herbs and Spices,Herbs
Rice,Oryza sativa,Cereals and cereal products,Cereals
Millet,Panicum miliaceum,Cereals and cereal products,Cereals
Poppy,Papaver,Herbs and Spices,Oilseed crops
Passion fruit,Passiflora edulis,Fruits,Tropical fruits
Parsnip,Pastinaca sativa,Vegetables,Root vegetables
Avocado,Persea americana,Vegetables,Fruit vegetables
Parsley,Petroselinum crispum,Herbs and Spices,Herbs
Scarlet bean,Phaseolus coccineus,Pulses,Beans
Lima bean,Phaseolus lunatus,Pulses,Beans
Common bean,Phaseolus vulgaris,Pulses,Beans
Date,Phoenix dactylifera,Fruits,Other fruits
Black chokeberry,Photinia melanocarpa,Fruits,Berries
Anise,Pimpinella anisum,Herbs and Spices,Herbs
Pine nut,Pinus,Nuts,Nuts
Pepper (Spice),Piper nigrum,Herbs and Spices,Spices
Pistachio,Pistacia vera,Nuts,Nuts
Common pea,Pisum sativum,Pulses,Peas
Purslane,Portulaca oleracea,Herbs and Spices,Herbs
"Prunus (Cherry, Plum)",Prunus,Fruits,Drupes
Apricot,Prunus armeniaca,Fruits,Drupes
Sweet cherry,Prunus avium,Fruits,Drupes
Sour cherry,Prunus cerasus,Fruits,Drupes
European plum,Prunus domestica,Fruits,Drupes
Almond,Prunus dulcis,Nuts,Nuts
Peach,Prunus persica,Fruits,Drupes
Guava,Psidium guajava,Fruits,Tropical fruits
Pomegranate,Punica granatum,Fruits,Tropical fruits
Pear,Pyrus communis,Fruits,Pomes
Radish,Raphanus sativus,Vegetables,Root vegetables
Garden rhubarb,Rheum rhabarbarum,Vegetables,Stalk vegetables
Blackcurrant,Ribes nigrum,Fruits,Berries
Redcurrant,Ribes rubrum,Fruits,Berries
Gooseberry,Ribes uva-crispa,Fruits,Berries
Watercress,Rorippa nasturtium-aquaticum,Herbs and Spices,Herbs
Rosemary,Rosmarinus officinalis,Herbs and Spices,Herbs
"Rubus (Blackberry, Raspberry)",Rubus,Fruits,Berries
Cloudberry,Rubus chamaemorus,Fruits,Berries
Red raspberry,Rubus idaeus,Fruits,Berries
Black raspberry,Rubus occidentalis,Fruits,Berries
Sorrel,Rumex acetosa,Herbs and Spices,Herbs
Common sage,Salvia officinalis,Herbs and Spices,Herbs
Black elderberry,Sambucus nigra,Fruits,Berries
Summer savory,Satureja hortensis,Herbs and Spices,Herbs
Winter savory,Satureja montana,Herbs and Spices,Herbs
Rye,Secale cereale,Cereals and cereal products,Cereals
Sesame,Sesamum orientale,Herbs and Spices,Oilseed crops
Garden tomato,Solanum lycopersicum,Vegetables,Fruit vegetables
Cherry tomato,Solanum lycopersicum var. cerasiforme,Vegetables,Fruit vegetables
Garden tomato (var.),Solanum lycopersicum var. lycopersicum,Vegetables,Fruit vegetables
Eggplant,Solanum melongena,Vegetables,Fruit vegetables
Potato,Solanum tuberosum,Vegetables,Tubers
Rowanberry,Sorbus aucuparia,Fruits,Berries
Sorghum,Sorghum bicolor,Cereals and cereal products,Cereals
Spinach,Spinacia oleracea,Vegetables,Leaf vegetables
Cloves,Syzygium aromaticum,Herbs and Spices,Spices
Tamarind,Tamarindus indica,Fruits,Tropical fruits
Dandelion,Taraxacum officinale,Herbs and Spices,Herbs
Cocoa bean,Theobroma cacao,Cocoa and cocoa products,Cocoa
Common thyme,Thymus vulgaris,Herbs and Spices,Herbs
Linden,Tilia,Herbs and Spices,Herbs
Small-leaf linden,Tilia cordata,Herbs and Spices,Herbs
Fenugreek,Trigonella foenum-graecum,Herbs and Spices,Herbs
Common wheat,Triticum aestivum,Cereals and cereal products,Cereals
"Vaccinium (Blueberry, Cranberry, Huckleberry)",Vaccinium,Fruits,Berries
Lowbush blueberry,Vaccinium angustifolium,Fruits,Berries
Sparkleberry,Vaccinium arboreum,Fruits,Berries
Highbush blueberry,Vaccinium corymbosum,Fruits,Berries
American cranberry,Vaccinium macrocarpon,Fruits,Berries
Bilberry,Vaccinium myrtillus,Fruits,Berries
Lingonberry,Vaccinium vitis-idaea,Fruits,Berries
