Date,Price (All),Change (All),Price (New),Change (New),Price (Modern),Change (Modern),Price (Older),Change (Older)
1952-11-01,1891,0.0,2107,0.0,2020,0.0,1524,0.0
1953-02-01,1891,0.0,2107,0.0,2002,0.0,1542,0.0
1953-05-01,1891,0.0,2107,0.0,2002,0.0,1542,0.0
1953-08-01,1881,0.0,2117,0.0,2002,0.0,1524,0.0
1953-11-01,1872,-1.0,2117,0.5,1975,-2.2,1542,1.2
1954-02-01,1863,-1.5,2117,0.5,1957,-2.2,1524,-1.2
1954-05-01,1872,-1.0,2117,0.5,1984,-0.9,1515,-1.7
1954-08-01,1863,-1.0,2127,0.5,1948,-2.7,1524,0.0
1954-11-01,1853,-1.0,2127,0.5,1939,-1.8,1515,-1.7
1955-02-01,1900,2.0,2167,2.4,1984,1.4,1569,2.9
1955-05-01,1937,3.5,2217,4.8,2037,2.7,1578,4.1
1955-08-01,1937,4.0,2217,4.3,2037,4.6,1587,4.1
1955-11-01,1937,4.5,2217,4.3,2029,4.6,1587,4.7
1956-02-01,1975,3.9,2278,5.1,2082,5.0,1596,1.7
1956-05-01,2003,3.4,2318,4.5,2109,3.5,1631,3.4
1956-08-01,2003,3.4,2318,4.5,2109,3.5,1631,2.8
1956-11-01,2003,3.4,2328,5.0,2100,3.5,1631,2.8
1957-02-01,2021,2.4,2348,3.1,2109,1.3,1658,3.9
1957-05-01,2021,0.9,2369,2.2,2100,-0.4,1667,2.2
1957-08-01,2030,1.4,2379,2.6,2109,0.0,1667,2.2
1957-11-01,2030,1.4,2399,3.0,2109,0.4,1667,2.2
1958-02-01,2049,1.4,2409,2.6,2118,0.4,1685,1.6
1958-05-01,2049,1.4,2409,1.7,2109,0.4,1694,1.6
1958-08-01,2058,1.4,2419,1.7,2136,1.3,1694,1.6
1958-11-01,2068,1.8,2429,1.3,2145,1.7,1703,2.2
1959-02-01,2077,1.4,2439,1.3,2145,1.3,1721,2.1
1959-05-01,2105,2.7,2459,2.1,2172,3.0,1748,3.2
1959-08-01,2124,3.2,2490,2.9,2189,2.5,1757,3.7
1959-11-01,2170,5.0,2560,5.4,2243,4.6,1784,4.7
1960-02-01,2189,5.4,2600,6.6,2261,5.4,1811,5.2
1960-05-01,2235,6.2,2661,8.2,2297,5.8,1855,6.2
1960-08-01,2301,8.3,2721,9.3,2386,9.0,1891,7.7
1960-11-01,2328,7.3,2762,7.9,2404,7.2,1927,8.0
1961-02-01,2403,9.8,2893,11.2,2484,9.9,1963,8.4
1961-05-01,2440,9.2,2923,9.8,2502,8.9,2026,9.2
1961-08-01,2468,7.3,2933,7.8,2520,5.6,2071,9.5
1961-11-01,2543,9.2,2973,7.7,2618,8.9,2115,9.8
1962-02-01,2552,6.2,2994,3.5,2627,5.8,2124,8.2
1962-05-01,2599,6.5,3084,5.5,2663,6.4,2169,7.1
1962-08-01,2645,7.2,3125,6.5,2708,7.4,2205,6.5
1962-11-01,2673,5.1,3155,6.1,2726,4.1,2241,5.9
1963-02-01,2748,7.7,3185,6.4,2833,7.8,2295,8.0
1963-05-01,2822,8.6,3256,5.6,2922,9.7,2357,8.7
1963-08-01,2850,7.7,3286,5.2,2958,9.2,2375,7.7
1963-11-01,2943,10.1,3326,5.4,3074,12.8,2456,9.6
1964-02-01,2999,9.2,3377,6.0,3101,9.5,2528,10.2
1964-05-01,3092,9.6,3457,6.2,3217,10.1,2582,9.5
1964-08-01,3139,10.1,3578,8.9,3244,9.7,2635,10.9
1964-11-01,3185,8.2,3598,8.2,3333,8.4,2635,7.3
1965-02-01,3269,9.0,3699,9.6,3476,12.1,2644,4.6
1965-05-01,3344,8.1,3800,9.9,3494,8.6,2779,7.6
1965-08-01,3381,7.7,3840,7.3,3512,8.3,2815,6.8
1965-11-01,3418,7.3,3860,7.3,3592,7.8,2824,7.1
1966-02-01,3465,6.0,3891,5.2,3655,5.1,2832,7.1
1966-05-01,3558,6.4,3991,5.0,3726,6.6,2958,6.5
1966-08-01,3558,5.2,4062,5.8,3753,6.9,2895,2.9
1966-11-01,3586,4.9,4112,6.5,3726,3.7,2967,5.1
1967-02-01,3642,5.1,4183,7.5,3807,4.2,2994,5.7
1967-05-01,3698,3.9,4223,5.8,3878,4.1,3039,2.7
1967-08-01,3763,5.8,4243,4.5,3941,5.0,3128,8.0
1967-11-01,3837,7.0,4334,5.4,4003,7.4,3200,7.9
1968-02-01,3903,7.2,4344,3.9,4084,7.3,3272,9.3
1968-05-01,3996,8.1,4495,6.4,4182,7.8,3325,9.4
1968-08-01,4052,7.7,4606,8.6,4200,6.6,3397,8.6
1968-11-01,4089,6.6,4657,7.4,4236,5.8,3424,7.0
1969-02-01,4145,6.2,4657,7.2,4307,5.5,3496,6.8
1969-05-01,4201,5.1,4697,4.5,4379,4.7,3532,6.2
1969-08-01,4229,4.4,4798,4.2,4370,4.0,3576,5.3
1969-11-01,4312,5.5,4848,4.1,4477,5.7,3630,6.0
1970-02-01,4378,5.6,4939,6.1,4522,5.0,3711,6.2
1970-05-01,4452,6.0,4949,5.4,4620,5.5,3774,6.9
1970-08-01,4508,6.6,5080,5.9,4629,5.9,3845,7.5
1970-11-01,4582,6.3,5161,6.4,4718,5.4,3908,7.7
1971-02-01,4741,8.3,5352,8.4,4888,8.1,4043,8.9
1971-05-01,4908,10.3,5584,12.8,5067,9.7,4159,10.2
1971-08-01,5244,16.3,5916,16.5,5406,16.8,4473,16.3
1971-11-01,5533,20.7,6239,20.9,5746,21.8,4670,19.5
1972-02-01,6008,26.7,6733,25.8,6202,26.9,5136,27.1
1972-05-01,6557,33.6,7267,30.1,6836,34.9,5531,33.0
1972-08-01,7395,41.0,8396,41.9,7632,41.2,6257,39.9
1972-11-01,7880,42.4,9091,45.7,8078,40.6,6687,43.2
1973-02-01,8396,39.8,9844,46.2,8551,37.9,7147,39.1
1973-05-01,8832,34.7,10232,40.8,9067,32.6,7475,35.2
1973-08-01,9183,24.2,10504,25.1,9438,23.7,7794,24.6
1973-11-01,9767,24.0,11088,22.0,9817,21.5,8353,24.9
1974-02-01,9928,18.2,11242,14.2,9987,16.8,8496,18.9
1974-05-01,10027,13.5,11374,11.2,10025,10.6,8648,15.7
1974-08-01,10148,10.5,11450,9.0,10109,7.1,8829,13.3
1974-11-01,10208,4.5,11626,4.9,10166,3.5,8877,6.3
1975-02-01,10388,4.6,11780,4.8,10279,2.9,9096,7.1
1975-05-01,10728,7.0,12265,7.8,10626,6.0,9334,7.9
1975-08-01,10978,8.2,12627,10.3,10872,7.5,9534,8.0
1975-11-01,11288,10.6,13144,13.1,11201,10.2,9725,9.6
1976-02-01,11519,10.9,13463,14.3,11417,11.1,9924,9.1
1976-05-01,11739,9.4,13793,12.5,11586,9.0,10144,8.7
