company,domain,full_time_headcount,headquarters,year_founded,most_common_skills,most_common_job_titiles,largest_job_functions,description
Cred,Financial Services,800,Bengaluru,2018,"Data Science, Leadership, Business Management","Software Engineer, Business Consultant, Product Analyst ","Engineering, Customer Success and Support, Sales","CRED is a member-based credit card rewards app that has gained popularity for its quirky ads. Along with benefits like ElderCare and egg freezing as part of its BeniFlex Program, the company offers employees one-on-one support for mental wellness through their partners "
UpGrad,E-learning,5000,Mumbai,2015,"Business Management, Communication, Sales Operation ","Admissions Officer, Academic Advisor, Business Development Manager ","Education, Business Development, Sales ","In partnership with numerous universities in India and abroad, upGrad gives professionals and college students the opportunity to upskill while they work. The edtech company recently raised $210 million and remains capital-efficient while growing 100% year-on-year "
Groww,Internet,680,Bengaluru,2016,"Development Tools, Web Development, Data Science ","Software Engineer, Product Manager, Business Analyst ","Engineering, Finance, Product Management","This online investment platform provides an objective evaluation of various investment opportunities through stocks and mutual funds. With its user-friendly interface, it aims to simplify investment for the masses."
Zepto,Internet,1000,Mumbai,2021,"Business Management, Manufacturing Operations, Data Science ","Shop Manager, Software Engineer, Customer Service Manager","Operations, Sales, Marketing","With a wide selection of groceries, dairy products and more, Zepto delivers orders within 10 minutes. Co-founded by two 19-year-olds, the company’s latest funding round in May has helped it inch closer to unicorn status, with a current valuation of $900 million. "
Skyroot Aerospace,Space Research and Technology,200,Hyderabad ,2018,"Aerospace Engineering, Machining, Scientific Computing ","Propulsion Engineer, Mechanical Design Engineer, Manufacturing Engineer ","Engineering, Quality Assurance, Business Development","Founded by engineers and former ISRO scientists, Skyroot Aerospace builds technologies for responsive, reliable and economic access to space. The spacetech company is currently working on its Vikram series of rockets which will help carry small satellites into space."
MBA Chai Wala,Food and Beverge,100,Ahmedabad,2016,"Business Management, Communication, Project Management",Copywriter,"Marketing, Sales, Operations","This chain of tea-serving cafes gained popularity because of the background of its unconventional founder. Founded by an ex-McDonald’s server, who is a son of a farmer and an MBA aspirant, MBA Chai Wala turned a small “thela” into a multiple franchises-strong business spread across over 100 Indian cities."
Spinny,Retail Motor Vehicles,5000,Gurugram,2015," Business Management, Data Science, Development Tools","Business Operations Analyst, Business Development Officer, Sales Analyst","Operations, Sales, Business Development","Spinny is a marketplace for pre-owned cars that aims to make the process of buying and selling cars transparent and seamless. As it expands, the company is looking to hire up to 2,500 people from tier 2 and 3 cities."
The Good Glam Group,Internet,3500,Pune,2017,"Digital Marketing, Advertising, Business Management","Graphic Designer, Marketing Manager, Product Manager","Marketing, Human Resources, Sales","Through the use of social media, this content-to-commerce platform promotes and assists in the sales of various cruelty-free and sustainable beauty and personal care brands. The ‘Good’ in the company’s name emphasises its focus on inclusive beauty and clean beauty products."
GrowthSchool,E-learning,110,Bengaluru,2021,"Digital Marketing, Business Management, Communication","Office Associate, Program Manager","Marketing, Business Development, Sales","GrowthSchool aims to help its students grow both personally and professionally. Pastry chef Pooja Dhingra, Nearbuy co-founder Ankur Warikoo and All Things Small co-founder Devaiah Bopanna are among the mentors on the platform helping individuals advance their careers through debates, discussions, and live Q&As."
BluSmart,Automotive,270,Gurugram,2019,"Development Tools, Business Management, Web Development ","Software Engineer, Mobile Application Developer, Customer Service Manager","Engineering, Operations, Customer Success and Support","This all-electric cab service operates a fleet of more than 2,000 electric vehicles, offering customers a greener and more sustainable mode of transportation. They recently added hourly rentals, which allows users to keep the cab while running errands."
