date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2004-01-15,Wheat flour - Retail,KG,cereals and tubers,13.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-02-15,Wheat flour - Retail,KG,cereals and tubers,13.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-03-15,Wheat flour - Retail,KG,cereals and tubers,14.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-04-15,Wheat flour - Retail,KG,cereals and tubers,12.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-05-15,Wheat flour - Retail,KG,cereals and tubers,13.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-06-15,Wheat flour - Retail,KG,cereals and tubers,13.405,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-07-15,Wheat flour - Retail,KG,cereals and tubers,13.6,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-08-15,Wheat flour - Retail,KG,cereals and tubers,13.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-09-15,Wheat flour - Retail,KG,cereals and tubers,13.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-10-15,Wheat flour - Retail,KG,cereals and tubers,13.875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-11-15,Wheat flour - Retail,KG,cereals and tubers,14.1875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2004-12-15,Wheat flour - Retail,KG,cereals and tubers,14.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-01-15,Wheat flour - Retail,KG,cereals and tubers,14.375,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-02-15,Wheat flour - Retail,KG,cereals and tubers,14.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-03-15,Wheat flour - Retail,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-04-15,Wheat flour - Retail,KG,cereals and tubers,14.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-05-15,Wheat flour - Retail,KG,cereals and tubers,13.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-06-15,Wheat flour - Retail,KG,cereals and tubers,12.66,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-07-15,Wheat flour - Retail,KG,cereals and tubers,12.66,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-08-15,Wheat flour - Retail,KG,cereals and tubers,12.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-09-15,Wheat flour - Retail,KG,cereals and tubers,12.625,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-10-15,Wheat flour - Retail,KG,cereals and tubers,12.813,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-11-15,Wheat flour - Retail,KG,cereals and tubers,12.875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2005-12-15,Wheat flour - Retail,KG,cereals and tubers,12.875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2006-01-15,Wheat flour - Retail,KG,cereals and tubers,12.815,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2006-02-15,Wheat flour - Retail,KG,cereals and tubers,12.97,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
