from,to,weight
0,0,1.0
0,1,0.4254589621618998
0,2,0.15735536121228835
0,3,0.2065001915318771
0,4,0.5641481300092792
0,5,0.5185979740603736
0,6,0.4004257413362988
0,7,0.026681753803600213
0,8,0.2246753353645143
0,9,0.5012188151342344
0,10,0.6450351504487496
0,11,0.3017999694450067
0,12,0.2208714163742547
0,13,0.29127398865068815
0,14,0.29527949143396093
1,0,0.4254589621618998
1,1,1.0
1,2,0.0675140218396667
1,3,0.26196442955171145
1,4,0.3780618503310153
1,5,0.3043222324581647
1,6,0.49569003081788693
1,7,0.012639714409520017
1,8,0.4735509089058796
1,9,0.21467316340341888
1,10,0.6440282349707656
1,11,0.1405239538598446
1,12,0.1199636200288765
1,13,0.236932153508788
1,14,0.5156590373951959
2,0,0.15735536121228835
2,1,0.0675140218396667
2,2,1.0
2,3,0.0579827080638925
2,4,0.12448269513956747
2,5,0.18162297781101544
2,6,0.08399138552459928
2,7,0.12995215005735256
2,8,0.039431541048513034
2,9,0.31389512549638104
2,10,0.10445438879975233
2,11,0.27302427777218313
2,12,0.2653961850671145
2,13,0.0847813380801455
2,14,0.04896276870438284
3,0,0.2065001915318771
3,1,0.26196442955171145
3,2,0.0579827080638925
3,3,1.0
3,4,0.12786536890317082
3,5,0.2994868903344551
3,6,0.49413663501744387
3,7,0.019348540837178446
3,8,0.3640738290846749
3,9,0.14409975673093153
3,10,0.2717646105201546
3,11,0.06598468397383415
3,12,0.18161413084354613
3,13,0.06925856381409894
3,14,0.1372766743647438
4,0,0.5641481300092792
4,1,0.3780618503310153
4,2,0.12448269513956747
4,3,0.12786536890317082
4,4,1.0
4,5,0.29314345981548656
4,6,0.2576743777146235
4,7,0.018189409018944426
4,8,0.1795702536406634
4,9,0.36075049338756054
4,10,0.4669973156493975
4,11,0.3473373992113729
4,12,0.13115145671266668
4,13,0.5160608848960897
4,14,0.37603553999987777
5,0,0.5185979740603736
5,1,0.3043222324581647
5,2,0.18162297781101544
5,3,0.2994868903344551
5,4,0.29314345981548656
5,5,1.0
5,6,0.4592663208904019
5,7,0.04112292520142764
5,8,0.2103537986354655
5,9,0.4787505437504287
5,10,0.45503551942444403
5,11,0.20945964345722418
5,12,0.39265129148793376
5,13,0.15172156068444362
5,14,0.17483032412130367
6,0,0.4004257413362988
6,1,0.49569003081788693
6,2,0.08399138552459928
6,3,0.49413663501744387
6,4,0.2576743777146235
6,5,0.4592663208904019
6,6,1.0
6,7,0.020100141092650608
6,8,0.4531391500123935
6,9,0.2432648218319923
6,10,0.5497389299314239
6,11,0.1222227446347154
6,12,0.20121591126333135
6,13,0.14014092342561324
6,14,0.25568112281365163
7,0,0.026681753803600213
7,1,0.012639714409520017
7,2,0.12995215005735256
7,3,0.019348540837178446
7,4,0.018189409018944426
7,5,0.04112292520142764
7,6,0.020100141092650608
7,7,1.0
7,8,0.009157337469302411
7,9,0.05020361681417291
7,10,0.019388134647280193
7,11,0.035507555980362496
7,12,0.0997370475374513
7,13,0.01137724285375848
7,14,0.007879230286997389
8,0,0.2246753353645143
8,1,0.4735509089058796
8,2,0.039431541048513034
8,3,0.3640738290846749
8,4,0.1795702536406634
8,5,0.2103537986354655
8,6,0.4531391500123935
8,7,0.009157337469302411
8,8,1.0
8,9,0.1203454333643666
8,10,0.3469730076858108
8,11,0.06932279551391728
8,12,0.09181389935812673
8,13,0.11436481583258078
8,14,0.3017964976434583
9,0,0.5012188151342344
9,1,0.21467316340341888
9,2,0.31389512549638104
9,3,0.14409975673093153
9,4,0.36075049338756054
9,5,0.4787505437504287
9,6,0.2432648218319923
9,7,0.05020361681417291
9,8,0.1203454333643666
9,9,1.0
9,10,0.3310438983866511
9,11,0.4210377108297476
9,12,0.3253442807130295
9,13,0.2086685939533081
9,14,0.1523029403313025
10,0,0.6450351504487496
10,1,0.6440282349707656
10,2,0.10445438879975233
10,3,0.2717646105201546
10,4,0.4669973156493975
10,5,0.45503551942444403
10,6,0.5497389299314239
10,7,0.019388134647280193
10,8,0.3469730076858108
10,9,0.3310438983866511
10,10,1.0
10,11,0.19897041961916737
10,12,0.17881620734727335
10,13,0.25430316172164513
10,14,0.3829448094596903
11,0,0.3017999694450067
11,1,0.1405239538598446
11,2,0.27302427777218313
11,3,0.06598468397383415
11,4,0.3473373992113729
11,5,0.20945964345722418
11,6,0.1222227446347154
11,7,0.035507555980362496
11,8,0.06932279551391728
11,9,0.4210377108297476
11,10,0.19897041961916737
11,11,1.0
11,12,0.14679896266271464
11,13,0.2950169451927428
11,14,0.13161974270242932
12,0,0.2208714163742547
12,1,0.1199636200288765
12,2,0.2653961850671145
12,3,0.18161413084354613
12,4,0.13115145671266668
12,5,0.39265129148793376
12,6,0.20121591126333135
12,7,0.0997370475374513
12,8,0.09181389935812673
12,9,0.3253442807130295
12,10,0.17881620734727335
12,11,0.14679896266271464
12,12,1.0
12,13,0.07069876731820461
12,14,0.06899970673603864
13,0,0.29127398865068815
13,1,0.236932153508788
13,2,0.0847813380801455
13,3,0.06925856381409894
13,4,0.5160608848960897
13,5,0.15172156068444362
13,6,0.14014092342561324
13,7,0.01137724285375848
13,8,0.11436481583258078
13,9,0.2086685939533081
13,10,0.25430316172164513
13,11,0.2950169451927428
13,12,0.07069876731820461
13,13,1.0
13,14,0.3298384112445977
14,0,0.29527949143396093
14,1,0.5156590373951959
14,2,0.04896276870438284
14,3,0.1372766743647438
14,4,0.37603553999987777
14,5,0.17483032412130367
14,6,0.25568112281365163
14,7,0.007879230286997389
14,8,0.3017964976434583
14,9,0.1523029403313025
14,10,0.3829448094596903
14,11,0.13161974270242932
14,12,0.06899970673603864
14,13,0.3298384112445977
14,14,1.0
