date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2000-01-15,Maize - Wholesale,MT,cereals and tubers,5.28,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-02-15,Maize - Wholesale,MT,cereals and tubers,4.718,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-03-15,Maize - Wholesale,MT,cereals and tubers,5.43,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-04-15,Maize - Wholesale,MT,cereals and tubers,5.46,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-05-15,Maize - Wholesale,MT,cereals and tubers,5.125,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-06-15,Maize - Wholesale,MT,cereals and tubers,4.417,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-07-15,Maize - Wholesale,MT,cereals and tubers,4.25,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-08-15,Maize - Wholesale,MT,cereals and tubers,4.0,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-09-15,Maize - Wholesale,MT,cereals and tubers,4.133,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-10-15,Maize - Wholesale,MT,cereals and tubers,4.542,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-11-15,Maize - Wholesale,MT,cereals and tubers,4.5,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2000-12-15,Maize - Wholesale,MT,cereals and tubers,4.667,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-01-15,Maize - Wholesale,MT,cereals and tubers,4.553,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-02-15,Maize - Wholesale,MT,cereals and tubers,4.293,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-03-15,Maize - Wholesale,MT,cereals and tubers,4.287,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-04-15,Maize - Wholesale,MT,cereals and tubers,4.317,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-05-15,Maize - Wholesale,MT,cereals and tubers,4.4,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-06-15,Maize - Wholesale,MT,cereals and tubers,4.337,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-07-15,Maize - Wholesale,MT,cereals and tubers,4.161,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-08-15,Maize - Wholesale,MT,cereals and tubers,4.3145,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-09-15,Maize - Wholesale,MT,cereals and tubers,4.3475,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-10-15,Maize - Wholesale,MT,cereals and tubers,4.501,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-11-15,Maize - Wholesale,MT,cereals and tubers,4.448,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2001-12-15,Maize - Wholesale,MT,cereals and tubers,4.309,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2002-01-15,Maize - Wholesale,MT,cereals and tubers,4.3652,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2002-02-15,Maize - Wholesale,MT,cereals and tubers,4.4959,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2002-03-15,Maize - Wholesale,MT,cereals and tubers,4.864,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
