"country","activeDuty","paramilitary","reserves","total","pop2022"
"China","2185000","660000","1170000","4015000","1448471.4000"
"India","1455550","2526950","1155000","5137500","1406631.7760"
"United States","1388100","0","844950","2233050","334805.2690"
"North Korea","1280000","5889000","600000","7769000","25990.6790"
"Russia","1014000","554000","2000000","3568000","145805.9470"
"Pakistan","654000","291000","550000","1495000","229488.9940"
"Iran","610000","40000","350000","1000000","86022.8370"
"South Korea","599000","3013500","3100000","6712500","51329.8990"
"Vietnam","482000","5040000","5000000","10522000","98953.5410"
"Egypt","438500","397000","479000","1314500","106156.6920"
"Myanmar","406000","107000","0","513000","55227.1430"
"Indonesia","395500","280000","400000","1075500","279134.5050"
"Brazil","366500","395000","1340000","2101500","215353.5930"
"Thailand","360850","138700","200000","699550","70078.2030"
"Turkey","355200","156800","378700","890700","85561.9760"
"Colombia","293200","187900","34950","516050","51512.7620"
"Sri Lanka","255000","92600","5500","353100","21575.8420"
"Japan","247150","14350","56000","317500","125584.8380"
"Saudi Arabia","227000","24500","0","251500","35844.9090"
"Mexico","216000","111900","81500","409400","131562.7720"
"Ukraine","209000","102000","900000","1211000","43192.1220"
"France","203250","130800","41050","375100","65584.5180"
"Eritrea","201750","0","120000","321750","3662.2440"
"Morocco","195800","50000","150000","395800","37772.7560"
"Iraq","193000","148000","0","341000","42164.9650"
"South Sudan","185000","0","0","185000","11618.5110"
"Germany","183500","0","30050","213550","83883.5960"
"Afghanistan","178800","99000","0","277800","40754.3880"
"Israel","169500","8000","465000","642500","8922.8920"
"Syria","169000","100000","0","269000","19364.8090"
"Italy","165500","175750","18300","359550","60262.7700"
"Bangladesh","163050","63900","0","226950","167885.6890"
"Taiwan","163000","11800","1657000","1831800","23888.5950"
"United Kingdom","148500","0","78600","227100","68497.9070"
"Philippines","143100","62300","131000","336400","112508.9940"
"Nigeria","143000","80000","0","223000","216746.9340"
"Greece","142700","4000","221350","368050","10316.6370"
"Ethiopia","138000","0","0","138000","120812.6980"
"DR Congo","134250","0","0","134250","95240.7920"
"Algeria","130000","187200","150000","467200","45350.1480"
"Azerbaijan","126950","15000","330000","471950","10300.2050"
"Cambodia","124300","67000","0","191300","17168.6390"
"Venezuela","123000","220000","8000","351000","29266.9910"
"Spain","120350","75800","15150","211300","46719.1420"
"Poland","114050","75400","0","189450","37739.7850"
"Malaysia","113000","267200","51600","431800","33181.0720"
"Angola","107000","10000","0","117000","35027.3430"
"Sudan","104300","105000","0","209300","45992.0200"
"Jordan","100500","15000","65000","180500","10300.8690"
"Nepal","96600","15000","0","111600","30225.5820"
"Peru","81000","77000","188000","346000","33684.2080"
"Chile","77200","44700","40000","161900","19250.1950"
"Argentina","72100","31250","0","103350","46010.2340"
"Romania","69300","57000","50000","176300","19031.3350"
"Canada","67400","4500","35600","107500","38388.4190"
"South Africa","65350","0","15050","80400","60756.1350"
"United Arab Emirates","63000","0","0","63000","10081.7850"
"Lebanon","60000","20000","0","80000","6684.8490"
"Australia","58600","0","30100","88700","26068.7920"
"Dominican Republic","56050","15000","0","71050","11056.3700"
"Singapore","51000","7400","252500","310900","5943.5460"
"Cuba","49000","1146500","39000","1234500","11305.6520"
"Uzbekistan","48000","20000","0","68000","34382.0840"
"Belarus","45350","110000","289500","444850","9432.8000"
"Uganda","45000","1400","10000","56400","48432.8630"
"Armenia","44800","4300","210000","259100","2971.9660"
"Oman","42600","4400","0","47000","5323.9930"
