,Model,Maker,Type,Seats,Displacement,Length,Width,Height,Wheelbase,No_of_Cylinders,Fuel,Engine Type,Transmission,Front Brake,Rear Brake,Drive,Turning Radius,Fuel Tank Capacity,Boot Space,Fuel Efficiency,Emission Type,Tyre Size,Variants,NCAP Rating
24,GT-R,Nissan,Sports Car,2,3799.0,4710,1895,1370,2780,6.0,Petrol,VR38DETT,6-Speed DCT,Disc,Disc,4 WD,5.57,74.0,315.0,10.16,Euro 6,285/35/20,1,Not Tested
40,Scorpio-N,Mahindra,SUV,6,2000.0,4662,1917,1857,2750,4.0,Petrol,mStallion,6 MT,Disc,Disc,2WD,,57.0,460.0,,BS VI,255/16 R18,1,Not Rated
2,Virtus,Volkswagen,Sedan,5,1498.0,4561,1752,1507,2651,4.0,Petrol,1.5L TSI Evo with ACT,7-Speed DSG,Disc,Drum,2WD,5.05,45.0,521.0,18.67,BS VI,205/55 R16,1,Not Tested
9,Amaze,Honda,Compact Sedan,5,1199.0,3995,1695,1501,2470,4.0,Petrol,SOHC i-VTEC,CVT,Disc,Drum,2WD,4.7,35.0,420.0,18.3,BS VI,175/65 R15,2,4
8,Amaze,Honda,Compact Sedan,5,1199.0,3995,1695,1501,2470,4.0,Petrol,SOHC i-VTEC,5 MT,Disc,Drum,2WD,4.7,35.0,420.0,18.6,BS VI,175/65 R15,3,4
7,Tiguan,Volkswagen,SUV,5,1984.0,4509,1839,1665,2679,4.0,Petrol,2L TSI In-Line,7-Speed DSG 4MOTION,Disc,Disc,2WD,5.39,60.0,616.0,12.65,BS VI,235/55 R18,1,5
50,Scorpio Classic,Mahindra,SUV,7,2184.0,4456,1820,1995,2680,4.0,Diesel,mHawk,6 MT,Disc,Drum,2WD,5.4,60.0,460.0,,BS VI,235/65 R17,3,Not Rated
17,WR-V,Honda,Compact SUV,5,1199.0,3999,1734,1601,2555,4.0,Petrol,SOHC i-VTEC,5 MT,Disc,Drum,2WD,5.3,40.0,363.0,16.5,BS VI,195/60 R16,2,4
10,Amaze,Honda,Compact Sedan,5,1498.0,3995,1695,1501,2470,4.0,Diesel,DOHC i-DTEC,5 MT,Disc,Drum,2WD,4.9,35.0,420.0,24.7,BS VI,175/65 R15,3,4
18,WR-V,Honda,Compact SUV,5,1498.0,3999,1734,1601,2555,4.0,Diesel,DOHC i-DTEC,6 MT,Disc,Drum,2WD,5.3,40.0,363.0,23.7,BS VI,195/60 R16,2,4
44,Scorpio-N,Mahindra,SUV,6,2000.0,4662,1917,1857,2750,4.0,Diesel,mHawk,6 MT,Disc,Disc,2WD,,57.0,460.0,,BS VI,255/16 R18,1,Not Rated
20,Jazz,Honda,Hatchback,5,1199.0,3989,1694,1544,2530,4.0,Petrol,SOHC i-VTEC,7-Speed CVT,Disc,Drum,2WD,5.1,40.0,354.0,17.1,BS VI,175/65 R15,3,4
21,Kicks,Nissan,SUV,5,1330.0,4384,1813,1669,2673,4.0,Petrol,HR 13DDT,6 MT,Disc,Drum,2 WD,5.2,50.0,400.0,16.0,BS VI,215/65 R16 ,3,5
49,Scorpio-N,Mahindra,SUV,7,2000.0,4662,1917,1857,2750,4.0,Diesel,mHawk,6 AT,Disc,Disc,4WD,,57.0,460.0,,BS VI,255/16 R18,2,Not Rated
23,Kicks,Nissan,SUV,5,1498.0,4384,1813,1669,2673,4.0,Petrol,HR 15,5 MT,Disc,Drum,2 WD,5.2,50.0,400.0,13.9,BS VI,215/65 R16 ,2,5
39,C5 Aircross,Citroen,SUV,5,1997.0,4500,2099,1710,2730,4.0,Diesel,DW10FC,8 AT,Disc,Disc,2 WD,5.35,52.5,580.0,18.6,BS VI,235/55 R18,2,4
41,Scorpio-N,Mahindra,SUV,6,2000.0,4662,1917,1857,2750,4.0,Petrol,mStallion,6 AT,Disc,Disc,2WD,,57.0,460.0,,BS VI,255/16 R18,1,Not Rated
12,City 5th Gen,Honda,Sedan,5,1498.0,4549,1748,1489,2600,4.0,Petrol,i-VTEC DOHC with VTC,6 MT,Disc,Drum,2WD,5.3,40.0,506.0,17.8,BS VI,185/55 R16,3,5
42,Scorpio-N,Mahindra,SUV,7,2000.0,4662,1917,1857,2750,4.0,Petrol,mStallion,6 MT,Disc,Disc,2WD,,57.0,460.0,,BS VI,255/16 R18,4,Not Rated
87,Grand i10 Nios,Hyundai,Hatchback,5,998.0,3805,1680,1520,2450,4.0,Petrol,1.0L Turbo GDi,5 MT,Disc,Drum,2WD,4.9,37.0,260.0,21.0,BS VI,175/60 R15,3,2
45,Scorpio-N,Mahindra,SUV,6,2000.0,4662,1917,1857,2750,4.0,Diesel,mHawk,6 AT,Disc,Disc,2WD,,57.0,460.0,,BS VI,255/16 R18,1,Not Rated
47,Scorpio-N,Mahindra,SUV,7,2000.0,4662,1917,1857,2750,4.0,Diesel,mHawk,6 AT,Disc,Disc,2WD,,57.0,460.0,,BS VI,255/16 R18,4,Not Rated
22,Kicks,Nissan,SUV,5,1330.0,4384,1813,1669,2673,4.0,Petrol,HR 13DDT,CVT,Disc,Drum,2 WD,5.2,50.0,400.0,16.0,BS VI,215/65 R16 ,2,5
101,Aura,Hyundai,Compact Sedan,5,1197.0,3995,1680,1520,2450,4.0,Petrol,1.2L Kappa,AMT,Disc,Drum,2WD,4.7,37.0,402.0,20.0,BS VI,175/60 R15,2,Not Rated
79,Fortuner,Toyota,SUV,7,2755.0,4795,1855,1835,2745,4.0,Diesel,2.8L Diesel,6 AT,Disc,Disc,2WD,5.8,80.0,296.0,14.2,BS VI,265/65 R17,1,5
127,Sonet,Kia,Compact SUV,5,998.0,3995,1790,1610,2500,4.0,Petrol,G1.0 T - GDi,6 iMT,Disc,Drum,2WD,5.1,45.0,392.0,18.2,BS VI,195/65 R15,4,3
128,Sonet,Kia,Compact SUV,5,998.0,3995,1790,1610,2500,4.0,Petrol,G1.0 T - GDi,7 DCT,Disc,Drum,2WD,5.1,45.0,392.0,18.3,BS VI,195/65 R15,2,3
155,Safari,Tata,SUV,7,1956.0,4661,1894,1786,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 AT,Disc,Disc,2WD,5.8,50.0,447.0,14.08,BS VI,235/60 R18,20,6
129,Sonet,Kia,Compact SUV,5,1493.0,3995,1790,1610,2500,4.0,Diesel,1.5L CRDi WGT,6 MT,Disc,Drum,2WD,5.1,45.0,392.0,24.1,BS VI,195/65 R15,6,3
131,Seltos,Kia,SUV,5,1497.0,4315,1800,1620,2610,4.0,Petrol,Smartstream G1.5 ,6 MT,Disc,Disc,2WD,5.3,50.0,433.0,16.5,BS VI,215/60 R17,4,3
132,Seltos,Kia,SUV,5,1497.0,4315,1800,1620,2610,4.0,Petrol,Smartstream G1.5 ,6  iMT,Disc,Disc,2WD,5.3,50.0,433.0,16.5,BS VI,215/60 R17,1,3
133,Seltos,Kia,SUV,5,1497.0,4315,1800,1620,2610,4.0,Petrol,Smartstream G1.5 ,IVT,Disc,Disc,2WD,5.3,50.0,433.0,16.5,BS VI,215/60 R17,1,3
11,Amaze,Honda,Compact Sedan,5,1498.0,3995,1695,1501,2470,4.0,Diesel,DOHC i-DTEC,CVT,Disc,Drum,2WD,4.9,35.0,420.0,21.0,BS VI,175/65 R15,2,4
13,City 5th Gen,Honda,Sedan,5,1498.0,4549,1748,1489,2600,4.0,Petrol,i-VTEC DOHC with VTC,CVT,Disc,Drum,2WD,5.3,40.0,506.0,18.4,BS VI,185/55 R16,3,5
135,Seltos,Kia,SUV,5,1353.0,4315,1800,1620,2610,4.0,Petrol,Smartstream G1.4 T - GDi ,7 DCT,Disc,Disc,2WD,5.3,50.0,433.0,16.5,BS VI,215/60 R17,2,3
58,XUV 700,Mahindra,SUV,7,2000.0,4695,1890,1755,2750,4.0,Petrol,mStallion,6 MT,Disc,Disc,2WD,,60.0,,,BS VI,235/60 R18,2,5
51,Scorpio Classic,Mahindra,SUV,9,2184.0,4456,1820,1995,2680,4.0,Diesel,mHawk,6 MT,Disc,Drum,2WD,5.4,60.0,460.0,,BS VI,235/65 R17,1,Not Rated
62,XUV 700,Mahindra,SUV,7,2200.0,4695,1890,1755,2750,4.0,Diesel,mHawk,6 MT,Disc,Disc,2WD,,60.0,,,BS VI,235/60 R18,4,5
76,Fortuner,Toyota,SUV,7,2755.0,4795,1855,1835,2745,4.0,Diesel,2.8L Diesel,6 MT with iMT,Disc,Disc,4WD,5.8,80.0,296.0,14.2,BS VI,265/60 R18,1,5
85,Grand i10 Nios,Hyundai,Hatchback,5,1197.0,3805,1680,1520,2450,4.0,Petrol,1.2L Kappa,AMT,Disc,Drum,2WD,4.9,37.0,260.0,21.0,BS VI,175/60 R15,3,2
63,XUV 700,Mahindra,SUV,5,2200.0,4695,1890,1755,2750,4.0,Diesel,mHawk,6 AT,Disc,Disc,2WD,,60.0,,,BS VI,235/60 R18,2,5
68,Thar LX,Mahindra,SUV,4,2184.0,3985,1855,1844,2450,4.0,Diesel,mHawk 130,6 TC Automatic,Disc,Drum,4WD,5.25,57.0,,9.0,BS VI,255/65 R18,1,4
67,Thar LX,Mahindra,SUV,4,2184.0,3985,1855,1844,2450,4.0,Diesel,mHawk 130,6 MT,Disc,Drum,4WD,5.25,57.0,,15.2,BS VI,255/65 R18,1,4
66,Thar AX OPT,Mahindra,SUV,4,2184.0,3985,1820,1844,2450,4.0,Diesel,mHawk 130,6 MT,Disc,Drum,4WD,5.25,57.0,,15.2,BS VI,245/75 R16,1,4
65,XUV 700,Mahindra,SUV,7,2200.0,4695,1890,1755,2750,4.0,Diesel,mHawk,6 AT,Disc,Disc,AWD,,60.0,,,BS VI,235/60 R18,2,5
64,XUV 700,Mahindra,SUV,7,2200.0,4695,1890,1755,2750,4.0,Diesel,mHawk,6 AT,Disc,Disc,2WD,,60.0,,,BS VI,235/60 R18,3,5
52,Marazzo,Mahindra,MPV,7,1497.0,4585,1866,1774,2760,4.0,Diesel,D15,6 MT,Disc,Disc,2WD,5.25,45.0,190.0,17.0,BS VI,215/60 R17,3,4
57,XUV 700,Mahindra,SUV,5,2000.0,4695,1890,1755,2750,4.0,Petrol,mStallion,6 MT,Disc,Disc,2WD,,60.0,,,BS VI,235/60 R18,3,5
60,XUV 700,Mahindra,SUV,7,2000.0,4695,1890,1755,2750,4.0,Petrol,mStallion,6 AT,Disc,Disc,2WD,,60.0,,,BS VI,235/60 R18,2,5
59,XUV 700,Mahindra,SUV,5,2000.0,4695,1890,1755,2750,4.0,Petrol,mStallion,6 AT,Disc,Disc,2WD,,60.0,,,BS VI,235/60 R18,2,5
19,Jazz,Honda,Hatchback,5,1199.0,3989,1694,1544,2530,4.0,Petrol,SOHC i-VTEC,5 MT,Disc,Drum,2WD,5.1,40.0,354.0,16.6,BS VI,175/65 R15,3,4
14,City 5th Gen,Honda,Sedan,5,1498.0,4549,1748,1489,2600,4.0,Diesel,DOHC i-DTEC,6 MT,Disc,Drum,2WD,5.3,40.0,506.0,24.1,BS VI,185/55 R16,3,5
