distance,congestion,speed,waitfor
1412,36,60,59.70305939
1402,80,60,54.10317936
1429,61,60,55.72285543
1600,53,60,65.98080384
1448,86,60,56.86262747
1585,78,60,65.0809838
1481,64,60,58.84223155
1545,92,60,62.68146371
1446,44,60,61.74265147
1453,48,60,62.16256749
1481,73,60,58.84223155
1519,40,60,66.12177564
1600,86,60,65.98080384
1494,70,60,59.62207558
1544,22,60,72.6214757
1516,43,60,65.94181164
1461,58,60,57.64247151
1434,79,60,56.02279544
1538,96,60,62.26154769
1486,92,60,59.14217157
1562,91,60,63.70125975
1466,94,60,57.94241152
1511,21,60,70.64187163
1541,51,60,62.4415117
1465,69,60,57.88242352
1516,61,60,60.94181164
1538,47,60,67.26154769
1558,69,60,63.46130774
1499,30,60,69.9220156
1404,69,60,54.22315537
1481,52,60,58.84223155
1574,35,60,69.42111578
1563,63,60,63.76124775
1421,95,60,55.24295141
1446,47,60,61.74265147
1503,33,60,65.16196761
1417,93,60,55.0029994
1423,76,60,55.36292741
1528,63,60,61.66166767
1506,78,60,60.34193161
1514,23,60,70.82183563
1476,60,60,58.54229154
1545,52,60,62.68146371
1528,82,60,61.66166767
1449,77,60,56.92261548
1461,67,60,57.64247151
1484,66,60,59.02219556
1469,32,60,63.12237552
1433,63,60,55.96280744
1463,39,60,62.76244751
1436,41,60,61.14277145
1475,65,60,58.48230354
1583,83,60,64.9610078
1599,35,60,70.92081584
1484,82,60,59.02219556
1470,29,60,68.18236353
1526,59,60,61.54169166
1413,70,60,54.76304739
1529,51,60,61.72165567
1483,22,60,68.96220756
1576,62,60,64.54109178
1419,65,60,55.1229754
1439,59,60,56.32273545
1595,44,60,70.68086383
1523,83,60,61.36172765
1596,46,60,70.74085183
1476,58,60,58.54229154
1501,89,60,60.0419916
1504,97,60,60.22195561
1532,90,60,61.90161968
1471,64,60,58.24235153
1401,84,60,54.04319136
1465,49,60,62.88242352
1554,60,60,63.22135573
1482,53,60,58.90221956
1437,82,60,56.20275945
1558,80,60,63.46130774
1504,62,60,60.22195561
1402,72,60,54.10317936
1522,62,60,61.30173965
1420,76,60,55.18296341
1535,91,60,62.08158368
1555,47,60,68.28134373
1585,88,60,65.0809838
1557,25,60,73.40131974
1481,54,60,58.84223155
1543,33,60,67.5614877
1406,91,60,54.34313137
1538,53,60,62.26154769
1579,91,60,64.72105579
1509,76,60,60.52189562
1429,62,60,55.72285543
1466,73,60,57.94241152
1499,24,60,69.9220156
1440,65,60,56.38272346
1515,83,60,60.88182364
1506,46,60,65.34193161
1516,32,60,65.94181164
1433,81,60,55.96280744
1410,66,60,54.58308338
1454,22,80,45.43654365
1558,32,80,45.1170117
1466,95,80,35.97659766
1567,27,80,50.52205221
1561,63,80,40.2520252
1481,94,80,36.65166517
1490,69,80,37.05670567
1443,50,80,39.94149415
1528,32,80,43.76687669
1411,45,80,38.50135014
1409,47,80,38.41134113
1427,49,80,39.22142214
1549,57,80,39.7119712
1408,88,80,33.36633663
1442,64,80,34.89648965
1436,65,80,34.62646265
1523,96,80,38.54185419
1537,26,80,49.17191719
1584,67,80,41.28712871
1405,97,80,33.23132313
1428,64,80,34.26642664
1470,38,80,41.15661566
1435,48,80,39.58145815
1493,38,80,42.19171917
1498,85,80,37.41674167
1472,51,80,36.24662466
1526,82,80,38.67686769
1446,40,80,40.07650765
1483,52,80,36.74167417
1417,67,80,33.77137714
1495,76,80,37.28172817
1546,97,80,39.5769577
1406,86,80,33.27632763
1476,43,80,41.42664266
1405,24,80,43.23132313
1596,88,80,41.82718272
1545,88,80,39.5319532
1514,75,80,38.13681368
1413,55,80,33.59135914
1431,79,80,34.40144014
1590,30,80,51.55715572
1510,33,80,42.95679568
1495,24,80,47.28172817
1416,31,80,38.72637264
1408,55,80,33.36633663
1556,71,80,40.0270027
1589,69,80,41.51215122
1524,71,80,38.58685869
1425,91,80,34.13141314
1482,78,80,36.69666967
1512,64,80,38.04680468
1416,43,80,38.72637264
1571,48,80,45.70207021
1415,50,80,38.68136814
1553,26,80,49.8919892
1484,35,80,41.78667867
1579,24,80,51.06210621
1570,53,80,40.65706571
1440,83,80,34.80648065
1462,34,80,40.79657966
1485,59,80,36.83168317
1489,89,80,37.01170117
1583,90,80,41.24212421
1599,70,80,41.96219622
1532,76,80,38.94689469
1476,82,80,36.42664266
1530,24,80,48.85688569
1459,90,80,35.66156616
1588,35,80,46.46714671
1530,21,80,48.85688569
1512,94,80,38.04680468
1538,72,80,39.21692169
1528,74,80,38.76687669
1530,73,80,38.85688569
1448,93,80,35.16651665
1443,23,80,44.94149415
1532,80,80,38.94689469
1519,21,80,48.36183618
1430,85,80,34.35643564
1518,69,80,38.31683168
1518,73,80,38.31683168
1544,30,80,49.48694869
1457,30,80,45.57155716
1421,46,80,38.95139514
1593,31,80,46.69216922
1476,82,80,36.42664266
1590,25,80,51.55715572
1578,26,80,51.01710171
1415,47,80,38.68136814
1453,83,80,35.39153915
1437,34,80,39.67146715
1598,60,80,41.91719172
1598,82,80,41.91719172
