age,education.num,capital.gain,hours.per.week,income
90,8,0,40,<=50K
82,5,0,18,<=50K
66,6,0,40,>50K
54,9,0,40,<=50K
41,3,0,40,<=50K
34,2,0,45,>50K
38,8,0,20,<=50K
74,1,0,40,<=50K
68,9,0,60,<=50K
41,12,0,40,>50K
45,15,0,35,<=50K
38,1,0,45,<=50K
52,3,0,20,<=50K
32,5,0,40,<=50K
51,5,0,55,<=50K
46,9,0,40,<=50K
45,9,0,76,<=50K
57,2,0,40,>50K
22,5,0,50,>50K
23,11,0,40,>50K
25,6,0,34,>50K
32,15,0,40,>50K
26,13,0,40,>50K
28,13,0,54,>50K
32,6,0,21,>50K
32,6,0,40,>50K
38,15,0,44,<=50K
26,6,0,40,<=50K
23,15,0,23,<=50K
32,6,0,40,<=50K
32,6,0,40,>50K
26,14,0,87,<=50K
32,6,0,40,<=50K
32,15,0,40,<=50K
27,6,0,43,>50K
32,15,0,40,<=50K
29,6,0,40,<=50K
32,6,0,26,<=50K
32,15,0,40,<=50K
32,6,0,40,<=50K
32,11,0,56,<=50K
32,6,0,40,>50K
65,6,0,40,>50K
32,16,0,40,>50K
34,6,0,40,>50K
32,6,0,40,>50K
54,17,0,43,>50K
32,6,0,40,>50K
32,16,0,40,>50K
23,6,0,65,<=50K
32,6,0,40,<=50K
54,17,0,40,<=50K
32,6,0,21,<=50K
37,6,0,40,<=50K
32,15,0,40,>50K
49,6,0,78,<=50K
21,6,0,40,<=50K
32,1,0,40,<=50K
56,5,0,54,<=50K
32,1,0,40,<=50K
32,14,0,40,<=50K
43,6,0,32,<=50K
32,6,0,40,<=50K
56,6,0,54,<=50K
32,15,0,40,<=50K
28,6,0,32,<=50K
38,16,0,40,<=50K
32,6,0,65,<=50K
29,6,0,40,<=50K
32,15,0,40,<=50K
54,6,0,32,<=50K
38,6,0,40,<=50K
45,6,0,40,<=50K
32,16,0,34,<=50K
27,6,0,40,<=50K
26,17,0,27,<=50K
32,6,0,40,<=50K
49,6,0,40,<=50K
27,17,0,58,<=50K
39,6,0,40,<=50K
43,1,0,24,<=50K
32,5,0,40,<=50K
26,15,0,40,>50K
36,6,0,39,>50K
32,6,0,40,>50K
32,61,0,29,>50K
43,1,0,40,<=50K
32,6,0,23,<=50K
23,61,0,40,<=50K
32,6,0,45,<=50K
45,6,0,40,<=50K
39,63,0,32,>50K
32,6,0,40,>50K
24,12,0,43,>50K
32,6,0,40,<=50K
43,6,0,43,<=50K
32,12,0,40,<=50K
54,6,0,65,<=50K
27,12,0,40,<=50K
