No.,States/Union_Territorries,1951,1961,1971,1981,1991,2001,2011
1,Jammu & Kashmir,na,12.95,21.71,30.64,na,55.52,68.74
2,Himachal Pradesh,na,na,na,na,63.86,76.48,83.78
3,Punjab,na,na,34.12,43.37,58.51,69.65,76.68
4,Chandigarh,na,na,70.43,74.80,77.81,81.94,86.43
5,Uttarakhand,18.93,18.05,33.26,46.06,57.75,71.62,79.63
6,Haryana,na,na,25.71,37.13,55.85,67.91,76.64
7,Delhi,na,61.95,65.08,71.94,75.29,81.67,86.34
8,Rajasthan,8.5,18.12,22.57,30.11,38.55,60.41,67.06
9,Uttar Pradesh,12.02,20.87,23.99,32.65,40.71,56.27,69.72
10,Bihar,13.49,21.95,23.17,32.32,37.49,47,63.82
11,Sikkim,na,na,17.74,34.05,56.94,68.81,82.20
12,Arunachal Pradesh,na,7.13,11.29,25.55,41.59,54.34,66.95
13,Nagaland,10.52,21.95,33.78,50.28,61.65,66.59,80.11
14,Manipur a,12.57,36.04,38.47,49.66,59.89,70.53,79.85
15,Mizoram,31.14,44.01,53.80,59.88,82.26,88.80,91.58
16,Tripura,na,20.24,30.98,50.10,60.44,73.19,87.75
17,Meghalaya,na,26.92,29.49,42.05,49.10,62.56,75.48
18,Assam,18.53,32.95,33.94,na,52.89,63.25,73.18
19,West Bengal,24.61,34.46,38.86,48.65,57.70,68.64,77.08
20,Jharkhand,12.93,21.14,23.87,35.03,41.39,53.56,67.63
21,Odisha,15.80,21.66,26.18,33.62,49.09,63.08,73.45
22,Chhattisgarh,9.41,18.14,24.08,32.63,42.91,64.66,71.04
23,Madhya Pradesh,13.16,21.41,27.27,38.63,44.67,63.74,70.63
24,Gujarat,21.82,31.47,36.95,44.92,61.29,69.14,79.31
25,Daman & Diu,na,na,na,na,71.20,78.18,87.07
26,Dadra & Nagar Haveli,na,na,18.13,32.90,40.71,57.63,77.65
27,Maharashtra,27.91,35.08,45.77,57.24,64.87,76.88,82.91
28,Andhra Pradesh,na,21.19,24.57,35.66,44.08,60.47,67.66
29,Karnataka,na,29.80,36.83,46.21,56.04,66.64,75.60
30,Goa,23.48,35.41,51.96,65.71,75.51,82.01,87.40
31,Lakshadweep,15.23,27.15,51.76,68.42,81.78,86.66,92.28
32,Kerala,47.18,55.08,69.75,78.85,89.81,90.86,93.91
33,Tamil Nadu,na,36.39,45.40,54.39,62.66,73.45,80.33
33,Puducherry,na,43.65,53.38,65.14,74.74,81.24,86.55
35,Andaman & Nicobar Islands,30.30,40.07,51.15,63.19,73.02,81.30,86.27
