X,Y
4642146,10062.83
3519515,7407.06
1728786,3815.79
1708590,3960.27
1534749,3486.05
3069914,7162.35
5082859,11859.95
2240909,5248.6
2349368,5503.9
3423509,7999.55
5395319,12589.59
1362058,3202.78
2614794,6163.7
3170894,7445.41
6377909,14784.5
4570939,10002.01
3508990,7735.81
7514106,17130.29
1232507,2742.84
1738824,3856.72
3023097,6674.93
3554859,8163.82
5242852,12538.39
3353833,7913.21
1921327,4516.57
1394661,3280.33
2374782,5571.77
1990020,4689.94
1838417,4289.35
1553953,3662.36
3272005,7941.4
1690225,4141.83
2838238,6885.52
2551480,6106.81
1885288,4459.96
1948583,4573.57
2035594,4757.48
1127248,2676.63
1807313,4305.39
1963538,4677.58
2560616,6080.87
3357945,7893.32
5700851,13328.52
13272609,32325.56
4422342,10917.34
1867720,4544.83
1581985,3821.97
3996921,9565.1
2310430,5596.44
2278457,5607.3
2351769,5645.48
3003282,7143.47
4223216,9934.06
3343525,8021.22
3158004,7794.77
3454849,8566.75
3357333,8804.57
2250217,6045.37
1407688,3811.57
1284523,3532.63
2267486,6168.1
2022333,5443.53
2338411,6459.01
3598212,9999.82
6676660,18483.41
3661633,9740.9
2077927,5519.02
4511203,11917.5
2234204,5905.05
2208389,5886.61
2103452,5563.82
2459832,6442.71
3020580,7806.4
3367252,8755.18
6224725,16640.21
1541522,4214.24
3133233,8614.03
3646744,10067.32
1232644,3311.87
1206633,3209.4
3538690,9470.3
1104173,2945.64
1527128,4075.26
2052017,5408.38
4208120,11030.56
1819147,4706.54
2622839,6920.49
3469905,9239.62
4154146,10876.9
2235734,5803.91
2649349,6862.75
2071496,5324.08
2921253,7380.24
4295785,10726.5
3175432,7874.05
3180360,7762.71
3297714,8103.65
7108750,17573.66
6328483,15295.87
9298329,23074.68
16822847,43913.37
1974327,5685.22
1446384,4157.17
1820409,5311
1720983,4998.87
1848551,5387.46
1399442,4014.1
2561225,7355.63
1857277,5479.6
3046154,9025.87
1858644,5443.94
4942803,14401.35
4804882,13808.09
2131466,6075.2
1687369,4794.16
2523492,7225.36
2434183,6966.56
4719061,13416.32
5799262,16355.69
3030999,8371.24
2196800,6024.34
2149205,5896.21
1996390,5454.47
2190930,6065.36
4623765,12889.29
1852060,5047.58
2658707,7260.79
3283985,8975.77
2613360,7162.95
6610831,17918.02
2283408,5951.18
3071911,8092.83
2440719,6332.93
2297852,5859.45
1681596,4369.46
1477158,3901.51
2855717,7453.21
3665423,9640.91
2762357,7633.86
2877987,8081.81
2056369,5729.14
3095190,8590.75
2583575,7052.02
1614381,4376.16
2246589,6068.8
4847214,13070.84
6601857,18367.89
4680138,12811.25
2322191,6392.67
2808234,7727.14
4778178,13208.65
3672359,10027.43
3895920,10479.23
5466484,14389.22
3638163,9678.53
5120799,13695.83
2620461,7022.82
1925414,5331.07
1807307,5082.79
2455660,7003.26
4583181,13079.39
3121544,8655.43
5863983,16553.84
8055761,22500.69
7044561,18431.55
6833906,18386.99
6697007,18375.08
4593306,13229.01
5397599,15929.24
2590100,7871.4
1806919,5489.77
3631793,11123.41
2154759,6585.37
4416130,13560.72
3278437,10171.94
3653286,11183.31
3408593,10502.65
3742677,11717.46
4683847,14922.72
4519030,14701.51
14484043,46643.39
3481728,10911.99
2517494,7944.49
2411068,7628.8
2171903,6855.32
1896601,5938.16
2703849,8380.41
2073353,6469.92
2014415,6252.42
1602814,5040.75
6874520,21586.26
4620000,14164.22
3315278,10164.51
3956481,12073.55
4703911,14271.47
2280137,6845.56
4692403,14149.92
8383608,24973.97
5912782,17013.97
3036814,8735.39
5575066,15810.93
6799578,19574.91
6874578,20150.22
8045275,23729.27
4297335,12354.21
3820082,10662.6
4358618,12100.11
4876970,13694.44
5784862,16212.97
7150041,20637.33
9944314,28436.36
6464166,18367.29
11258640,32227.87
2208868,6106.05
3855810,10704.91
3371088,9240.31
5015906,13645.79
12063135,33327.37
13458563,36047.39
6857865,17611.63
6292626,15781.35
17805319,44321.86
15847309,37901.49
2923051,6914.92
7726311,18509.13
11299727,26521.93
3299527,7424.32
5306883,12105.05
6994467,16298.62
1920643,4331.7
7866167,17834.16
3608627,8238.83
5175219,11696.96
13953152,31569.51
8891566,19257.33
4964383,10341.97
2640192,5437.31
3568231,7402.2
2952899,6030.3
532661,1095.73
4687271,9730.6
3269191,6898.79
2658347,5563.4
3171251,6713.26
3902627,8224.13
6891689,14629.38
2125747,4448.8
1653094,3454.22
2534607,5332.72
2228532,4637.19
1964885,4032.28
1985873,4118.57
3721338,7700.44
4602566,9312.65
3331256,6727.73
5546594,11185.5
4019965,7877.39
3851873,7911.13
2914695,6159.43
2906933,6234.53
9580786,20840.29
2491966,5303.92
2608124,5500.51
2980684,6266.23
4637092,9768.64
4884083,10349.32
3393087,7098.12
6430260,13393.1
5862028,12129.82
14490021,29584.24
3442385,6738.89
4372250,8461.6
3401210,6743.59
7760949,15413.6
7173447,14034.74
5679382,10969.25
3684762,7147.52
4587179,8960.23
7522673,14522.9
7466196,14417.1
15744338,31403.67
10030010,19308.69
10381703,20050.09
29191015,55755.08
9368807,16312.73
6027593,9628.51
2470478,3921.42
1267995,2082.83
2372930,3988.91
2548868,4339.35
2298689,3815.79
2895078,4845.26
2009220,3334.75
2140964,3622.9
1896521,3230.5
2290563,3860.48
2370296,4031.92
3803339,6583.98
2103806,3600.42
2636591,4536.3
4670938,8039.92
2791324,4827.35
4161102,7313.99
3264325,5734.23
4882663,8646
2831387,4932.13
5222043,9084.43
10623109,18368.34
12571250,21392.59
4761386,7866.08
6442241,10106.02
4873097,7546.37
