"1","(+)-inotropic","An agent that alters the force or energy of muscular contractions. Positively inotropic agents increase the strength of muscular contraction.",NULL
"2","(-)-chronotropic","An agent that may change the heart rate by affecting the nerves controlling the heart, or by changing the rhythm produced by the sinoatrial node. Negative chronotropes decrease heart rate.",NULL
"3","(-)-inotropic","An agent that alters the force or energy of muscular contractions. Negatively inotropic agents weaken the force of muscular contractions.",NULL
"4","11beta-hydroxysteroid-dehydrogenase inhibitor",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"5","12-lipoxygenase inhibitor",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"6","17beta-hydroxysteroid-dehydrogenase inhibitor",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"7","5alpha-reductase inhibitor",NULL,"An EC 1.3.1.* (oxidoreductase acting on CH-CH group of donor, NAD(+) or NADP(+) as acceptor) inhibitor that interferes with the action of of 3-oxo-5alpha-steroid 4-dehydrogenase (NADP(+)), EC 1.3.1.22, the enzyme which converts testosterone (CHEBI:17347) into the more potent androgen 5alpha-dihydrotestosterone."
"8","5-hydroxyeicosatetraenoic-acid inhibitor",NULL,"A substance that diminishes the rate of a chemical reaction."
"9","5-hydroxytryptamine inhibitor",NULL,"Drugs that bind to but do not activate serotonin receptors, thereby blocking the actions of serotonin or serotonergic agonists."
"10","5-lipoxygenase inhibitor",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"11","8-hydroxyeicosatetraenoic-acid inhibitor",NULL,"A substance that diminishes the rate of a chemical reaction."
"12","beta inhibitor",NULL,"A substance that diminishes the rate of a chemical reaction."
"13","abortifacient",NULL,"A chemical substance that interrupts pregnancy after implantation."
"14","absorbent","A substance or item able to soak liquid easily.
",NULL
"15","acantholytic","Causing loss of intercellular connections, such as desmosomes, resulting in loss of cohesion between keratinocytes.
",NULL
"16","acaricide",NULL,"A substance used to destroy pests of the subclass Acari (mites and ticks)."
"17","acarifuge",NULL,"Strictly, a substance intended to kill pests. In common usage, any substance used for controlling, preventing, or destroying animal, microbiological or plant pests."
"18","angiotensin converting enzyme inhibitor",NULL,"An EC 3.4.15.* (peptidyl-dipeptidase) inhibitor that interferes with the action of peptidyl-dipeptidase A (EC 3.4.15.1)."
"19","acetyl-CoA-carboxylase inhibitor",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"20","acetylcholinergic",NULL,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."
"21","acetylcholinesterase inhibitor",NULL,"An EC 3.1.1.* (carboxylic ester hydrolase) inhibitor that interferes with the action of enzyme acetylcholinesterase (EC 3.1.1.7), which helps breaking down of acetylcholine into choline and acetic acid."
"22","acidifier",NULL,"Any substance which is added to food to preserve or enhance its flavour and/or appearance."
"23","acidulant",NULL,"Any substance which is added to food to preserve or enhance its flavour and/or appearance."
"24","acnegenic",NULL,"A role played by the molecular entity or part thereof which causes the development of a pathological process."
"25","adaptogenic","A substance or compounds that results in stabilization of physiological processes and promotion of homeostasis, an example being by decreased cellular sensitivity to stress.
",NULL
"26","addictive","A substance causing dependency, in spite of effects.
",NULL
"27","additive",NULL,"Any substance which is added to food to preserve or enhance its flavour and/or appearance."
"28","adenosine antagonist",NULL,"Substance that attaches to and blocks cell receptors that normally bind naturally occurring substances."
"29","adenylate-cyclase inhibitor",NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
"30","adjuvant",NULL,"Any pharmacological or immunological agent that modifies the effect of other agents such as drugs or vaccines while having few if any direct effects when given by itself."
"31","adrenergic",NULL,"Any agent that acts on an adrenergic receptor or affects the life cycle of an adrenergic transmitter."
